帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:19
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2025/02/25,18:28:15,"加入(nine)(eight)(eight)
頭家輕鬆賺飽飽
人客健康呷飽飽"
Account,自動回應訊息,2025/02/25,18:28:15,"憲紘歡迎您加入988廚房。
☑我們是HACCP認證，合法工廠直營，冷凍冷藏加工調理食安保證
☑專業加工廠直接供貨，方便訂貨．產品平價．好品質!
請先傳個貼圖打聲招呼喔~
詢價、訂貨請提供店家名字/聯絡電話/地址或拍照上傳名片"
User,楠梓/蓁寶便當(5112ZZZZZ),2025/02/25,18:28:36,貼圖已傳送
User,楠梓/蓁寶便當(5112ZZZZZ),2025/02/25,18:28:39,蓁寶便當
User,楠梓/蓁寶便當(5112ZZZZZ),2025/02/26,13:01:24,日式厚切豬排2箱 60片的
Account,俐均,2025/02/26,13:05:12,貼圖已傳送
User,楠梓/蓁寶便當(5112ZZZZZ),2025/03/03,09:29:34,日式厚切豬排2箱 60片的
User,楠梓/蓁寶便當(5112ZZZZZ),2025/03/03,09:29:42,明天可以送嗎
Account,俐均,2025/03/03,09:32:43,"老闆好
可以的"
User,楠梓/蓁寶便當(5112ZZZZZ),2025/03/10,14:57:24,咕咾肉2箱
Account,俐均,2025/03/10,15:02:14,貼圖已傳送
User,楠梓/蓁寶便當(5112ZZZZZ),2025/03/12,14:00:58,一箱紐奧良腿排
Account,俐均,2025/03/12,14:07:40,貼圖已傳送
Account,林鈺婷,2025/03/12,14:24:02,老闆娘您好~請問要裹粉還是裹漿的
User,楠梓/蓁寶便當(5112ZZZZZ),2025/03/12,14:32:40,裹粉
Account,林鈺婷,2025/03/12,14:40:42,貼圖已傳送
User,楠梓/蓁寶便當(5112ZZZZZ),2025/03/19,17:45:44,糖醋排骨4箱
Account,林鈺婷,2025/03/19,17:46:13,請問是要咕咾肉嗎?
User,楠梓/蓁寶便當(5112ZZZZZ),2025/03/19,17:46:35,稍等
Account,俐均,2025/03/20,08:33:13,"業務告知今天咕老肉送3箱,謝謝"
