帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:19
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/06/17,17:53:53,"加入(nine)(eight)(eight)
頭家輕鬆賺飽飽
人客健康呷飽飽"
Account,自動回應訊息,2024/06/17,17:53:53,"銨富歡迎您加入988廚房。
☑我們是HACCP認證，合法工廠直營，冷凍冷藏加工調理食安保證
☑專業加工廠直接供貨，方便訂貨．產品平價．好品質!
請先傳個貼圖打聲招呼喔~
詢價、訂貨請提供店家名字/聯絡電話/地址或拍照上傳名片"
User,來義/米多力快餐(A2XDH12ZZ),2024/06/17,17:54:49,請問鯖魚怎麼賣
User,來義/米多力快餐(A2XDH12ZZ),2024/06/17,17:55:00,貼圖已傳送
User,來義/米多力快餐(A2XDH12ZZ),2024/06/17,17:55:43,照片已傳送
Account,俐均,2024/06/17,19:43:44,"老闆您好
請問電話及地址？"
Account,俐均,2024/06/17,19:44:29,請問要真空包裝還是散裝呢？
User,來義/米多力快餐(A2XDH12ZZ),2024/06/17,20:04:08,一箱45/50那種
Account,王振華,2024/06/17,23:58:59,老板好，請問是一箱45片～50片嗎？
User,來義/米多力快餐(A2XDH12ZZ),2024/06/18,05:02:26,是的 多少呢
Account,自動回應訊息,2024/06/18,05:02:26,貼圖已傳送
Account,自動回應訊息,2024/06/18,05:02:26,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,林鈺婷,2024/06/18,08:46:34,老闆您好~請問一箱是幾公斤的呢?
User,來義/米多力快餐(A2XDH12ZZ),2024/06/18,09:31:25,照片已傳送
User,來義/米多力快餐(A2XDH12ZZ),2024/06/18,09:31:35,這種一箱的
Account,林鈺婷,2024/06/18,09:51:34,老闆您好～方便給我們地址跟電話 跟您聯繫嗎
User,來義/米多力快餐(A2XDH12ZZ),2024/06/18,09:54:40,照片已傳送
Account,林鈺婷,2024/06/18,16:21:55,照片已傳送
Account,林鈺婷,2024/06/18,16:22:10,老闆~這是我們目前所有的鯖魚價目表，給您做參考
User,來義/米多力快餐(A2XDH12ZZ),2024/06/18,16:23:31,謝謝，我晚上有空再來參考比較一下，謝謝你喔
Account,林鈺婷,2024/06/18,16:24:21,貼圖已傳送
User,來義/米多力快餐(A2XDH12ZZ),2024/07/21,16:24:39,照片已傳送
Account,自動回應訊息,2024/07/21,16:24:40,貼圖已傳送
Account,自動回應訊息,2024/07/21,16:24:40,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,來義/米多力快餐(A2XDH12ZZ),2024/07/21,16:24:54,請問我可以看這兩個樣品嗎
Account,自動回應訊息,2024/07/21,16:24:54,貼圖已傳送
Account,自動回應訊息,2024/07/21,16:24:54,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,王振華,2024/07/21,23:26:22,可以，星期二再帶去讓您參考
User,來義/米多力快餐(A2XDH12ZZ),2024/07/22,06:28:53,好謝謝
Account,自動回應訊息,2024/07/22,06:28:54,貼圖已傳送
Account,自動回應訊息,2024/07/22,06:28:54,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,來義/米多力快餐(A2XDH12ZZ),2024/07/25,16:30:43,還沒有謝謝，有需要會通知您，謝謝老闆。
Account,俐均,2024/07/25,16:36:20,貼圖已傳送
User,來義/米多力快餐(A2XDH12ZZ),2024/07/29,15:23:48,謝謝 明天先不用
User,來義/米多力快餐(A2XDH12ZZ),2024/08/01,15:16:43,還不用唷，有在考慮了謝謝
Account,俐均,2024/08/01,15:17:20,"好的
那再麻煩告知謝謝"
User,來義/米多力快餐(A2XDH12ZZ),2024/08/01,15:29:18,好知道了
Account,俐均,2024/08/01,15:29:48,貼圖已傳送
User,來義/米多力快餐(A2XDH12ZZ),2024/08/05,15:21:50,謝謝沒有
User,來義/米多力快餐(A2XDH12ZZ),2024/10/21,14:44:52,你好：請問秋刀魚2.3號約幾隻
Account,林鈺婷,2024/10/21,14:46:39,一箱大約都70幾尾左右
