帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:19
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2025/02/18,19:51:19,"加入(nine)(eight)(eight)
頭家輕鬆賺飽飽
人客健康呷飽飽"
Account,自動回應訊息,2025/02/18,19:51:19,"FAGO異法餐盒  左營店自家用歡迎您加入988廚房。
☑我們是HACCP認證，合法工廠直營，冷凍冷藏加工調理食安保證
☑專業加工廠直接供貨，方便訂貨．產品平價．好品質!
請先傳個貼圖打聲招呼喔~
詢價、訂貨請提供店家名字/聯絡電話/地址或拍照上傳名片"
User,FAGO異法餐盒  左營店自家用,2025/02/18,20:56:33,高雄市左營區新庄仔路269號
Account,自動回應訊息,2025/02/18,20:56:34,貼圖已傳送
Account,自動回應訊息,2025/02/18,20:56:34,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,FAGO異法餐盒  左營店自家用,2025/02/18,20:56:39,鯖魚一件
Account,自動回應訊息,2025/02/18,20:56:40,貼圖已傳送
Account,自動回應訊息,2025/02/18,20:56:40,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,FAGO異法餐盒  左營店自家用,2025/02/24,20:10:27,鯖魚一件
Account,自動回應訊息,2025/02/24,20:10:27,貼圖已傳送
Account,自動回應訊息,2025/02/24,20:10:27,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,FAGO異法餐盒  左營店自家用,2025/02/24,20:10:31,請問明天送嗎？
Account,自動回應訊息,2025/02/24,20:10:31,貼圖已傳送
Account,自動回應訊息,2025/02/24,20:10:31,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,王振華,2025/02/24,23:50:08,老闆好，高雄市區送貨時間為星期一、三、五，所以星期三會送去
User,FAGO異法餐盒  左營店自家用,2025/03/18,19:43:27,鯖魚一件
Account,自動回應訊息,2025/03/18,19:43:27,貼圖已傳送
Account,自動回應訊息,2025/03/18,19:43:27,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
