帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:19
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/02/25,13:03:43,"加入(nine)(eight)(eight)
頭家輕鬆賺飽飽
人客健康呷飽飽"
Account,自動回應訊息,2024/02/25,13:03:43,"林秋華歡迎您加入988廚房。
☑我們是HACCP認證，合法工廠直營，冷凍冷藏加工調理食安保證
☑專業加工廠直接供貨，方便訂貨．產品平價．好品質!
請先傳個貼圖打聲招呼喔~
詢價、訂貨請提供店家名字/聯絡電話/地址或拍照上傳名片"
User,鳳山/連豐-青年店(XZY5HFS20),2024/03/02,14:24:54,照片已傳送
Account,自動回應訊息,2024/03/02,14:24:55,貼圖已傳送
Account,自動回應訊息,2024/03/02,14:24:55,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,鳳山/連豐-青年店(XZY5HFS20),2024/03/02,14:25:47,連豐（青年店）
Account,自動回應訊息,2024/03/02,14:25:48,貼圖已傳送
Account,自動回應訊息,2024/03/02,14:25:48,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
Account,王振華,2024/03/03,20:24:38,請問鯖魚2箱嗎？
User,鳳山/連豐-青年店(XZY5HFS20),2024/03/03,20:25:48,對，謝謝你
Account,自動回應訊息,2024/03/03,20:25:49,貼圖已傳送
Account,自動回應訊息,2024/03/03,20:25:49,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,鳳山/連豐-青年店(XZY5HFS20),2024/03/08,12:50:16,鯖魚2箱
User,鳳山/連豐-青年店(XZY5HFS20),2024/03/08,12:50:45,連豐（青年）
Account,俐均,2024/03/08,12:52:18,"老闆娘您好
下星期一幫您送
謝謝"
User,鳳山/連豐-青年店(XZY5HFS20),2024/03/08,12:57:22,貼圖已傳送
User,鳳山/連豐-青年店(XZY5HFS20),2024/03/12,15:43:24,"連豐（青年）
鹹魚2箱"
Account,林鈺婷,2024/03/12,15:43:31,貼圖已傳送
User,鳳山/連豐-青年店(XZY5HFS20),2024/03/17,15:40:43,"連豐（青年）
鹹魚2箱"
Account,自動回應訊息,2024/03/17,15:40:43,貼圖已傳送
