帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:19
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,大寮/元手作(MGY000000),2024/01/29,12:42:38,我要一箱
Account,林鈺婷,2024/01/29,12:43:48,明天幫您送過去喔~謝謝
User,大寮/元手作(MGY000000),2024/01/29,12:52:50,好
User,大寮/元手作(MGY000000),2024/01/29,12:53:05,大概幾點
User,大寮/元手作(MGY000000),2024/01/29,12:53:17,價格1080
Account,林鈺婷,2024/01/29,13:00:31,老闆不好意思~要看明天的行程才能知道時間
User,大寮/元手作(MGY000000),2024/01/29,13:00:46,好
User,大寮/元手作(MGY000000),2024/02/03,08:27:19,在幫我配送一箱
Account,自動回應訊息,2024/02/03,08:27:20,貼圖已傳送
Account,自動回應訊息,2024/02/03,08:27:20,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
Account,俐均,2024/03/26,12:08:03,"白口魚 100/120 950元 一尾約12元
             120/150 1050元 一尾約21元
              150/180 1100元 一尾約42元"
Account,俐均,2024/03/26,12:09:50,"金線魚 100/120 950元/箱   一尾約14元
              120/150 1050元/箱 一尾約16元
              150/180 1100元/箱 一尾約22元"
Account,俐均,2024/03/26,12:16:51,"哈克魚    100/120  1000元/箱   一尾約16元
                120/150  1100元/箱   一尾約22元
                150/180   1150元/箱  一尾約42元"
Account,俐均,2024/03/26,12:20:44,"白帶魚切塊  5/6 1300元/箱  一塊約19元
                      4/5  1250元/箱 一塊約22元
                      3/4  1300元/箱 一塊約28元"
Account,俐均,2024/03/26,12:25:04,"烏魚切塊100/130  750元/箱   一塊約18元
                130/160  750元/箱   一塊約22元"
User,大寮/元手作(MGY000000),2024/03/26,12:54:53,有照片嗎
Account,林鈺婷,2024/03/26,14:01:53,照片已傳送
Account,林鈺婷,2024/03/26,14:01:54,照片已傳送
Account,林鈺婷,2024/03/26,14:01:54,照片已傳送
User,大寮/元手作(MGY000000),2024/03/26,14:57:56,感恩
Account,俐均,2024/03/26,15:05:27,貼圖已傳送
User,大寮/元手作(MGY000000),2024/04/11,15:31:22,我鯖魚有漲價嗎
Account,林鈺婷,2024/04/11,15:32:52,老闆您好~我們鯖魚全面都有調漲喔，您的每公斤漲15元，一箱1170元
User,大寮/元手作(MGY000000),2024/04/11,15:33:24,好
Account,俐均,2024/04/11,15:37:37,貼圖已傳送
User,大寮/元手作(MGY000000),2024/04/14,13:51:29,照片已傳送
Account,自動回應訊息,2024/04/14,13:51:30,貼圖已傳送
Account,自動回應訊息,2024/04/14,13:51:30,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,大寮/元手作(MGY000000),2024/04/14,13:52:10,"可以帶過來我再看看規格我要哪一個
我要鯖魚一箱"
Account,自動回應訊息,2024/04/14,13:52:11,貼圖已傳送
Account,自動回應訊息,2024/04/14,13:52:11,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,大寮/元手作(MGY000000),2024/04/14,17:52:15,要
Account,自動回應訊息,2024/04/14,17:52:16,貼圖已傳送
Account,自動回應訊息,2024/04/14,17:52:16,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,大寮/元手作(MGY000000),2024/04/18,14:01:30,照片已傳送
User,大寮/元手作(MGY000000),2024/04/18,14:01:51,為什麼白口魚裡面都有這個
Account,林鈺婷,2024/04/18,14:03:38,老闆不好意思~因為照片有點模糊，請問是甚麼東西呢?
User,大寮/元手作(MGY000000),2024/04/18,14:04:05,我也不知道
User,大寮/元手作(MGY000000),2024/04/18,14:04:17,白口魚裡面的
Account,林鈺婷,2024/04/18,14:11:41,"老闆您好~剛剛有跟廠商確認過了，應該是內臟的殘渣
類似魚腸之類的，用水清洗掉就可以了"
User,大寮/元手作(MGY000000),2024/04/18,14:20:22,我的意思是
User,大寮/元手作(MGY000000),2024/04/18,14:20:45,裡面有殘渣不是白口魚的魚
User,大寮/元手作(MGY000000),2024/04/18,14:20:57,還很小隻
Account,俐均,2024/04/18,16:36:35,"老闆您好
這是白口魚(只是他比較瘦一點)"
User,大寮/元手作(MGY000000),2024/04/18,17:29:05,嗯嗯
User,大寮/元手作(MGY000000),2024/06/17,14:39:38,你們有什麼肉類不是炸的
Account,俐均,2024/06/17,14:41:58,"老闆好
有腿排.大排.鹹豬肉.棒棒腿.火鍋肉片"
User,大寮/元手作(MGY000000),2024/06/17,14:43:32,棒棒腿是什麼棒腿
Account,俐均,2024/06/17,14:45:02,有阿里山烤棒腿及蜜汁烤棒腿
User,大寮/元手作(MGY000000),2024/06/17,14:48:37,那他可以用蒸的嗎
Account,俐均,2024/06/17,14:59:19,若用蒸的棒腿上面的醬料會失去一點點....口味會稍微淡掉
User,大寮/元手作(MGY000000),2024/06/17,15:02:20,好
Account,俐均,2024/06/17,15:03:48,貼圖已傳送
User,大寮/元手作(MGY000000),2024/06/17,15:05:00,感恩
Account,俐均,2024/06/17,15:05:14,貼圖已傳送
User,大寮/元手作(MGY000000),2024/06/18,16:29:32,蜜汁的一包多少錢
Account,林鈺婷,2024/06/18,16:45:14,一包２０支４００元
User,大寮/元手作(MGY000000),2024/07/12,18:44:54,那個是重量不一樣而已嗎
Account,自動回應訊息,2024/07/12,18:44:55,貼圖已傳送
Account,自動回應訊息,2024/07/12,18:44:55,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,大寮/元手作(MGY000000),2024/07/14,21:26:00,？
Account,自動回應訊息,2024/07/14,21:26:00,貼圖已傳送
Account,自動回應訊息,2024/07/14,21:26:00,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,王振華,2024/07/14,23:10:29,老闆是的，比較大片
User,大寮/元手作(MGY000000),2024/07/14,23:11:11,什麼意思
Account,自動回應訊息,2024/07/14,23:11:11,貼圖已傳送
Account,自動回應訊息,2024/07/14,23:11:11,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,大寮/元手作(MGY000000),2024/07/14,23:11:34,一片的公克數是多少
Account,自動回應訊息,2024/07/14,23:11:34,貼圖已傳送
Account,自動回應訊息,2024/07/14,23:11:34,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,林鈺婷,2024/07/15,08:45:07,一片的克數是160克-200克的和200克240克的
User,大寮/元手作(MGY000000),2024/07/15,09:25:05,好
User,大寮/元手作(MGY000000),2024/07/15,09:25:20,那只是一箱的公斤數不一樣而已
Account,林鈺婷,2024/07/15,09:26:07,品質會有差喔~鯖魚6公斤A的品質會比較好一點
User,大寮/元手作(MGY000000),2024/07/15,09:27:02,好
User,大寮/元手作(MGY000000),2024/08/11,14:33:38,"鯖魚無骨的
A級
80-100
100-130可以幫送來
我先選看大小要哪一箱"
Account,自動回應訊息,2024/08/11,14:33:38,貼圖已傳送
Account,自動回應訊息,2024/08/11,14:33:38,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,大寮/元手作(MGY000000),2024/08/14,21:44:15,我要一箱80-100的鯖魚
Account,自動回應訊息,2024/08/14,21:44:16,貼圖已傳送
Account,自動回應訊息,2024/08/14,21:44:16,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,大寮/元手作(MGY000000),2024/09/04,22:12:32,我要一箱80-100的鯖魚
Account,自動回應訊息,2024/09/04,22:12:33,貼圖已傳送
Account,自動回應訊息,2024/09/04,22:12:33,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,大寮/元手作(MGY000000),2024/09/10,21:25:58,我要一箱80-100的鯖魚
Account,自動回應訊息,2024/09/10,21:25:59,貼圖已傳送
Account,自動回應訊息,2024/09/10,21:25:59,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,大寮/元手作(MGY000000),2024/09/12,22:30:24,"我要一箱80-100的鯖魚
我要5公斤的
我看一下差多少"
Account,自動回應訊息,2024/09/12,22:30:25,貼圖已傳送
Account,自動回應訊息,2024/09/12,22:30:25,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,大寮/元手作(MGY000000),2024/09/18,12:46:58,我明天要一箱金線魚
Account,俐均,2024/09/18,14:20:24,貼圖已傳送
User,大寮/元手作(MGY000000),2024/09/18,16:16:02,明天大概幾點會送到
Account,林鈺婷,2024/09/18,16:16:25,要等明天早上才會知道，不好意思
User,大寮/元手作(MGY000000),2024/09/18,18:36:49,好
Account,自動回應訊息,2024/09/18,18:36:50,貼圖已傳送
Account,自動回應訊息,2024/09/18,18:36:50,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,大寮/元手作(MGY000000),2024/09/18,18:36:51,感恩
Account,自動回應訊息,2024/09/18,18:36:52,貼圖已傳送
