帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:12
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,1.九如2.里港/小南老蘇便當,2024/01/03,14:22:04,"明天九如小南
綠花椰菜2箱（散裝）
白花椰菜2箱（散裝）
鯖魚1箱"
Account,林鈺婷,2024/01/03,14:22:13,貼圖已傳送
User,1.九如2.里港/小南老蘇便當,2024/01/07,23:12:51,"明天九如小南
鯖魚2箱"
Account,自動回應訊息,2024/01/07,23:12:51,貼圖已傳送
Account,自動回應訊息,2024/01/07,23:12:51,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,1.九如2.里港/小南老蘇便當,2024/01/11,01:52:27,"明天九如小南
白花椰菜2箱（散裝）
鯖魚1箱"
Account,自動回應訊息,2024/01/11,01:52:27,貼圖已傳送
Account,自動回應訊息,2024/01/11,01:52:27,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,1.九如2.里港/小南老蘇便當,2024/01/14,15:54:51,"明天九如小南
鯖魚3箱"
Account,自動回應訊息,2024/01/14,15:54:51,貼圖已傳送
Account,自動回應訊息,2024/01/14,15:54:51,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,1.九如2.里港/小南老蘇便當,2024/01/22,10:31:43,請問還能叫貨嗎
Account,林鈺婷,2024/01/22,10:32:06,可以喔
Account,林鈺婷,2024/01/22,10:32:11,"請問需有
要什麼"
User,1.九如2.里港/小南老蘇便當,2024/01/22,10:32:23,"九如小南
白花椰菜2箱（散裝）
鯖魚1箱"
Account,林鈺婷,2024/01/22,10:33:09,貼圖已傳送
