帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:19
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/03/19,15:45:36,"加入(nine)(eight)(eight)
頭家輕鬆賺飽飽
人客健康呷飽飽"
Account,自動回應訊息,2024/03/19,15:45:36,"Ruby張雅珺歡迎您加入988廚房。
☑我們是HACCP認證，合法工廠直營，冷凍冷藏加工調理食安保證
☑專業加工廠直接供貨，方便訂貨．產品平價．好品質!
請先傳個貼圖打聲招呼喔~
詢價、訂貨請提供店家名字/聯絡電話/地址或拍照上傳名片"
User,崑泰老人長期照顧中心會計-張雅珺,2024/04/01,12:55:28,你好，我是崑泰新來的會計人員，明天可以來收款喔！
Account,俐均,2024/04/01,13:01:06,貼圖已傳送
Account,俐均,2024/05/03,13:34:38,"您好
請問下星期二可以去收四月的款嗎?"
Account,俐均,2024/05/03,13:34:56,1785+1953
User,崑泰老人長期照顧中心會計-張雅珺,2024/05/03,13:54:03,你好，跟你確認一下這兩筆貨款是不是4/2、4/19送貨的呢？
Account,俐均,2024/05/03,14:00:48,對
User,崑泰老人長期照顧中心會計-張雅珺,2024/05/03,14:04:37,"那這部分算是4月貨款
先前跟你們約定是當月貨款，下月做結清，這筆帳的部分我們是下月再跟你們做結清喔！
如果本月先結款，我們這邊作帳上會混亂，不好意思，請見諒！"
Account,俐均,2024/05/03,14:19:44,貼圖已傳送
User,崑泰老人長期照顧中心會計-張雅珺,2024/05/31,14:40:26,"您好，我這邊是崑泰長照機構，下週二可以來收款了
之後帳款的部分可以直接跟我聯繫"
Account,林鈺婷,2024/05/31,14:44:43,貼圖已傳送
Account,林鈺婷,2024/07/01,15:27:53,您好~請問明天方便過去收款嗎?
User,崑泰老人長期照顧中心會計-張雅珺,2024/07/01,15:30:26,跟您確認一下，6月帳款是1953元，對嗎？
Account,俐均,2024/07/01,15:33:10,是的
Account,俐均,2024/07/01,15:33:50,是五月喔
User,崑泰老人長期照顧中心會計-張雅珺,2024/07/01,15:35:19,對，不好意思，可以明天收款，謝謝
Account,俐均,2024/07/01,15:55:47,貼圖已傳送
Account,林鈺婷,2024/08/21,11:25:40,您好~想問一下7月的貨款，這星期五方便過去收嗎?
User,崑泰老人長期照顧中心會計-張雅珺,2024/08/21,17:05:45,可以喔！
Account,俐均,2024/08/22,11:04:56,貼圖已傳送
Account,林鈺婷,2025/02/25,09:09:56,您好~想問一下1月的貨款，今天方便過去收嗎?
User,崑泰老人長期照顧中心會計-張雅珺,2025/02/25,11:01:30,您好，可以領貨款時再跟您通知喔！
Account,林鈺婷,2025/02/25,11:02:15,貼圖已傳送
Account,林鈺婷,2025/03/03,14:45:37,您好~想問一下1月的貨款，明天方便過去收嗎?
User,崑泰老人長期照顧中心會計-張雅珺,2025/03/03,14:45:51,可以
