帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:19
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2025/02/18,11:56:43,"加入(nine)(eight)(eight)
頭家輕鬆賺飽飽
人客健康呷飽飽"
Account,自動回應訊息,2025/02/18,11:56:43,"鏡玲河粉歡迎您加入988廚房。
☑我們是HACCP認證，合法工廠直營，冷凍冷藏加工調理食安保證
☑專業加工廠直接供貨，方便訂貨．產品平價．好品質!
請先傳個貼圖打聲招呼喔~
詢價、訂貨請提供店家名字/聯絡電話/地址或拍照上傳名片"
User,鏡玲河粉(小東港/小玲河粉),2025/02/18,11:57:12,小東港小玲河粉
Account,林鈺婷,2025/02/18,11:58:30,老闆娘您好~
User,鏡玲河粉(小東港/小玲河粉),2025/02/21,07:23:51,今天麻煩幫我送蝦2箱
Account,自動回應訊息,2025/02/21,07:23:51,貼圖已傳送
Account,自動回應訊息,2025/02/21,07:23:51,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,林鈺婷,2025/02/21,09:20:20,"老闆娘不好意思
今天只有一箱
先請司機送過去"
User,鏡玲河粉(小東港/小玲河粉),2025/02/21,09:20:55,好
Account,王振華,2025/03/02,21:34:23,老闆娘好，請問您，熟白蝦是要一盒295元的還是要大盒的350元的
