帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:12
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,鳳山/園味煮藝(MJ5U00000),2024/01/05,08:28:07,"您好，今天訂單如下：
鯖魚160/200 5K×1箱
青花椰×1箱(一整袋裝，不分裝的那一種)
白花椰1箱"
Account,林鈺婷,2024/01/05,08:29:36,貼圖已傳送
User,鳳山/園味煮藝(MJ5U00000),2024/01/10,18:02:40,"您好，明天訂單如下：
鯖魚160/200 5K×1箱
青花椰×1箱(一整袋裝，不分裝的那一種)
白花椰1箱"
Account,林鈺婷,2024/01/10,18:02:54,貼圖已傳送
User,鳳山/園味煮藝(MJ5U00000),2024/01/11,14:09:52,請問我們的貨是不是忘了送
Account,林鈺婷,2024/01/11,14:10:40,您好~今天有安排幫您出貨喔
Account,林鈺婷,2024/01/11,14:11:32,我詢問一下司機到哪裡了，稍等一下
Account,林鈺婷,2024/01/11,14:14:23,司機說剛剛已經送到了喔，謝謝
User,鳳山/園味煮藝(MJ5U00000),2024/01/11,14:14:37,收到了
User,鳳山/園味煮藝(MJ5U00000),2024/01/11,14:14:42,謝謝
Account,林鈺婷,2024/01/11,14:15:26,貼圖已傳送
User,鳳山/園味煮藝(MJ5U00000),2024/01/17,09:16:16,"您好，今天訂單如下：
鯖魚160/200 5K×1箱
青花椰×1箱(一整袋裝，不分裝的那一種)
白花椰1箱"
User,鳳山/園味煮藝(MJ5U00000),2024/01/17,09:16:24,來得及嗎
Account,林鈺婷,2024/01/17,09:16:59,可以喔~今天幫您送過去
User,鳳山/園味煮藝(MJ5U00000),2024/01/17,09:56:56,貼圖已傳送
User,鳳山/園味煮藝(MJ5U00000),2024/01/23,14:02:13,"您好，明天訂單如下：
鯖魚160/200 5K×1箱
青花椰×1箱(一整袋裝，不分裝的那一種)
白花椰1箱"
Account,俐均,2024/01/23,14:02:24,貼圖已傳送
User,鳳山/園味煮藝(MJ5U00000),2024/01/31,09:05:10,"您好，今天訂單如下：
鯖魚160/200 5K×1箱
青花椰×1箱(一整袋裝，不分裝的那一種)
白花椰1箱"
Account,林鈺婷,2024/01/31,09:05:47,貼圖已傳送
User,鳳山/園味煮藝(MJ5U00000),2024/02/18,19:36:42,"您好，明天訂單如下：
鯖魚160/200 5K×1箱
青花椰×1箱(一整袋裝，不分裝的那一種)
白花椰1箱"
Account,自動回應訊息,2024/02/18,19:36:43,貼圖已傳送
Account,自動回應訊息,2024/02/18,19:36:43,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,鳳山/園味煮藝(MJ5U00000),2024/02/19,12:21:54,不好意思，請問一下，我們的貨是不是有備註1點前到？
Account,林鈺婷,2024/02/19,12:23:29,您好~有跟司機說，司機會再跟您聯絡
User,鳳山/園味煮藝(MJ5U00000),2024/02/19,12:41:37,貼圖已傳送
User,鳳山/園味煮藝(MJ5U00000),2024/02/25,16:37:27,"您好，明天訂單如下：
鯖魚160/200 5K×1箱
青花椰×1箱(一整袋裝，不分裝的那一種)
白花椰1箱"
Account,自動回應訊息,2024/02/25,16:37:27,貼圖已傳送
Account,自動回應訊息,2024/02/25,16:37:27,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,鳳山/園味煮藝(MJ5U00000),2024/03/04,09:06:48,"您好，今天訂單如下：
鯖魚160/200 5K×1箱
青花椰×1箱(一整袋裝，不分裝的那一種)
白花椰1箱"
User,鳳山/園味煮藝(MJ5U00000),2024/03/04,09:06:53,來得及嗎
Account,俐均,2024/03/04,09:07:09,可以
Account,俐均,2024/03/04,09:13:46,貼圖已傳送
User,鳳山/園味煮藝(MJ5U00000),2024/03/04,09:22:29,貼圖已傳送
Account,俐均,2024/03/04,09:24:56,貼圖已傳送
Account,Mita💮(づ￣ ³￣)づ雅婷💓,2024/03/04,09:35:56,"老闆 早安
不好意思,目前青花剩下小包裝的,今天請司機先幫您送小包裝的過去給您~"
User,鳳山/園味煮藝(MJ5U00000),2024/03/04,12:00:51,貼圖已傳送
Account,俐均,2024/03/04,12:01:35,貼圖已傳送
User,鳳山/園味煮藝(MJ5U00000),2024/03/11,08:53:34,"您好，今天訂單如下：
鯖魚160/200 5K×1箱
青花椰×1箱(一整袋裝，不分裝的那一種)
白花椰1箱"
Account,俐均,2024/03/11,09:02:57,"老闆娘您好
散裝的目前缺貨
幫您送小青花好嗎?"
User,鳳山/園味煮藝(MJ5U00000),2024/03/11,09:27:14,貼圖已傳送
Account,俐均,2024/03/11,09:29:11,貼圖已傳送
User,鳳山/園味煮藝(MJ5U00000),2024/03/15,08:46:40,"您好，今天訂單如下：
鯖魚160/200 5K×1箱
青花椰×1箱(一整袋裝，不分裝的那一種)
白花椰1箱"
Account,林鈺婷,2024/03/15,08:56:35,"老闆娘您好
青花菜目前缺貨
下星期一才會到貨"
User,鳳山/園味煮藝(MJ5U00000),2024/03/15,09:36:37,那請問一下這樣還有算優惠100嗎？
Account,林鈺婷,2024/03/15,09:37:39,如果改成兩箱白花，才有優惠100元喔
Account,林鈺婷,2024/03/15,09:37:53,請問要改成兩箱白花嗎?
User,鳳山/園味煮藝(MJ5U00000),2024/03/15,09:38:13,等等，我排一下
User,鳳山/園味煮藝(MJ5U00000),2024/03/15,09:39:23,好，兩箱白花
Account,林鈺婷,2024/03/15,09:40:52,貼圖已傳送
User,鳳山/園味煮藝(MJ5U00000),2024/03/15,09:41:13,另外，想問一下，如果只有單訂青花菜2箱（沒有訂鯖魚），這樣有優惠100嗎？
Account,林鈺婷,2024/03/15,09:42:13,沒有喔~要兩箱青花或白花 再加一個品項才有
User,鳳山/園味煮藝(MJ5U00000),2024/03/15,09:42:50,了解，謝謝
Account,林鈺婷,2024/03/15,09:52:21,貼圖已傳送
User,鳳山/園味煮藝(MJ5U00000),2024/03/20,13:05:10,"您好，明天訂單如下：
鯖魚160/200 5K×1箱
青花椰×1箱(一整袋裝，不分裝的那一種)
白花椰1箱"
Account,俐均,2024/03/20,14:01:11,貼圖已傳送
User,鳳山/園味煮藝(MJ5U00000),2024/03/21,14:06:07,請問貨到了嗎？
Account,林鈺婷,2024/03/21,14:07:01,幫您詢問一下司機到哪裡了喔
Account,俐均,2024/03/21,14:09:33,"老闆您好
司機15分鐘後到"
Account,俐均,2024/03/21,14:09:35,謝謝
User,鳳山/園味煮藝(MJ5U00000),2024/03/21,14:12:42,因為我們一點就休息了
User,鳳山/園味煮藝(MJ5U00000),2024/03/21,14:13:21,超過太久員工都下班休息了
Account,林鈺婷,2024/03/21,14:14:48,老闆娘不好意思~我們司機都有盡量趕了，有時候因為貨量跟路上的狀況會比較晚一點
Account,林鈺婷,2024/03/21,14:14:51,真的很不好意思
User,鳳山/園味煮藝(MJ5U00000),2024/03/21,14:18:06,收到，謝謝
User,鳳山/園味煮藝(MJ5U00000),2024/03/21,14:18:40,辛苦妳了
Account,林鈺婷,2024/03/21,14:21:52,貼圖已傳送
