帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:19
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/03/25,13:59:30,"加入(nine)(eight)(eight)
頭家輕鬆賺飽飽
人客健康呷飽飽"
Account,自動回應訊息,2024/03/25,13:59:30,"陳小翔歡迎您加入988廚房。
☑我們是HACCP認證，合法工廠直營，冷凍冷藏加工調理食安保證
☑專業加工廠直接供貨，方便訂貨．產品平價．好品質!
請先傳個貼圖打聲招呼喔~
詢價、訂貨請提供店家名字/聯絡電話/地址或拍照上傳名片"
User,陳小翔-幸福自助餐,2024/03/25,13:59:48,你好，我是幸福自助餐
Account,俐均,2024/03/25,14:01:35,"老闆您好
請問是枋寮嗎?"
User,陳小翔-幸福自助餐,2024/03/25,14:02:01,對
Account,俐均,2024/03/25,14:02:07,收到
User,陳小翔-幸福自助餐,2024/03/25,15:16:51,明天補鬼頭刀切塊，赤粽魚120/150，豬頭皮一包，謝啦
Account,俐均,2024/03/25,15:18:27,"老闆您好
赤宗魚120/150目前缺貨
帶200/250的規格去給您看好嗎?"
User,陳小翔-幸福自助餐,2024/03/25,15:20:47,那取消赤宗魚，換烏魚
Account,俐均,2024/03/25,15:21:17,好的
User,陳小翔-幸福自助餐,2024/03/29,08:48:55,今天補鹹魚200/240，鯰魚有肚洞，謝啦
Account,林鈺婷,2024/03/29,08:55:11,貼圖已傳送
User,陳小翔-幸福自助餐,2024/04/08,17:18:14,明天補鹹魚200/240，巴沙魚排，鱸魚切塊，秋刀魚
Account,俐均,2024/04/08,17:24:52,貼圖已傳送
User,陳小翔-幸福自助餐,2024/04/11,21:23:30,補鹹魚200/240，半香雞60片，鬼頭刀切塊，海苔柳葉魚2包
Account,自動回應訊息,2024/04/11,21:23:30,貼圖已傳送
Account,自動回應訊息,2024/04/11,21:23:30,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,陳小翔-幸福自助餐,2024/04/29,16:50:41,明天補鹹魚200/240，暑魚切塊，小卷圈
Account,俐均,2024/04/29,16:51:12,貼圖已傳送
Account,俐均,2024/04/29,17:09:11,"老闆您好
小卷圈買10送4優惠至4/30"
Account,俐均,2024/04/29,17:09:15,貼圖已傳送
User,陳小翔-幸福自助餐,2024/04/30,02:53:23,小卷圈一箱
Account,自動回應訊息,2024/04/30,02:53:23,貼圖已傳送
Account,自動回應訊息,2024/04/30,02:53:23,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,林鈺婷,2024/04/30,08:36:25,老闆請問是要再追加一箱嗎?
User,陳小翔-幸福自助餐,2024/04/30,09:08:15,喔，不是，我以為你們誤會成我只叫一包
User,陳小翔-幸福自助餐,2024/04/30,09:08:32,我是要叫一箱
Account,林鈺婷,2024/04/30,09:10:06,貼圖已傳送
Account,林鈺婷,2024/06/14,16:23:50,檔案已傳送
Account,林鈺婷,2024/06/14,16:24:06,老闆您好~這是我們新的報價單
Account,林鈺婷,2024/06/17,17:40:39,照片已傳送
Account,林鈺婷,2024/06/17,17:40:40,照片已傳送
Account,林鈺婷,2024/06/17,17:40:41,照片已傳送
Account,林鈺婷,2024/06/17,17:40:41,照片已傳送
Account,林鈺婷,2024/06/17,17:40:42,照片已傳送
Account,林鈺婷,2024/06/17,17:40:42,照片已傳送
Account,林鈺婷,2024/06/17,17:40:43,照片已傳送
Account,林鈺婷,2024/06/17,17:40:43,照片已傳送
Account,林鈺婷,2024/06/17,17:40:51,照片已傳送
Account,林鈺婷,2024/06/17,17:40:52,照片已傳送
Account,林鈺婷,2024/06/17,17:40:52,照片已傳送
Account,林鈺婷,2024/06/17,17:40:53,照片已傳送
Account,林鈺婷,2024/06/17,17:40:53,照片已傳送
Account,林鈺婷,2024/06/17,17:40:54,照片已傳送
Account,林鈺婷,2024/06/17,17:40:54,照片已傳送
User,陳小翔-幸福自助餐,2024/07/11,22:16:19,明天補醬燒棒腿一包，肉魚4/5，
Account,自動回應訊息,2024/07/11,22:16:19,貼圖已傳送
Account,自動回應訊息,2024/07/11,22:16:19,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,陳小翔-幸福自助餐,2025/02/23,14:01:42,老闆，上次你說的調理包大賣場是啥名字
Account,王振華,2025/02/23,18:39:59,旺來昌
Account,王振華,2025/02/23,18:41:19,照片已傳送
User,陳小翔-幸福自助餐,2025/02/23,19:52:14,謝謝
Account,自動回應訊息,2025/02/23,19:52:15,貼圖已傳送
Account,自動回應訊息,2025/02/23,19:52:15,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
