帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:12
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,萬巒/真好食自助餐(5CGY5H000),2024/01/03,20:20:32,哈克1鹹魚1柳葉1青花2玉米粒6包
Account,自動回應訊息,2024/01/03,20:20:33,貼圖已傳送
Account,自動回應訊息,2024/01/03,20:20:33,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
Account,俐均,2024/01/04,08:36:20,"老闆娘您好
玉米粒有特價
幫您送一箱好嗎?"
User,萬巒/真好食自助餐(5CGY5H000),2024/01/07,17:35:47,烏魚1青花2
Account,自動回應訊息,2024/01/07,17:35:48,貼圖已傳送
Account,自動回應訊息,2024/01/07,17:35:48,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
Account,林鈺婷,2024/01/08,08:51:23,老闆娘早，目前烏魚只有上次司機帶過去給您看的那種，請問可以嗎?
User,萬巒/真好食自助餐(5CGY5H000),2024/01/10,20:42:51,鹹魚
Account,自動回應訊息,2024/01/10,20:42:52,貼圖已傳送
Account,自動回應訊息,2024/01/10,20:42:52,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,萬巒/真好食自助餐(5CGY5H000),2024/01/10,20:43:25,哈克1烏魚1
Account,自動回應訊息,2024/01/10,20:43:25,貼圖已傳送
Account,自動回應訊息,2024/01/10,20:43:25,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
Account,林鈺婷,2024/01/11,08:35:29,老闆娘烏魚只有上次帶過去的那種可以嗎?
User,萬巒/真好食自助餐(5CGY5H000),2024/01/11,08:38:57,好
User,萬巒/真好食自助餐(5CGY5H000),2024/01/14,15:27:22,烏魚1青花2哈克1
Account,自動回應訊息,2024/01/14,15:27:22,貼圖已傳送
Account,自動回應訊息,2024/01/14,15:27:22,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,萬巒/真好食自助餐(5CGY5H000),2024/01/16,14:56:39,明天可以幫送一箱鹹魚嗎
Account,林鈺婷,2024/01/16,15:02:01,我請司機盡量安排看看
User,萬巒/真好食自助餐(5CGY5H000),2024/01/16,15:04:31,謝謝你
User,萬巒/真好食自助餐(5CGY5H000),2024/01/17,20:53:31,烏魚1玉米粒1箱
Account,自動回應訊息,2024/01/17,20:53:31,貼圖已傳送
Account,自動回應訊息,2024/01/17,20:53:31,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,萬巒/真好食自助餐(5CGY5H000),2024/01/21,18:03:14,鹹魚哈克烏魚青花2玉米粒1箱
Account,自動回應訊息,2024/01/21,18:03:14,貼圖已傳送
Account,自動回應訊息,2024/01/21,18:03:14,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,萬巒/真好食自助餐(5CGY5H000),2024/01/21,18:03:44,玉米粒先不用
Account,自動回應訊息,2024/01/21,18:03:45,貼圖已傳送
Account,自動回應訊息,2024/01/21,18:03:45,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,萬巒/真好食自助餐(5CGY5H000),2024/01/24,19:34:30,鹹魚1烏魚1青花2玉米粒1
Account,自動回應訊息,2024/01/24,19:34:30,貼圖已傳送
Account,自動回應訊息,2024/01/24,19:34:30,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,萬巒/真好食自助餐(5CGY5H000),2024/01/28,21:23:24,烏魚1青花2
Account,自動回應訊息,2024/01/28,21:23:25,貼圖已傳送
Account,自動回應訊息,2024/01/28,21:23:25,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,萬巒/真好食自助餐(5CGY5H000),2024/01/31,19:36:18,鹹魚1烏魚1玉米粒1青花2
Account,自動回應訊息,2024/01/31,19:36:19,貼圖已傳送
Account,自動回應訊息,2024/01/31,19:36:19,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,萬巒/真好食自助餐(5CGY5H000),2024/02/04,18:11:40,鹹魚1烏魚1玉米粒1青花2
Account,自動回應訊息,2024/02/04,18:11:40,貼圖已傳送
Account,自動回應訊息,2024/02/04,18:11:40,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,萬巒/真好食自助餐(5CGY5H000),2024/02/14,15:54:10,鹹魚1烏魚1
Account,林鈺婷,2024/02/14,16:00:27,貼圖已傳送
User,萬巒/真好食自助餐(5CGY5H000),2024/02/18,17:43:31,烏魚1鹹魚1青花2
Account,自動回應訊息,2024/02/18,17:43:32,貼圖已傳送
Account,自動回應訊息,2024/02/18,17:43:32,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,萬巒/真好食自助餐(5CGY5H000),2024/02/21,20:23:48,烏魚1鹹魚2玉米粒1青花2
Account,自動回應訊息,2024/02/21,20:23:49,貼圖已傳送
Account,自動回應訊息,2024/02/21,20:23:49,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,萬巒/真好食自助餐(5CGY5H000),2024/02/25,17:20:44,烏魚1玉米粒1青花2
Account,自動回應訊息,2024/02/25,17:20:45,貼圖已傳送
Account,自動回應訊息,2024/02/25,17:20:45,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,萬巒/真好食自助餐(5CGY5H000),2024/02/28,19:45:32,烏魚1
Account,自動回應訊息,2024/02/28,19:45:33,貼圖已傳送
Account,自動回應訊息,2024/02/28,19:45:33,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,萬巒/真好食自助餐(5CGY5H000),2024/03/03,20:56:33,鹹魚1烏魚1青花2
Account,自動回應訊息,2024/03/03,20:56:33,貼圖已傳送
Account,自動回應訊息,2024/03/03,20:56:33,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,萬巒/真好食自助餐(5CGY5H000),2024/03/06,21:06:46,鹹魚1烏魚1玉米粒1青花2
Account,自動回應訊息,2024/03/06,21:06:46,貼圖已傳送
Account,自動回應訊息,2024/03/06,21:06:46,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,萬巒/真好食自助餐(5CGY5H000),2024/03/10,14:19:57,烏魚1鹹魚1
Account,自動回應訊息,2024/03/10,14:19:58,貼圖已傳送
Account,自動回應訊息,2024/03/10,14:19:58,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,萬巒/真好食自助餐(5CGY5H000),2024/03/13,19:53:27,烏魚1青花2
Account,自動回應訊息,2024/03/13,19:53:28,貼圖已傳送
Account,自動回應訊息,2024/03/13,19:53:28,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,萬巒/真好食自助餐(5CGY5H000),2024/03/14,08:28:52,玉米粒1
Account,林鈺婷,2024/03/14,08:31:46,貼圖已傳送
User,萬巒/真好食自助餐(5CGY5H000),2024/03/17,18:01:31,烏魚1鹹魚1白口1青花2
Account,自動回應訊息,2024/03/17,18:01:32,貼圖已傳送
Account,自動回應訊息,2024/03/17,18:01:32,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，上班時間會盡快給您答覆"
User,萬巒/真好食自助餐(5CGY5H000),2024/03/20,19:53:12,鹹魚1烏魚1
Account,自動回應訊息,2024/03/20,19:53:12,貼圖已傳送
Account,自動回應訊息,2024/03/20,19:53:12,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，上班時間會盡快給您答覆"
User,萬巒/真好食自助餐(5CGY5H000),2024/03/24,17:54:52,鹹魚1烏魚1青花2玉米粒1
Account,自動回應訊息,2024/03/24,17:54:53,貼圖已傳送
Account,自動回應訊息,2024/03/24,17:54:53,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，上班時間會盡快給您答覆"
Account,俐均,2024/03/25,08:58:22,"老闆娘您好
小青花缺貨幫您送大青花好嗎?"
User,萬巒/真好食自助餐(5CGY5H000),2024/03/25,09:19:39,好
Account,俐均,2024/03/25,09:23:09,貼圖已傳送
User,萬巒/真好食自助餐(5CGY5H000),2024/03/27,19:02:48,烏魚1鹹魚1
