帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:19
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/04/08,12:18:11,"加入(nine)(eight)(eight)
頭家輕鬆賺飽飽
人客健康呷飽飽"
Account,自動回應訊息,2024/04/08,12:18:11,"張天耀Savon歡迎您加入988廚房。
☑我們是HACCP認證，合法工廠直營，冷凍冷藏加工調理食安保證
☑專業加工廠直接供貨，方便訂貨．產品平價．好品質!
請先傳個貼圖打聲招呼喔~
詢價、訂貨請提供店家名字/聯絡電話/地址或拍照上傳名片"
User,芙玉寶-張天耀Savon,2024/04/08,12:18:28,貼圖已傳送
Account,俐均,2024/04/08,12:19:39,老闆您好
Account,俐均,2024/04/08,12:19:53,請留店家及電話地址
User,芙玉寶-張天耀Savon,2024/04/08,12:23:00,芙玉寶香皂文創主題館。O9O58O5536~張先生~屏東縣南州鄉萬華村萬華路12O号
Account,俐均,2024/04/08,12:25:15,"收到
歡迎隨時下訂
送貨星期二與五"
User,芙玉寶-張天耀Savon,2024/04/08,12:26:55,貼圖已傳送
User,芙玉寶-張天耀Savon,2024/04/09,15:48:02,貼圖已傳送
Account,俐均,2024/04/09,15:49:18,貼圖已傳送
User,芙玉寶-張天耀Savon,2025/02/09,10:20:26,照片已傳送
User,芙玉寶-張天耀Savon,2025/02/09,10:20:30,照片已傳送
User,芙玉寶-張天耀Savon,2025/02/09,10:20:35,嚮應大家做環保
Account,林鈺婷,2025/02/10,09:01:36,貼圖已傳送
