帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:19
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2025/02/05,16:00:16,"加入(nine)(eight)(eight)
頭家輕鬆賺飽飽
人客健康呷飽飽"
Account,自動回應訊息,2025/02/05,16:00:16,"IronFood歡迎您加入988廚房。
☑我們是HACCP認證，合法工廠直營，冷凍冷藏加工調理食安保證
☑專業加工廠直接供貨，方便訂貨．產品平價．好品質!
請先傳個貼圖打聲招呼喔~
詢價、訂貨請提供店家名字/聯絡電話/地址或拍照上傳名片"
User,IronFood(彡食亭鐵板燒),2025/02/05,16:00:35,"彡食亭鐵板燒
0981183581 
位於高雄的餐廳(不限1家)"
User,IronFood(彡食亭鐵板燒),2025/02/05,16:00:47,照片已傳送
User,IronFood(彡食亭鐵板燒),2025/02/05,16:01:04,這是我們需求的進口冷凍水產，請報價給我們，謝謝
Account,俐均,2025/02/05,16:01:57,老闆娘好
Account,俐均,2025/02/05,16:05:18,"晚一點報價給您,謝謝"
User,IronFood(彡食亭鐵板燒),2025/02/05,16:07:03,好的，謝謝
User,IronFood(彡食亭鐵板燒),2025/02/05,16:45:08,照片已傳送
User,IronFood(彡食亭鐵板燒),2025/02/05,16:45:09,照片已傳送
User,IronFood(彡食亭鐵板燒),2025/02/05,16:45:09,照片已傳送
User,IronFood(彡食亭鐵板燒),2025/02/05,16:45:10,照片已傳送
User,IronFood(彡食亭鐵板燒),2025/02/05,16:45:11,照片已傳送
User,IronFood(彡食亭鐵板燒),2025/02/05,16:45:11,照片已傳送
User,IronFood(彡食亭鐵板燒),2025/02/05,16:45:12,照片已傳送
User,IronFood(彡食亭鐵板燒),2025/02/05,16:45:12,照片已傳送
User,IronFood(彡食亭鐵板燒),2025/02/05,16:45:14,尺寸規格照片給妳參考
Account,俐均,2025/02/05,16:48:29,謝謝
Account,俐均,2025/02/06,17:37:03,"老闆娘您好
請問有3P巴沙魚的照片方便提供給我們嗎?"
User,IronFood(彡食亭鐵板燒),2025/02/06,17:47:15,照片已傳送
User,IronFood(彡食亭鐵板燒),2025/02/06,17:47:15,照片已傳送
Account,俐均,2025/02/06,17:48:50,"產品報價
薄鹽鯖魚1.5S (半片) 100/120g  36元/片/一箱50入(未稅)
冷凍越南鮮蚵(純無泡水) 600g/160元/包 (未稅)
其它產品暫時沒有現貨"
User,IronFood(彡食亭鐵板燒),2025/02/06,17:49:14,是哦
