帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:19
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,13牛排館(內埔),2024/01/02,18:43:42,1/4 五箱花椰
Account,自動回應訊息,2024/01/02,18:43:42,貼圖已傳送
Account,自動回應訊息,2024/01/02,18:43:42,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,13牛排館(內埔),2024/01/10,12:53:48,1/15五箱花椰
Account,林鈺婷,2024/01/10,12:56:20,貼圖已傳送
User,13牛排館(內埔),2024/01/24,22:30:42,1/29五箱花椰
Account,自動回應訊息,2024/01/24,22:30:43,貼圖已傳送
Account,自動回應訊息,2024/01/24,22:30:43,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,13牛排館(內埔),2024/02/04,18:16:21,6箱花椰
Account,自動回應訊息,2024/02/04,18:16:22,貼圖已傳送
Account,自動回應訊息,2024/02/04,18:16:22,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,13牛排館(內埔),2024/02/17,18:19:25,2/22花椰菜五箱
Account,自動回應訊息,2024/02/17,18:19:26,貼圖已傳送
Account,自動回應訊息,2024/02/17,18:19:26,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,13牛排館(內埔),2024/03/02,19:57:35,3/4五箱花椰
Account,自動回應訊息,2024/03/02,19:57:36,貼圖已傳送
Account,自動回應訊息,2024/03/02,19:57:36,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
Account,俐均,2024/03/04,09:49:32,老闆您好
Account,俐均,2024/03/04,09:50:06,散裝青花菜目前缺貨
Account,俐均,2024/03/04,09:50:37,幫您改送小包裝好嗎？
Account,俐均,2024/03/04,16:46:36,"老闆您好
今天的發票開2415 
差263元

開在下次訂貨的發票裡好嗎?"
User,13牛排館(內埔),2024/03/04,17:32:41,可以👌
Account,俐均,2024/03/04,17:38:08,貼圖已傳送
User,13牛排館(內埔),2024/03/15,14:20:35,3/18五箱花椰菜
Account,俐均,2024/03/15,14:23:19,貼圖已傳送
User,13牛排館(內埔),2024/03/24,19:16:15,3/28 送五箱花椰
Account,自動回應訊息,2024/03/24,19:16:16,貼圖已傳送
Account,自動回應訊息,2024/03/24,19:16:16,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，上班時間會盡快給您答覆"
User,13牛排館(內埔),2024/03/31,21:33:50,4/1五箱花椰菜
Account,自動回應訊息,2024/03/31,21:33:51,貼圖已傳送
Account,自動回應訊息,2024/03/31,21:33:51,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,13牛排館(內埔),2024/03/31,21:35:20,改3箱ㄛ
Account,自動回應訊息,2024/03/31,21:35:21,貼圖已傳送
Account,自動回應訊息,2024/03/31,21:35:21,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,13牛排館(內埔),2024/04/01,21:43:48,不好意思
Account,自動回應訊息,2024/04/01,21:43:48,貼圖已傳送
Account,自動回應訊息,2024/04/01,21:43:48,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,13牛排館(內埔),2024/04/01,21:43:59,今天送貨送到白色花椰菜
Account,自動回應訊息,2024/04/01,21:44:00,貼圖已傳送
Account,自動回應訊息,2024/04/01,21:44:00,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,王振華,2024/04/02,00:13:51,店長好，不好意思明天下午過去換回
Account,王振華,2024/04/02,00:20:30,能麻煩看一下出貨單嗎？
User,13牛排館(內埔),2024/04/02,11:53:12,照片已傳送
Account,林鈺婷,2024/04/02,11:54:03,不好意思~今天會過去跟您換
User,13牛排館(內埔),2024/04/02,12:01:23,沒關係可以順便載多載兩箱折扣100嗎
Account,俐均,2024/04/02,14:58:12,"老闆您好
司機已出門
謝謝"
User,13牛排館(內埔),2024/04/07,18:57:28,4/11五箱青花
Account,自動回應訊息,2024/04/07,18:57:28,"(love letter)04/04(四)-04/07(日)清明連假期間，休假4天，暫無專人服務
(telephone)如果有緊急問題請聯絡客服專線0988001988  
(blue check mark)訂單將會在4/08(一)陸續為您安排出貨"
User,13牛排館(內埔),2024/04/18,14:02:56,4/22五箱青花
Account,俐均,2024/04/18,14:03:15,貼圖已傳送
User,13牛排館(內埔),2024/04/28,18:06:32,下禮拜四 五箱青花椰
Account,自動回應訊息,2024/04/28,18:06:32,貼圖已傳送
Account,自動回應訊息,2024/04/28,18:06:32,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,13牛排館(內埔),2024/05/08,21:18:53,明天五箱花椰
Account,自動回應訊息,2024/05/08,21:18:53,貼圖已傳送
Account,自動回應訊息,2024/05/08,21:18:53,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,13牛排館(內埔),2024/05/17,18:45:47,5/20五箱青花
Account,自動回應訊息,2024/05/17,18:45:48,貼圖已傳送
Account,自動回應訊息,2024/05/17,18:45:48,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,13牛排館(內埔),2024/05/26,22:39:01,明天5箱青花
Account,自動回應訊息,2024/05/26,22:39:01,貼圖已傳送
Account,自動回應訊息,2024/05/26,22:39:01,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,13牛排館(內埔),2024/06/03,14:16:21,6/6 五箱青花
Account,俐均,2024/06/03,14:18:05,貼圖已傳送
User,13牛排館(內埔),2024/06/11,18:23:36,6/13五箱青花
Account,自動回應訊息,2024/06/11,18:23:36,貼圖已傳送
Account,自動回應訊息,2024/06/11,18:23:36,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,13牛排館(內埔),2024/06/20,17:21:40,請問明天可以送花椰菜嗎
Account,俐均,2024/06/20,17:31:57,"老闆好
可以的
請問要送幾箱呢?"
