帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:12
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,鳳山/劉江便當五甲(XR1200000),2024/01/01,20:58:21,"鯖魚2
青花2
玉米1"
Account,自動回應訊息,2024/01/01,20:58:22,貼圖已傳送
Account,自動回應訊息,2024/01/01,20:58:22,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,鳳山/劉江便當五甲(XR1200000),2024/01/02,21:16:55,"鯖魚2
青花2
玉米2"
Account,自動回應訊息,2024/01/02,21:16:55,貼圖已傳送
Account,自動回應訊息,2024/01/02,21:16:55,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,鳳山/劉江便當五甲(XR1200000),2024/01/03,20:51:19,"鯖魚2
青花4
四季豆1"
Account,自動回應訊息,2024/01/03,20:51:20,貼圖已傳送
Account,自動回應訊息,2024/01/03,20:51:20,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,鳳山/劉江便當五甲(XR1200000),2024/01/07,21:32:19,"鯖魚3
青花4
玉米1"
Account,自動回應訊息,2024/01/07,21:32:19,貼圖已傳送
Account,自動回應訊息,2024/01/07,21:32:19,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,鳳山/劉江便當五甲(XR1200000),2024/01/07,21:32:34,"如果可以的話幫我提早送來
感謝🙏"
Account,自動回應訊息,2024/01/07,21:32:35,貼圖已傳送
Account,自動回應訊息,2024/01/07,21:32:35,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,鳳山/劉江便當五甲(XR1200000),2024/01/08,21:15:41,"鯖魚2
青花2"
Account,自動回應訊息,2024/01/08,21:15:42,貼圖已傳送
Account,自動回應訊息,2024/01/08,21:15:42,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,鳳山/劉江便當五甲(XR1200000),2024/01/10,20:17:09,"鯖魚5
青花6
四季豆1"
Account,自動回應訊息,2024/01/10,20:17:10,貼圖已傳送
Account,自動回應訊息,2024/01/10,20:17:10,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,鳳山/劉江便當五甲(XR1200000),2024/01/15,21:22:14,"鯖魚3
青花4
玉米1"
Account,自動回應訊息,2024/01/15,21:22:14,貼圖已傳送
Account,自動回應訊息,2024/01/15,21:22:14,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,鳳山/劉江便當五甲(XR1200000),2024/01/17,20:57:12,"鯖魚4
青花6
四季豆1"
Account,自動回應訊息,2024/01/17,20:57:13,貼圖已傳送
Account,自動回應訊息,2024/01/17,20:57:13,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
