帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:19
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,桑柔(屏東蔓壹典)7213732,2024/01/16,14:26:26,請問豬肉片和牛肉片，是哪一家廠商的？是組合肉還是真正的肉片？
Account,林鈺婷,2024/01/16,14:31:38,老闆娘您好，是日月欣的喔，是組合肉片喔
User,桑柔(屏東蔓壹典)7213732,2024/01/16,14:32:25,了解，謝謝您！
Account,林鈺婷,2024/01/16,14:36:22,貼圖已傳送
Account,林鈺婷,2024/01/16,14:41:23,老闆娘不好意思~更正一下豬肉片是真正的肉片，只有牛肉片是組合肉
User,桑柔(屏東蔓壹典)7213732,2024/01/16,15:03:47,好的，謝謝您！
Account,林鈺婷,2024/01/16,15:04:21,貼圖已傳送
User,桑柔(屏東蔓壹典)7213732,2024/02/01,15:09:44,請問有120-140公克的鮭魚嗎？
Account,林鈺婷,2024/02/01,15:10:47,您好~目前有喔，大約2箱多
User,桑柔(屏東蔓壹典)7213732,2024/02/01,15:13:39,好，那全部給我們好了，我們現店休，明天請問大概幾點會送到，我們提前去店裡等，謝謝您！
Account,俐均,2024/02/01,15:14:26,"我們請司機快到貴店
再與您聯絡"
User,桑柔(屏東蔓壹典)7213732,2024/02/01,15:15:08,30分鐘前，請打0965230171
Account,俐均,2024/02/01,15:16:02,貼圖已傳送
User,桑柔(屏東蔓壹典)7213732,2024/02/01,15:16:26,金額也請提前告知，好準備零錢帶過去.
Account,俐均,2024/02/01,15:19:52,3795元
Account,俐均,2024/02/01,15:19:57,貼圖已傳送
User,桑柔(屏東蔓壹典)7213732,2024/02/01,15:25:00,貼圖已傳送
User,桑柔(屏東蔓壹典)7213732,2024/02/01,15:25:10,貼圖已傳送
Account,林鈺婷,2024/02/02,11:56:55,老闆娘不好意思~因為鮭魚有一箱不足箱，金額總共是2475元
User,桑柔(屏東蔓壹典)7213732,2024/02/02,11:57:35,好，沒關係！
Account,林鈺婷,2024/02/02,11:58:59,貼圖已傳送
User,桑柔(屏東蔓壹典)7213732,2024/02/02,12:00:22,司機還沒聯絡我，可能還在別處送貨中！
Account,林鈺婷,2024/02/02,12:03:04,因為今天貨量比較多，可能要下午才會到貨，不好意思
User,桑柔(屏東蔓壹典)7213732,2024/02/02,12:03:29,好的，沒關係，謝謝您！
Account,林鈺婷,2024/02/02,12:04:09,貼圖已傳送
Account,林鈺婷,2024/02/22,10:40:42,老闆娘您好~我們目前有鮭魚，數量不多，大約一箱多請問有需要嗎?
User,桑柔(屏東蔓壹典)7213732,2024/02/22,10:43:39,好啊！
User,桑柔(屏東蔓壹典)7213732,2024/02/22,10:44:57,"不過我們還在店休，預計休到3/18,送貨前一樣請司機先打電話給我."
Account,林鈺婷,2024/02/22,10:48:54,貼圖已傳送
User,桑柔(屏東蔓壹典)7213732,2024/02/22,10:51:00,請問是明天送貨嗎？大約幾點？多少錢？
Account,林鈺婷,2024/02/22,10:52:03,有兩種規格120/140和140/170 加起來差不多3箱左右
Account,林鈺婷,2024/02/22,10:52:16,明天早上跟您確認時間跟價格方便嗎?
User,桑柔(屏東蔓壹典)7213732,2024/02/22,10:52:33,好，我全買
User,桑柔(屏東蔓壹典)7213732,2024/02/22,10:52:46,好的
Account,林鈺婷,2024/02/22,10:52:52,貼圖已傳送
User,桑柔(屏東蔓壹典)7213732,2024/02/22,10:53:00,貼圖已傳送
User,桑柔(屏東蔓壹典)7213732,2024/02/22,14:04:42,請問這是常溫嗎？熟丁香花生 一箱3公斤 760元.
Account,俐均,2024/02/22,14:05:22,"老闆娘您好
是冷凍"
User,桑柔(屏東蔓壹典)7213732,2024/02/22,14:06:33,那解凍需再炒過嗎？不然花生不是會溼濕的？
Account,林鈺婷,2024/02/22,14:07:14,解凍就可以直接食用了喔
Account,林鈺婷,2024/02/22,14:07:29,除非要辣或是添加東西就另外要再炒
User,桑柔(屏東蔓壹典)7213732,2024/02/22,14:08:41,好，那我訂一箱自己吃看看，明天連鮭魚一起送.
Account,俐均,2024/02/22,14:19:30,貼圖已傳送
User,桑柔(屏東蔓壹典)7213732,2024/02/23,11:41:47,我們店休中，麻煩司機提前30分鐘通知，請問多少錢？
Account,俐均,2024/02/23,11:43:37,"老闆娘您好
共8020元"
User,桑柔(屏東蔓壹典)7213732,2024/02/23,11:44:40,貼圖已傳送
Account,俐均,2024/02/23,11:45:30,貼圖已傳送
User,桑柔(屏東蔓壹典)7213732,2024/02/23,11:45:47,請問鮭魚3箱，總共多重？
Account,林鈺婷,2024/02/23,11:48:04,總共22公斤
User,桑柔(屏東蔓壹典)7213732,2024/02/23,11:56:38,好的，謝謝您！
User,桑柔(屏東蔓壹典)7213732,2024/02/23,13:36:00,請問司機快來了沒？我已經提前到店裡等他了！
Account,林鈺婷,2024/02/23,13:38:20,稍等我詢問一下司機喔
User,桑柔(屏東蔓壹典)7213732,2024/02/23,13:38:49,貼圖已傳送
Account,林鈺婷,2024/02/23,13:45:27,老闆娘不好意思 司機差不多下午才會到 快到前半小時會聯絡您喔
User,桑柔(屏東蔓壹典)7213732,2024/02/23,13:47:16,我下午3點要去幼兒園帶孫女去打預防針，2點以前司機若無法送達，那就改天再送了！
User,桑柔(屏東蔓壹典)7213732,2024/02/23,13:48:20,因為他送來，我還得分裝，一片一袋，否則會黏住.
Account,林鈺婷,2024/02/23,13:48:29,我再轉告給司機 不好意思
User,桑柔(屏東蔓壹典)7213732,2024/02/23,13:49:13,若他2點前無法來，那我現在就要回家了！
Account,林鈺婷,2024/02/23,14:01:16,司機說他2點前可以到~
User,桑柔(屏東蔓壹典)7213732,2024/02/23,14:01:41,貼圖已傳送
User,桑柔(屏東蔓壹典)7213732,2024/02/23,14:01:46,貼圖已傳送
User,桑柔(屏東蔓壹典)7213732,2024/04/08,14:25:44,請問我之前訂的鯖魚，目前有貨嗎？一箱多少，平均一片約多少？
Account,林鈺婷,2024/04/08,14:28:15,您好~目前有貨喔，一箱1160元，平均一片68元左右
User,桑柔(屏東蔓壹典)7213732,2024/04/08,14:44:22,一片68？
Account,俐均,2024/04/08,14:49:52,"不好意思
打錯!
是一箱約68片左右"
User,桑柔(屏東蔓壹典)7213732,2024/04/08,14:49:54,不是那麼大片的
User,桑柔(屏東蔓壹典)7213732,2024/04/08,14:50:09,喔
Account,俐均,2024/04/08,14:50:44,貼圖已傳送
User,桑柔(屏東蔓壹典)7213732,2024/04/08,14:51:40,那明天麻煩送一箱那種鯖魚
Account,俐均,2024/04/08,14:51:47,貼圖已傳送
User,桑柔(屏東蔓壹典)7213732,2024/04/08,14:51:54,貼圖已傳送
Account,俐均,2024/04/08,14:52:03,貼圖已傳送
Account,林鈺婷,2024/04/08,17:56:52,老闆娘您好~請問是要之前真空的鯖魚還是裸裝的
User,桑柔(屏東蔓壹典)7213732,2024/04/08,17:57:07,裸裝的
User,桑柔(屏東蔓壹典)7213732,2024/04/08,17:57:32,裸裝較便宜，對吧？
Account,林鈺婷,2024/04/08,17:57:47,對~裸裝的比較便宜喔
User,桑柔(屏東蔓壹典)7213732,2024/04/08,17:58:10,這次是要賣的，不是自己吃的
Account,林鈺婷,2024/04/08,17:58:32,"老闆娘那這邊跟您重報一下
一箱是1080元，一箱約40片，一片約26元"
User,桑柔(屏東蔓壹典)7213732,2024/04/08,17:59:15,是漲價了，還是比較大片？我之前買的是一片17元的
User,桑柔(屏東蔓壹典)7213732,2024/04/08,17:59:54,以前買過一片25元的，圓形便當盒裝不下.
User,桑柔(屏東蔓壹典)7213732,2024/04/08,18:00:13,所以後來改買一片17元的
Account,林鈺婷,2024/04/08,18:01:20,我們調紀錄是這個沒有錯，沒有漲價喔
Account,林鈺婷,2024/04/08,18:01:36,還是我幫您改出這個
User,桑柔(屏東蔓壹典)7213732,2024/04/08,18:02:12,"對,就是後來買的這款17元的"
Account,林鈺婷,2024/04/08,18:02:39,貼圖已傳送
User,桑柔(屏東蔓壹典)7213732,2024/04/09,13:53:36,照片已傳送
User,桑柔(屏東蔓壹典)7213732,2024/04/09,13:56:19,今天送來的鯖魚太小片了，請問我之前買的上面這種鯖魚，一箱6公斤，大約有幾片？一片平均多少錢？我還有一張出貨單在家裡，我忘了是哪次買的.
Account,林鈺婷,2024/04/09,14:01:59,這個就是上面跟您報的一箱是1080元，一箱約40片，一片約26元
