帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:19
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/09/02,19:11:13,"加入(nine)(eight)(eight)
頭家輕鬆賺飽飽
人客健康呷飽飽"
Account,自動回應訊息,2024/09/02,19:11:13,"五妹歡迎您加入988廚房。
☑我們是HACCP認證，合法工廠直營，冷凍冷藏加工調理食安保證
☑專業加工廠直接供貨，方便訂貨．產品平價．好品質!
請先傳個貼圖打聲招呼喔~
詢價、訂貨請提供店家名字/聯絡電話/地址或拍照上傳名片"
User,五妹(林邊素食店),2024/09/02,19:13:59,我這是素食店本星期三開始由我和你接洽
Account,自動回應訊息,2024/09/02,19:13:59,貼圖已傳送
Account,自動回應訊息,2024/09/02,19:13:59,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,五妹(林邊素食店),2024/09/02,19:16:28,我這是林邊咕咕隔的素食店本星期三開始由我和你接洽
Account,自動回應訊息,2024/09/02,19:16:28,貼圖已傳送
Account,自動回應訊息,2024/09/02,19:16:28,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,王振華,2024/09/02,23:19:23,您好，歡迎您
User,五妹(林邊素食店),2024/09/02,23:38:22,谢谢
Account,自動回應訊息,2024/09/02,23:38:22,貼圖已傳送
Account,自動回應訊息,2024/09/02,23:38:22,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,五妹(林邊素食店),2024/09/06,16:35:51,林边素食店
Account,俐均,2024/09/06,16:36:10,老闆娘您好
User,五妹(林邊素食店),2024/09/06,16:36:29,你好
User,五妹(林邊素食店),2024/09/07,19:29:17,老闆，明天豆腐2板，谢谢
Account,自動回應訊息,2024/09/07,19:29:18,貼圖已傳送
Account,自動回應訊息,2024/09/07,19:29:18,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,俐均,2024/09/09,08:33:44,"老闆娘您好
我們沒有豆腐"
User,五妹(林邊素食店),2024/09/09,11:34:17,啊怎么打错了，不好意思，谢谢
Account,俐均,2024/09/09,11:38:12,不會喔~謝謝
User,五妹(林邊素食店),2024/09/09,16:43:42,明天2件，谢谢
Account,林鈺婷,2024/09/09,17:19:13,您好~另外一位有叫貨囉，總共就2件對嗎?
User,五妹(林邊素食店),2024/09/09,17:48:59,对，我的取消
User,五妹(林邊素食店),2024/09/09,17:49:15,谢谢
Account,林鈺婷,2024/09/09,17:50:01,貼圖已傳送
User,五妹(林邊素食店),2024/09/15,17:22:05,ok， 谢谢
Account,自動回應訊息,2024/09/15,17:22:05,貼圖已傳送
Account,自動回應訊息,2024/09/15,17:22:05,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,五妹(林邊素食店),2024/09/19,14:44:05,现有老板叫，谢谢
Account,林鈺婷,2024/09/19,14:44:52,貼圖已傳送
User,五妹(林邊素食店),2024/09/23,14:02:29,我问老板，谢谢
Account,林鈺婷,2024/09/23,14:02:43,老闆有下單囉~謝謝
User,五妹(林邊素食店),2024/09/23,14:05:14,Ok
User,五妹(林邊素食店),2025/01/29,07:57:50,照片已傳送
Account,自動回應訊息,2025/01/29,07:57:50,"(love letter)春節期間公休，不送貨，暫無專人服務，造成困擾請見諒
(blue check mark)訂單將會在2/3(一)初六 陸續安排為您出貨
(snake)敬祝蛇年行大運 財源滾滾來(dollar symbol)"
