帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:19
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,Sakinu輕食方舟來義（食穀黑米飯）,2024/05/02,14:06:17,請問 青花菜 1K 10包 多少錢
Account,俐均,2024/05/02,14:07:36,"老闆好
一箱550元"
User,Sakinu輕食方舟來義（食穀黑米飯）,2024/05/02,14:07:53,一箱幾包
Account,俐均,2024/05/02,14:09:04,10包
User,Sakinu輕食方舟來義（食穀黑米飯）,2024/05/02,14:15:41,"另外詢問價格

舒肥雞胸  30片/箱
冰心地瓜  3KG/包"
Account,俐均,2024/05/02,14:16:50,"老闆您好
目前沒有舒肥雞胸"
Account,俐均,2024/05/02,14:17:35,冰心地瓜一包280元
Account,俐均,2024/05/02,16:57:46,"老闆您好
請問明天要幫您送貨嗎?"
User,Sakinu輕食方舟來義（食穀黑米飯）,2024/05/21,18:03:10,否
Account,俐均,2024/05/21,18:03:42,貼圖已傳送
Account,林鈺婷,2025/01/27,17:51:45,"老闆/老闆娘 您好
因近期人手不足
年後將暫時取消來義送貨路線
造成不便 實在很抱歉
如果有需要訂貨
歡迎來公司自取"
