帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:19
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/11/21,17:53:04,"加入(nine)(eight)(eight)
頭家輕鬆賺飽飽
人客健康呷飽飽"
Account,自動回應訊息,2024/11/21,17:53:04,"脆皮蚵仔煎歡迎您加入988廚房。
☑我們是HACCP認證，合法工廠直營，冷凍冷藏加工調理食安保證
☑專業加工廠直接供貨，方便訂貨．產品平價．好品質!
請先傳個貼圖打聲招呼喔~
詢價、訂貨請提供店家名字/聯絡電話/地址或拍照上傳名片"
User,(鳳山/唰嘴自助餐),2024/11/21,17:53:27,唰嘴自助餐
Account,林鈺婷,2024/11/21,17:56:22,您好~
User,(鳳山/唰嘴自助餐),2024/11/28,01:17:27,"鹹魚1箱
1點半後店裡才有人收貨"
Account,自動回應訊息,2024/11/28,01:17:28,貼圖已傳送
Account,自動回應訊息,2024/11/28,01:17:28,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,(鳳山/唰嘴自助餐),2024/12/02,21:06:14,鹹魚1
Account,自動回應訊息,2024/12/02,21:06:15,貼圖已傳送
Account,自動回應訊息,2024/12/02,21:06:15,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,(鳳山/唰嘴自助餐),2024/12/05,15:58:28,鹹魚
Account,俐均,2024/12/05,16:03:14,貼圖已傳送
User,(鳳山/唰嘴自助餐),2024/12/09,20:19:37,鹹魚1
Account,自動回應訊息,2024/12/09,20:19:38,貼圖已傳送
Account,自動回應訊息,2024/12/09,20:19:38,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,(鳳山/唰嘴自助餐),2024/12/13,00:22:03,鹹魚1
Account,自動回應訊息,2024/12/13,00:22:04,貼圖已傳送
Account,自動回應訊息,2024/12/13,00:22:04,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,(鳳山/唰嘴自助餐),2024/12/18,00:50:49,鹹魚1
Account,自動回應訊息,2024/12/18,00:50:50,貼圖已傳送
Account,自動回應訊息,2024/12/18,00:50:50,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,(鳳山/唰嘴自助餐),2024/12/22,22:23:19,鹹魚1
Account,自動回應訊息,2024/12/22,22:23:20,貼圖已傳送
Account,自動回應訊息,2024/12/22,22:23:20,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,(鳳山/唰嘴自助餐),2024/12/26,21:01:50,鹹魚1
Account,自動回應訊息,2024/12/26,21:01:50,貼圖已傳送
Account,自動回應訊息,2024/12/26,21:01:50,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,(鳳山/唰嘴自助餐),2024/12/30,20:43:33,鹹魚1
Account,自動回應訊息,2024/12/30,20:43:33,貼圖已傳送
Account,自動回應訊息,2024/12/30,20:43:33,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,(鳳山/唰嘴自助餐),2025/01/02,22:23:38,鹹魚
Account,自動回應訊息,2025/01/02,22:23:39,貼圖已傳送
Account,自動回應訊息,2025/01/02,22:23:39,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,(鳳山/唰嘴自助餐),2025/01/05,21:01:53,鹹魚2
Account,自動回應訊息,2025/01/05,21:01:54,貼圖已傳送
Account,自動回應訊息,2025/01/05,21:01:54,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,(鳳山/唰嘴自助餐),2025/01/09,22:03:28,"鹹魚240至280
1箱"
Account,自動回應訊息,2025/01/09,22:03:29,貼圖已傳送
Account,自動回應訊息,2025/01/09,22:03:29,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,(鳳山/唰嘴自助餐),2025/01/13,23:24:35,"鹹魚2箱
240至280"
Account,自動回應訊息,2025/01/13,23:24:36,貼圖已傳送
Account,自動回應訊息,2025/01/13,23:24:36,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,(鳳山/唰嘴自助餐),2025/01/16,22:30:34,鹹魚1
Account,自動回應訊息,2025/01/16,22:30:34,貼圖已傳送
Account,自動回應訊息,2025/01/16,22:30:34,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,(鳳山/唰嘴自助餐),2025/01/19,15:06:28,請問幾號開工
Account,自動回應訊息,2025/01/19,15:06:28,貼圖已傳送
Account,自動回應訊息,2025/01/19,15:06:28,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,王振華,2025/01/20,01:48:48,老闆娘好，最後一天送貨日1／27號，初6開工
User,(鳳山/唰嘴自助餐),2025/01/20,20:52:48,鹹魚1
Account,自動回應訊息,2025/01/20,20:52:49,貼圖已傳送
Account,自動回應訊息,2025/01/20,20:52:49,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,(鳳山/唰嘴自助餐),2025/01/22,21:18:51,鹹魚4箱
