帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:12
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,岡山/紅蕃茄便當(CZF125ZZZ),2024/09/02,00:22:15,"敬愛的廠商~您好！
麻煩今日起 訂貨群組 與 帳單群組 
請區別分開 以利請款作業
（送貨當日 請務必將帳單上傳
避免請款金額錯誤）
💞感謝您💞"
Account,自動回應訊息,2024/09/02,00:22:16,貼圖已傳送
Account,自動回應訊息,2024/09/02,00:22:16,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,岡山/紅蕃茄便當(CZF125ZZZ),2024/09/09,07:13:43,"100／130 2箱
160／200 2箱

不好意思！麻煩今天到貨 感謝"
Account,自動回應訊息,2024/09/09,07:13:44,貼圖已傳送
Account,自動回應訊息,2024/09/09,07:13:44,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,林鈺婷,2024/09/09,08:35:55,請問是要送岡山嗎?
User,岡山/紅蕃茄便當(CZF125ZZZ),2024/09/09,08:36:38,對的！可以晚點到
Account,林鈺婷,2024/09/12,15:43:29,照片已傳送
User,岡山/紅蕃茄便當(CZF125ZZZ),2024/09/17,18:02:57,"100／130 3箱
鰻魚一箱

不好意思！麻煩明天到貨 感謝"
Account,林鈺婷,2024/09/18,08:46:37,先請司機幫您排看看喔
User,Unknown,2024/09/24,20:58:08,鯖魚（100/130）*3
Account,自動回應訊息,2024/09/24,20:58:09,貼圖已傳送
Account,自動回應訊息,2024/09/24,20:58:09,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,俐均,2024/09/25,08:40:56,"老闆娘好
請問有急用嗎?
星期四幫您送過去"
User,Unknown,2024/09/25,09:07:40,可以
Account,俐均,2024/09/25,10:38:30,貼圖已傳送
User,Unknown,2024/09/25,19:58:18,明日記得感謝
Account,自動回應訊息,2024/09/25,19:58:18,貼圖已傳送
Account,自動回應訊息,2024/09/25,19:58:18,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,Unknown,2024/09/29,20:03:00,此內容已收回
Account,自動回應訊息,2024/09/29,20:03:01,貼圖已傳送
Account,自動回應訊息,2024/09/29,20:03:01,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,Unknown,2024/09/29,20:03:29,禮拜二 鯖魚（100/130）*3
Account,自動回應訊息,2024/09/29,20:03:30,貼圖已傳送
Account,自動回應訊息,2024/09/29,20:03:30,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,林鈺婷,2024/09/30,11:19:04,老闆您好，若明天颱風風雨過大，我們將暫停送貨一日；如無影響，明日則照常送貨
Account,林鈺婷,2024/09/30,11:40:45,"老闆您好~請問有急用嗎?因擔心明日風雨過大，今天晚上可以先幫您送過去
"
User,Unknown,2024/09/30,11:41:17,好的感謝
Account,林鈺婷,2024/09/30,11:49:22,請問下午到晚上的收貨時間
User,Unknown,2024/09/30,11:50:03,3點半到7點半
Account,林鈺婷,2024/09/30,11:56:33,貼圖已傳送
User,Unknown,2024/09/30,11:56:47,貼圖已傳送
