帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:19
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,Stanley(崑泰長照中心),2024/01/06,13:23:48,2箱鯖魚
Account,自動回應訊息,2024/01/06,13:23:49,貼圖已傳送
Account,自動回應訊息,2024/01/06,13:23:49,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,Stanley(崑泰長照中心),2024/01/06,13:24:46,3色豆 一箱
Account,自動回應訊息,2024/01/06,13:24:46,貼圖已傳送
Account,自動回應訊息,2024/01/06,13:24:46,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
Account,王振華,2024/01/07,23:41:58,謝謝您，星期二會送去
User,Stanley(崑泰長照中心),2024/02/01,14:38:51,2箱鯖魚
Account,俐均,2024/02/01,14:45:41,貼圖已傳送
User,Stanley(崑泰長照中心),2024/02/22,14:07:46,2箱鯖魚
Account,俐均,2024/02/22,14:08:47,貼圖已傳送
User,Stanley(崑泰長照中心),2024/04/01,14:05:35,2箱鯖魚
Account,俐均,2024/04/01,14:11:46,貼圖已傳送
User,Stanley(崑泰長照中心),2024/04/18,14:02:21,2箱鯖魚
Account,林鈺婷,2024/04/18,14:02:48,貼圖已傳送
User,Stanley(崑泰長照中心),2024/05/06,14:02:29,2箱鯖魚
Account,林鈺婷,2024/05/06,14:02:44,貼圖已傳送
User,Stanley(崑泰長照中心),2024/07/13,13:46:40,2箱鯖魚
Account,自動回應訊息,2024/07/13,13:46:40,貼圖已傳送
Account,自動回應訊息,2024/07/13,13:46:40,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,俐均,2024/07/15,08:39:23,"您好
星期二幫您送
謝謝"
User,Stanley(崑泰長照中心),2024/08/12,15:10:44,多少錢
Account,林鈺婷,2024/08/12,15:15:34,"青花菜(1K*10包) 一箱550元
青花菜(散裝) 一箱500元"
User,Stanley(崑泰長照中心),2025/01/20,13:04:09,兩箱鯖魚
Account,俐均,2025/01/20,13:22:56,貼圖已傳送
Account,俐均,2025/01/20,13:57:19,"老闆好
鯖魚130/160-5K的規格價格有調整喔!一箱是1150元"
User,Stanley(崑泰長照中心),2025/01/20,14:46:38,好
Account,俐均,2025/01/20,15:06:06,貼圖已傳送
