帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:19
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,Nini小妏(綠林創意料理),2024/05/16,02:33:18,"鯖魚80/100A的二箱
謝謝"
Account,自動回應訊息,2024/05/16,02:33:18,貼圖已傳送
Account,自動回應訊息,2024/05/16,02:33:18,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,林鈺婷,2024/05/16,08:35:22,請問一樣幫您寄台北嗎?
User,Nini小妏(綠林創意料理),2024/05/16,09:19:39,"改一箱好了
寄台北市中山區松江路362巷34號1樓
陳小姐
0958335413
謝謝"
Account,俐均,2024/05/16,10:46:16,"老闆娘您好
寄一箱運費也是280元"
Account,俐均,2024/05/16,10:47:26,"鯖魚目前價格有微調喔!
您訂的80/100-6K一箱是1170元"
User,Nini小妏(綠林創意料理),2024/05/16,11:08:49,Ok
Account,俐均,2024/05/16,11:21:04,貼圖已傳送
Account,林鈺婷,2024/05/31,11:53:36,照片已傳送
User,Nini小妏(綠林創意料理),2024/06/25,14:00:48,"請出一樣的鯖魚一箱
謝謝"
Account,俐均,2024/06/25,14:02:46,貼圖已傳送
User,Nini小妏(綠林創意料理),2024/06/26,10:02:07,請問預計什麼時候到貨？
Account,林鈺婷,2024/06/26,10:08:51,昨天幫您寄出 基本上今天會到喔 謝謝
User,Nini小妏(綠林創意料理),2024/06/26,12:57:27,今天目前沒到貨
Account,林鈺婷,2024/06/26,12:59:52,照片已傳送
Account,林鈺婷,2024/06/26,13:00:14,您好~黑貓系統顯示有送過去，但沒有人收貨
User,Nini小妏(綠林創意料理),2024/06/26,13:05:08,"你們之前都會打電話給我
沒關係
那應該明天收

謝謝"
Account,林鈺婷,2024/06/26,14:02:33,貨運的部份我們是寄黑貓，電話應該也是黑貓那邊打的，不是我們這邊不好意思
User,Nini小妏(綠林創意料理),2024/09/11,14:19:44,鯖魚一箱謝謝
Account,林鈺婷,2024/09/11,14:19:51,貼圖已傳送
User,Nini小妏(綠林創意料理),2024/09/11,14:20:00,謝謝
Account,林鈺婷,2024/09/11,14:20:27,一樣幫您寄台北市中山區松江路362巷34號1樓對嗎?
User,Nini小妏(綠林創意料理),2024/09/11,14:32:26,是的
User,Nini小妏(綠林創意料理),2024/09/11,14:32:33,資訊都一樣的哦
Account,林鈺婷,2024/09/11,15:04:33,貼圖已傳送
Account,林鈺婷,2024/10/14,15:58:57,照片已傳送
Account,林鈺婷,2024/11/07,11:21:45,您好，因為雙11期間，貨運物流量較大，因此訂單可能會有延遲到貨的情況。如有需求，建議提前下單~謝謝
Account,林鈺婷,2025/01/15,14:15:07,"老闆您好~我們過年前最後出貨日是(sparkle)1/24(五)(sparkle)
年前貨運物流量較大，因此訂單可能會有延遲到貨的情況。
如有需求，建議提前下單~謝謝"
