帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:19
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/01/16,13:16:04,"加入(nine)(eight)(eight)
頭家輕鬆賺飽飽
人客健康呷飽飽"
Account,自動回應訊息,2024/01/16,13:16:04,"♡翊玲♡歡迎您加入988廚房。
☑我們是HACCP認證，合法工廠直營，冷凍冷藏加工調理食安保證
☑專業加工廠直接供貨，方便訂貨．產品平價．好品質!
請先傳個貼圖打聲招呼喔~
詢價、訂貨請提供店家名字/聯絡電話/地址或拍照上傳名片"
User,♡翊玲♡(萬丹社皮-尋香食堂),2024/01/16,13:16:32,我是社皮尋香自助餐
Account,林鈺婷,2024/01/16,14:01:33,老闆您好~
Account,林鈺婷,2024/01/16,14:02:23,有什麼想詢問的產品或者要訂貨，都可以直接在這邊下單喔~
User,♡翊玲♡(萬丹社皮-尋香食堂),2024/02/22,22:47:04,"尋香自助餐
暑魚切塊剖半1箱
赤鬃魚120/150。1箱
挪威薄鹽鯖魚切塊1箱
裹粉柳葉魚L 1箱"
Account,自動回應訊息,2024/02/22,22:47:04,貼圖已傳送
Account,自動回應訊息,2024/02/22,22:47:04,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,♡翊玲♡(萬丹社皮-尋香食堂),2024/02/26,14:29:27,"肉魚1箱
哈克魚1箱
土魠魚片170/200 1箱"
Account,俐均,2024/02/26,14:29:46,貼圖已傳送
Account,俐均,2024/02/26,14:34:12,"老闆娘您好
肉魚目前缺貨
這幾天會到貨
謝謝"
User,♡翊玲♡(萬丹社皮-尋香食堂),2024/02/26,14:34:33,換金線
Account,俐均,2024/02/26,14:35:06,請問要150/180還是120/150
User,♡翊玲♡(萬丹社皮-尋香食堂),2024/02/26,14:35:20,120/150
Account,俐均,2024/02/26,14:36:16,哈克魚也是120/150嗎?
User,♡翊玲♡(萬丹社皮-尋香食堂),2024/02/26,14:36:26,對
Account,俐均,2024/02/26,14:36:31,貼圖已傳送
User,♡翊玲♡(萬丹社皮-尋香食堂),2024/02/26,20:41:51,我還要再加一箱虱目魚排
Account,自動回應訊息,2024/02/26,20:41:51,貼圖已傳送
Account,自動回應訊息,2024/02/26,20:41:51,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,♡翊玲♡(萬丹社皮-尋香食堂),2024/02/29,14:23:19,"虱目魚皮6包
肉魚5/6。1箱
鰹魚輪切1箱
白帶魚切塊4/5。1箱
排骨酥1箱"
Account,林鈺婷,2024/02/29,14:23:44,貼圖已傳送
User,♡翊玲♡(萬丹社皮-尋香食堂),2024/03/04,14:01:34,明天不用喔
Account,俐均,2024/03/04,14:01:43,貼圖已傳送
Account,俐均,2024/03/04,14:01:45,貼圖已傳送
User,♡翊玲♡(萬丹社皮-尋香食堂),2024/03/07,22:24:59,"肉魚1箱
哈克魚1箱"
Account,自動回應訊息,2024/03/07,22:25:00,貼圖已傳送
Account,自動回應訊息,2024/03/07,22:25:00,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
Account,Mita💮(づ￣ ³￣)づ雅婷💓,2024/03/08,08:47:10,"老闆 早安
不好意思,哈克魚120/150目前缺貨,今天請司機帶小一個規格過去給您參考"
User,♡翊玲♡(萬丹社皮-尋香食堂),2024/03/08,09:09:14,貼圖已傳送
Account,俐均,2024/03/08,09:11:43,貼圖已傳送
User,♡翊玲♡(萬丹社皮-尋香食堂),2024/03/18,14:17:32,"尋香自助餐
白口魚1箱
挪威薄鹽鯖魚切塊1箱
裹粉柳葉魚L 1箱"
Account,俐均,2024/03/18,14:17:41,貼圖已傳送
User,♡翊玲♡(萬丹社皮-尋香食堂),2024/03/25,14:53:47,"金線魚120/150 1箱
哈克魚120/150 1箱
蝶魚120/150 1箱
土魠魚片170/200 1箱"
Account,俐均,2024/03/25,14:56:53,貼圖已傳送
User,♡翊玲♡(萬丹社皮-尋香食堂),2024/03/29,00:45:17,"尋香
挪威薄鹽鯖魚切塊1箱"
Account,自動回應訊息,2024/03/29,00:45:17,貼圖已傳送
Account,自動回應訊息,2024/03/29,00:45:17,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,♡翊玲♡(萬丹社皮-尋香食堂),2024/04/15,14:40:39,"尋香自助餐
肉魚1箱
挪威薄鹽鯖魚切塊1箱"
Account,俐均,2024/04/15,14:41:06,貼圖已傳送
Account,俐均,2024/04/15,14:45:08,"老闆娘您好
肉魚100/120缺貨
帶大一號的給您看好嗎?"
User,♡翊玲♡(萬丹社皮-尋香食堂),2024/04/15,14:45:33,好
Account,俐均,2024/04/15,14:46:29,貼圖已傳送
User,♡翊玲♡(萬丹社皮-尋香食堂),2024/04/18,14:13:22,"尋香自助餐
挪威薄鹽鯖魚切塊1箱"
Account,俐均,2024/04/18,14:14:08,貼圖已傳送
User,♡翊玲♡(萬丹社皮-尋香食堂),2024/07/30,13:54:27,請問肉魚現在異鄉多少？
Account,俐均,2024/07/30,14:03:20,"老闆娘好
肉魚120/150一箱1350元   10公斤/箱"
User,♡翊玲♡(萬丹社皮-尋香食堂),2024/07/30,14:07:32,貼圖已傳送
Account,俐均,2024/07/30,14:10:43,貼圖已傳送
User,♡翊玲♡(萬丹社皮-尋香食堂),2024/08/01,15:15:28,肉魚1箱
Account,俐均,2024/08/01,16:30:49,貼圖已傳送
