帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:19
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/01/24,22:01:57,"加入(nine)(eight)(eight)
頭家輕鬆賺飽飽
人客健康呷飽飽"
Account,自動回應訊息,2024/01/24,22:01:57,"鳳味小館歡迎您加入988廚房。
☑我們是HACCP認證，合法工廠直營，冷凍冷藏加工調理食安保證
☑專業加工廠直接供貨，方便訂貨．產品平價．好品質!
請先傳個貼圖打聲招呼喔~
詢價、訂貨請提供店家名字/聯絡電話/地址或拍照上傳名片"
User,楠梓/風味小館,2024/01/24,22:02:12,哈囉
Account,自動回應訊息,2024/01/24,22:02:13,貼圖已傳送
Account,自動回應訊息,2024/01/24,22:02:13,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,楠梓/風味小館,2024/01/24,22:02:44,我明天要鹹魚2箱謝謝
Account,自動回應訊息,2024/01/24,22:02:45,貼圖已傳送
Account,自動回應訊息,2024/01/24,22:02:45,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,楠梓/風味小館,2024/12/24,08:21:45,語音訊息已傳送
Account,王振華,2024/12/24,09:36:56,今天帶去給您看
Account,王振華,2024/12/24,09:37:06,貼圖已傳送
