帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:19
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,鳳山/米森林健康餐,2024/01/04,14:17:28,明天幫我送80-100鯖魚1箱，謝謝
Account,林鈺婷,2024/01/04,14:19:19,貼圖已傳送
User,鳳山/米森林健康餐,2024/01/08,14:02:11,"明天幫我送80-100鯖魚1箱
1箱紅斑魚謝謝"
Account,俐均,2024/01/08,14:02:39,貼圖已傳送
User,鳳山/米森林健康餐,2024/01/12,16:39:32,幫我送80-100鯖魚1箱
Account,俐均,2024/01/12,16:40:18,貼圖已傳送
User,鳳山/米森林健康餐,2024/01/15,12:41:08,上星期五有叫貨，要記得幫我送貨呦！
Account,林鈺婷,2024/01/15,12:41:48,今天有幫您安排送貨喔
User,鳳山/米森林健康餐,2024/01/15,12:43:21,貼圖已傳送
User,鳳山/米森林健康餐,2024/01/16,15:59:23,"明天幫我送80-100鯖魚1箱
1箱紅斑魚謝謝"
Account,林鈺婷,2024/01/16,16:03:28,貼圖已傳送
User,鳳山/米森林健康餐,2024/01/22,01:29:16,星期二麻煩一件鯖魚一件紅斑魚
Account,自動回應訊息,2024/01/22,01:29:17,貼圖已傳送
Account,自動回應訊息,2024/01/22,01:29:17,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,鳳山/米森林健康餐,2024/01/31,00:29:31,麻煩一件鯖魚謝謝
Account,自動回應訊息,2024/01/31,00:29:31,貼圖已傳送
Account,自動回應訊息,2024/01/31,00:29:31,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,鳳山/米森林健康餐,2024/02/06,14:48:35,明天幫我送80-100鯖魚1箱，謝謝
Account,林鈺婷,2024/02/06,14:53:34,老闆娘不好意思~我們80/100的缺貨中，先幫您送大一個規格的可以嗎?
User,鳳山/米森林健康餐,2024/02/06,15:56:09,貼圖已傳送
User,鳳山/米森林健康餐,2024/02/15,14:05:18,明天幫我送80-100鯖魚1箱，紅斑魚1箱謝謝
Account,林鈺婷,2024/02/15,14:06:47,貼圖已傳送
User,鳳山/米森林健康餐,2024/02/20,13:17:53,明天幫我送80-100鯖魚1箱，謝謝
Account,俐均,2024/02/20,14:03:20,貼圖已傳送
Account,林鈺婷,2024/02/20,14:03:28,貼圖已傳送
