帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:12
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,前鎮/日樣盒食(BUCG00000),2024/01/02,14:02:05,你好，明天送一樣的鯖魚，謝謝你
Account,林鈺婷,2024/01/02,14:07:01,貼圖已傳送
User,前鎮/日樣盒食(BUCG00000),2024/01/22,13:00:23,明天送一樣的鯖魚，謝謝你
Account,俐均,2024/01/22,13:51:09,貼圖已傳送
User,前鎮/日樣盒食(BUCG00000),2024/02/14,15:04:54,你好，明天送一樣的鯖魚一箱，謝謝你
Account,林鈺婷,2024/02/14,16:01:00,貼圖已傳送
User,前鎮/日樣盒食(BUCG00000),2024/03/05,17:24:40,你好，明天送一樣的鯖魚一箱，謝謝你
Account,俐均,2024/03/05,17:26:35,貼圖已傳送
User,前鎮/日樣盒食(BUCG00000),2024/03/14,14:59:30,你好，請問里肌豬排和懷舊古早味豬排帶骨，這兩種可以有試吃的嗎？我們想叫，但想知道哪一個口味比較好
Account,俐均,2024/03/14,15:13:28,"老闆娘您好
里肌豬排與懷舊豬排,里肌豬排銷售比較好
我們再起司機帶過去給您試吃"
Account,俐均,2024/03/14,15:21:25,懷舊古早味豬排帶骨目前是停售
User,前鎮/日樣盒食(BUCG00000),2024/03/14,16:43:13,好的👌謝謝你
Account,俐均,2024/03/14,16:44:32,"老闆娘您好
下次有訂貨,再請司機一起送過去
謝謝"
User,前鎮/日樣盒食(BUCG00000),2024/03/25,18:17:16,你好，明天送一樣的鯖魚，還有請帶上次說的里肌豬排試口味的，謝謝你
Account,自動回應訊息,2024/03/25,18:17:17,貼圖已傳送
Account,自動回應訊息,2024/03/25,18:17:17,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，上班時間會盡快給您答覆"
Account,俐均,2024/03/26,08:29:01,"老闆娘您好
里肌豬排請問要幫您送幾P的呢?"
Account,俐均,2024/03/26,08:29:31,有60P及70P及80P
