帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:19
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/01/25,13:51:15,"加入(nine)(eight)(eight)
頭家輕鬆賺飽飽
人客健康呷飽飽"
Account,自動回應訊息,2024/01/25,13:51:15,"pete歡迎您加入988廚房。
☑我們是HACCP認證，合法工廠直營，冷凍冷藏加工調理食安保證
☑專業加工廠直接供貨，方便訂貨．產品平價．好品質!
請先傳個貼圖打聲招呼喔~
詢價、訂貨請提供店家名字/聯絡電話/地址或拍照上傳名片"
User,pete(三民區豐富自助餐),2024/01/25,13:51:21,(3)
User,pete(三民區豐富自助餐),2024/01/25,13:51:33,大昌路豐富自助餐
Account,俐均,2024/01/25,14:00:19,老闆您好
User,pete(三民區豐富自助餐),2024/01/28,20:43:36,麻煩明天幫送烏魚塊最大的2箱，豐富自助餐，謝謝
Account,自動回應訊息,2024/01/28,20:43:36,貼圖已傳送
Account,自動回應訊息,2024/01/28,20:43:36,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,pete(三民區豐富自助餐),2024/04/02,14:46:06,半香雞有圖片可看看嗎
User,pete(三民區豐富自助餐),2024/04/02,14:46:17,50p的
Account,林鈺婷,2024/04/02,14:47:27,照片已傳送
Account,林鈺婷,2024/04/02,14:47:28,照片已傳送
Account,林鈺婷,2024/04/02,14:47:28,照片已傳送
User,pete(三民區豐富自助餐),2024/04/02,14:48:07,這個粉是裹好的嗎
Account,林鈺婷,2024/04/02,14:53:10,對~已經裹好了
User,pete(三民區豐富自助餐),2024/04/02,14:54:45,瞭解
User,pete(三民區豐富自助餐),2024/04/02,14:55:19,那麻煩明天幫送毛豆仁一箱，豐富自助餐，謝謝
Account,俐均,2024/04/02,15:00:16,貼圖已傳送
User,pete(三民區豐富自助餐),2024/04/03,12:07:13,請問今天毛豆會來嗎
Account,林鈺婷,2024/04/03,12:09:04,您好~今天有幫您安排送貨過去喔
User,pete(三民區豐富自助餐),2024/04/03,12:34:36,好，謝謝
Account,俐均,2024/04/03,12:46:13,貼圖已傳送
User,pete(三民區豐富自助餐),2024/04/15,01:05:36,麻煩明天幫送毛豆仁一箱，豐富自助餐，謝謝
Account,自動回應訊息,2024/04/15,01:05:36,貼圖已傳送
Account,自動回應訊息,2024/04/15,01:05:36,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,pete(三民區豐富自助餐),2024/04/23,19:43:06,麻煩明天幫送毛豆仁一箱，豐富自助餐，謝謝
Account,自動回應訊息,2024/04/23,19:43:07,貼圖已傳送
Account,自動回應訊息,2024/04/23,19:43:07,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,pete(三民區豐富自助餐),2024/10/15,15:51:22,請問冷凍白苦瓜切片，現在價格多少
Account,林鈺婷,2024/10/15,16:22:25,現在一箱10公斤 散裝  700元
User,pete(三民區豐富自助餐),2024/10/16,13:00:17,好，瞭解，謝謝
User,pete(三民區豐富自助餐),2024/12/02,22:00:57,請問冷凍白苦瓜還有貨嗎
Account,自動回應訊息,2024/12/02,22:00:58,貼圖已傳送
Account,自動回應訊息,2024/12/02,22:00:58,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,pete(三民區豐富自助餐),2024/12/02,22:24:15,有的話麻煩明天幫送一件，豐富自助餐，謝謝
Account,自動回應訊息,2024/12/02,22:24:16,貼圖已傳送
Account,自動回應訊息,2024/12/02,22:24:16,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,王振華,2024/12/02,23:40:08,老闆好，苦瓜目前缺貨
