帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:20
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,真饌阿文（屏東真饌）08-7513160,2024/01/02,08:50:31,鯖魚60-80的二箱，如果沒有就80-100的
Account,Mita💮(づ￣ ³￣)づ雅婷💓,2024/01/02,08:53:33,貼圖已傳送
User,真饌阿文（屏東真饌）08-7513160,2024/01/16,10:09:42,不好意思，屏東的車出車了嗎？
User,真饌阿文（屏東真饌）08-7513160,2024/01/16,10:10:48,如果還沒有出車，送鯖魚60-80的二箱，如果沒有就80-100的，如果出車了就星期五送
Account,林鈺婷,2024/01/16,10:12:47,今天幫您送過去喔
User,真饌阿文（屏東真饌）08-7513160,2024/01/16,10:19:14,謝謝啦！年紀大了！記憶力不佳，拍謝
Account,林鈺婷,2024/01/16,10:26:01,不會不會～謝謝您
User,真饌阿文（屏東真饌）08-7513160,2024/01/16,20:27:03,麻煩新産品傳給我
Account,自動回應訊息,2024/01/16,20:27:03,貼圖已傳送
Account,自動回應訊息,2024/01/16,20:27:03,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
Account,林鈺婷,2024/01/17,08:54:55,檔案已傳送
Account,林鈺婷,2024/01/17,08:55:04,老闆早~這是我們新的報價單
User,真饌阿文（屏東真饌）08-7513160,2024/01/17,09:17:42,謝謝啦！
Account,林鈺婷,2024/01/17,09:17:49,貼圖已傳送
User,真饌阿文（屏東真饌）08-7513160,2024/01/17,17:33:26,星期五送鯖魚60-80的二箱，如果沒有就80-100的順便請司機帶價目表。謝謝妳
Account,俐均,2024/01/17,17:40:10,貼圖已傳送
Account,王振華,2024/01/17,22:56:50,照片已傳送
Account,王振華,2024/01/17,22:57:27,老闆，您是說這個新產品嗎？
User,真饌阿文（屏東真饌）08-7513160,2024/01/18,05:20:35,貼圖已傳送
Account,自動回應訊息,2024/01/18,05:20:35,貼圖已傳送
Account,自動回應訊息,2024/01/18,05:20:35,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,真饌阿文（屏東真饌）08-7513160,2024/01/19,07:58:41,白花二箱
Account,自動回應訊息,2024/01/19,07:58:41,貼圖已傳送
Account,自動回應訊息,2024/01/19,07:58:41,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,真饌阿文（屏東真饌）08-7513160,2024/01/22,09:08:29,請問，（劍蝦仁）一包多重。
Account,俐均,2024/01/22,09:09:10,100G
User,真饌阿文（屏東真饌）08-7513160,2024/01/22,09:09:54,100公克
Account,俐均,2024/01/22,09:10:18,對的
User,真饌阿文（屏東真饌）08-7513160,2024/01/22,09:12:40,收到
User,真饌阿文（屏東真饌）08-7513160,2024/02/02,07:25:27,"星期五送鯖魚60-80的二箱，如果沒有就80-100的順便請司機帶價目表。謝謝妳
玉米一箱"
Account,自動回應訊息,2024/02/02,07:25:27,貼圖已傳送
Account,自動回應訊息,2024/02/02,07:25:27,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,真饌阿文（屏東真饌）08-7513160,2024/02/16,07:11:44,"星期五送鯖魚60-80的二箱，如果沒有就80-100。謝謝妳
白花二箱，有優惠噢！"
Account,自動回應訊息,2024/02/16,07:11:44,貼圖已傳送
Account,自動回應訊息,2024/02/16,07:11:44,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,真饌阿文（屏東真饌）08-7513160,2024/02/23,05:38:16,"星期五送鯖魚60-80的二箱，如果沒有就80-100。謝謝妳
白花二箱，有優惠噢！"
Account,自動回應訊息,2024/02/23,05:38:16,貼圖已傳送
Account,自動回應訊息,2024/02/23,05:38:16,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,真饌阿文（屏東真饌）08-7513160,2024/03/05,07:20:58,星期五送鯖魚60-80的二箱
Account,自動回應訊息,2024/03/05,07:20:58,貼圖已傳送
Account,自動回應訊息,2024/03/05,07:20:58,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,真饌阿文（屏東真饌）08-7513160,2024/03/05,07:22:01,是星期二送鯖魚60-80的二箱，
Account,自動回應訊息,2024/03/05,07:22:02,貼圖已傳送
Account,自動回應訊息,2024/03/05,07:22:02,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,真饌阿文（屏東真饌）08-7513160,2024/03/15,08:25:35,是星期五送鯖魚60-80的二箱，
Account,林鈺婷,2024/03/15,08:28:34,貼圖已傳送
User,真饌阿文（屏東真饌）08-7513160,2024/03/21,18:19:34,星期五送鯖魚60-80的二箱，白花三箱，記得優惠噢！
Account,自動回應訊息,2024/03/21,18:19:34,貼圖已傳送
Account,自動回應訊息,2024/03/21,18:19:34,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，上班時間會盡快給您答覆"
Account,俐均,2024/03/22,08:36:36,"老闆您好60-80的規格缺貨
幫您送大一點的規格好嗎?"
User,真饌阿文（屏東真饌）08-7513160,2024/03/22,08:57:40,好
Account,俐均,2024/03/22,08:58:42,貼圖已傳送
Account,俐均,2024/03/22,08:58:44,貼圖已傳送
User,真饌阿文（屏東真饌）08-7513160,2024/04/01,10:58:46,星期二如果有B貨鯖魚60-80的五箱！如果沒有就別的B貨尺寸二箱
Account,俐均,2024/04/01,11:00:25,貼圖已傳送
User,真饌阿文（屏東真饌）08-7513160,2024/04/09,08:39:27,星期二如果有B貨鯖魚60-80的二箱！如果沒有就別的B貨尺寸二箱
Account,俐均,2024/04/09,08:41:40,貼圖已傳送
User,真饌阿文（屏東真饌）08-7513160,2024/04/16,07:53:40,"星期二如果有B貨鯖魚60-80的二箱！如果沒有就別的B貨尺寸二箱
白花散裝一箱，青花散裝一箱，記得優惠噢！（苦瓜一包），"
Account,自動回應訊息,2024/04/16,07:53:40,貼圖已傳送
Account,自動回應訊息,2024/04/16,07:53:40,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,真饌阿文（屏東真饌）08-7513160,2024/04/16,07:55:12,現在的肉魚怎麼賣？尺吋及價格請報價。請業務帶來看看
Account,自動回應訊息,2024/04/16,07:55:13,貼圖已傳送
Account,自動回應訊息,2024/04/16,07:55:13,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,真饌阿文（屏東真饌）08-7513160,2024/04/16,07:55:17,謝謝啦！
