帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:12
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,九如/芳味便當店(ZJ122ZZZZ),2024/01/03,17:15:49,"厚切豬排3
鯖魚2
玉米粒1
青花2
白花2"
Account,俐均,2024/01/03,17:16:16,貼圖已傳送
User,九如/芳味便當店(ZJ122ZZZZ),2024/01/03,17:16:50,多少錢？
Account,俐均,2024/01/03,17:22:34,8510元
Account,俐均,2024/01/03,17:22:37,貼圖已傳送
Account,俐均,2024/01/03,17:29:17,"抱歉
打錯金額
共8660元"
User,九如/芳味便當店(ZJ122ZZZZ),2024/01/15,10:09:56,照片已傳送
Account,林鈺婷,2024/01/15,10:24:48,貼圖已傳送
User,九如/芳味便當店(ZJ122ZZZZ),2024/01/16,22:14:01,鯖魚1
Account,自動回應訊息,2024/01/16,22:14:02,貼圖已傳送
Account,自動回應訊息,2024/01/16,22:14:02,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
Account,林鈺婷,2024/01/17,08:30:41,星期四幫您送過去
User,九如/芳味便當店(ZJ122ZZZZ),2024/01/23,00:25:10,照片已傳送
Account,自動回應訊息,2024/01/23,00:25:11,貼圖已傳送
Account,自動回應訊息,2024/01/23,00:25:11,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,九如/芳味便當店(ZJ122ZZZZ),2024/01/23,00:25:35,星期四送
Account,自動回應訊息,2024/01/23,00:25:35,貼圖已傳送
Account,自動回應訊息,2024/01/23,00:25:35,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,九如/芳味便當店(ZJ122ZZZZ),2024/01/31,21:56:23,照片已傳送
Account,自動回應訊息,2024/01/31,21:56:24,貼圖已傳送
Account,自動回應訊息,2024/01/31,21:56:24,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,九如/芳味便當店(ZJ122ZZZZ),2024/01/31,21:56:32,共多少錢
Account,自動回應訊息,2024/01/31,21:56:33,貼圖已傳送
Account,自動回應訊息,2024/01/31,21:56:33,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
Account,王振華,2024/01/31,23:12:15,老闆娘好，明早賴給您
Account,Mita💮(づ￣ ³￣)づ雅婷💓,2024/02/01,08:41:54,"老闆您好
一共$11880"
User,九如/芳味便當店(ZJ122ZZZZ),2024/02/15,23:12:39,鯖魚3件，下禮拜送
Account,自動回應訊息,2024/02/15,23:12:40,貼圖已傳送
Account,自動回應訊息,2024/02/15,23:12:40,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,九如/芳味便當店(ZJ122ZZZZ),2024/02/24,15:08:07,"鯖魚3
厚切豬排3"
Account,自動回應訊息,2024/02/24,15:08:08,貼圖已傳送
Account,自動回應訊息,2024/02/24,15:08:08,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,九如/芳味便當店(ZJ122ZZZZ),2024/03/10,22:20:55,"鯖魚2
玉米粒1
青花2
白花2
厚切豬排2"
Account,自動回應訊息,2024/03/10,22:20:55,貼圖已傳送
Account,自動回應訊息,2024/03/10,22:20:55,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
