帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:10
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2025/06/05,13:14:43,"加入(nine)(eight)(eight)
頭家輕鬆賺飽飽
人客健康呷飽飽"
Account,自動回應訊息,2025/06/05,13:14:43,"蘇淑卿歡迎您加入988廚房。
☑我們是HACCP認證，合法工廠直營，冷凍冷藏加工調理食安保證
☑專業加工廠直接供貨，方便訂貨．產品平價．好品質!
請先傳個貼圖打聲招呼喔~
詢價、訂貨請提供店家名字/聯絡電話/地址或拍照上傳名片"
User,楠梓/志祥燒臘(5VGX00000),2025/06/05,13:16:03,  志祥燒臘
Account,☆羅惠君☆,2025/06/05,14:03:52,老闆您好
Account,林鈺婷,2025/06/05,14:21:24,"您好~這是我們的DM可以參考看看
https://drive.google.com/drive/folders/18SBRHVA4OTdRrkUHVqYVSsOihtwMkODA?usp=sharing"
User,楠梓/志祥燒臘(5VGX00000),2025/06/16,14:12:16,語音訊息已傳送
Account,俐均,2025/06/16,14:21:23,鯖魚*2箱
User,楠梓/志祥燒臘(5VGX00000),2025/06/16,14:30:12,貼圖已傳送
User,楠梓/志祥燒臘(5VGX00000),2025/06/23,15:52:44,語音訊息已傳送
Account,☆羅惠君☆,2025/06/23,15:54:32,鯖魚*2箱  謝謝老闆
User,楠梓/志祥燒臘(5VGX00000),2025/07/10,09:29:44,語音訊息已傳送
Account,林鈺婷,2025/07/10,09:31:16,老闆娘不好意思~我們貴妃雞排缺貨中
User,楠梓/志祥燒臘(5VGX00000),2025/07/10,11:21:53,貼圖已傳送
