帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:20
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,瑋於Jane Lee(瑋於廚房),2024/08/07,09:34:27,請問佳冬鄉有送嗎？
Account,林鈺婷,2024/08/07,09:38:38, 您好～有喔 我們佳冬固定星期二、五送貨
User,瑋於Jane Lee(瑋於廚房),2024/08/07,09:38:47,"我要鯖魚片（之前叫的規格），要4箱。
謝謝~
我們目前已搬到佳冬鄉。预計一星期後營業。"
Account,林鈺婷,2024/08/07,09:39:43,安排下星期二幫您送方便嗎？
User,瑋於Jane Lee(瑋於廚房),2024/08/07,10:28:14,可以的。
User,瑋於Jane Lee(瑋於廚房),2024/08/07,10:29:32,"'
统編23666082
餐廳地址搬以下
屏東縣佳冬鄉四塊路11之10號
電話088669692"
User,瑋於Jane Lee(瑋於廚房),2024/08/07,10:30:02,"李慧慧收
0929181689"
Account,林鈺婷,2024/08/07,11:04:03,老闆娘您好~我們鯖魚M今年4月有調漲價格，一箱960元喔
Account,林鈺婷,2024/08/07,11:04:57,老闆娘請問需要開發票嗎?如果要開的話，要另外稅外加喔
User,瑋於Jane Lee(瑋於廚房),2024/08/07,12:02:43,要開的。謝謝
User,瑋於Jane Lee(瑋於廚房),2024/08/07,12:03:24,20隻？對嗎？
Account,林鈺婷,2024/08/07,12:03:55,約22-24片喔
User,瑋於Jane Lee(瑋於廚房),2024/08/07,12:27:41,好的。謝謝
Account,俐均,2024/08/07,15:29:51,貼圖已傳送
Account,林鈺婷,2024/10/14,16:07:32,照片已傳送
User,瑋於Jane Lee(瑋於廚房),2024/11/14,13:37:19,"我要叫鯖魚3箱
統編23666082
謝謝"
Account,林鈺婷,2024/11/14,14:02:13,貼圖已傳送
Account,林鈺婷,2024/11/14,15:44:32,請問幫您送佳冬對嗎?
User,瑋於Jane Lee(瑋於廚房),2024/11/14,18:16:24,是的謝謝
Account,自動回應訊息,2024/11/14,18:16:24,貼圖已傳送
Account,自動回應訊息,2024/11/14,18:16:24,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
