帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:20
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,奶茶（內埔小南小吃部）7694188,2024/01/03,19:32:48,  明天 2箱鹹魚  再麻煩了謝謝(wave)
Account,自動回應訊息,2024/01/03,19:32:48,貼圖已傳送
Account,自動回應訊息,2024/01/03,19:32:48,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,奶茶（內埔小南小吃部）7694188,2024/01/17,19:31:49,  明天 2箱鹹魚  再麻煩了謝謝(wave)
Account,自動回應訊息,2024/01/17,19:31:49,貼圖已傳送
Account,自動回應訊息,2024/01/17,19:31:49,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,奶茶（內埔小南小吃部）7694188,2024/01/31,19:28:54,  明天 2箱鹹魚  再麻煩了謝謝(wave)
Account,自動回應訊息,2024/01/31,19:28:55,貼圖已傳送
Account,自動回應訊息,2024/01/31,19:28:55,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
Account,王振華,2024/01/31,23:28:12,貼圖已傳送
User,奶茶（內埔小南小吃部）7694188,2024/02/18,23:36:22,  明天 2箱鹹魚  再麻煩了謝謝(wave)
Account,自動回應訊息,2024/02/18,23:36:23,貼圖已傳送
Account,自動回應訊息,2024/02/18,23:36:23,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,奶茶（內埔小南小吃部）7694188,2024/02/28,19:20:05,  明天 2箱鹹魚  再麻煩了謝謝(wave)
