帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:12
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,內埔水門/鴨莊便當(U512Y5H00),2024/01/03,15:58:08,青花菜1件白花菜1件金線魚1件
Account,林鈺婷,2024/01/03,16:00:50,貼圖已傳送
User,內埔水門/鴨莊便當(U512Y5H00),2024/01/07,14:52:07,蝶魚1件
Account,自動回應訊息,2024/01/07,14:52:07,貼圖已傳送
Account,自動回應訊息,2024/01/07,14:52:07,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,內埔水門/鴨莊便當(U512Y5H00),2024/01/10,18:13:02,青花菜1件白花菜1件金線魚1件
Account,自動回應訊息,2024/01/10,18:13:03,貼圖已傳送
Account,自動回應訊息,2024/01/10,18:13:03,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,內埔水門/鴨莊便當(U512Y5H00),2024/01/17,15:55:28,青花菜1件白花菜1件蝶魚1件
Account,林鈺婷,2024/01/17,15:56:42,貼圖已傳送
User,內埔水門/鴨莊便當(U512Y5H00),2024/01/24,14:27:04,青花菜1件白花菜1件金線魚1件
Account,林鈺婷,2024/01/24,14:27:16,貼圖已傳送
User,內埔水門/鴨莊便當(U512Y5H00),2024/01/31,18:53:33,白花菜1件、青花菜1件、金線魚1件。
Account,自動回應訊息,2024/01/31,18:53:34,貼圖已傳送
Account,自動回應訊息,2024/01/31,18:53:34,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,內埔水門/鴨莊便當(U512Y5H00),2024/02/18,14:35:56,青花菜1件、白花菜1件、蝶魚1件。
Account,自動回應訊息,2024/02/18,14:35:57,貼圖已傳送
Account,自動回應訊息,2024/02/18,14:35:57,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,內埔水門/鴨莊便當(U512Y5H00),2024/02/21,15:54:54,金線魚1件。
Account,林鈺婷,2024/02/21,15:55:26,貼圖已傳送
User,內埔水門/鴨莊便當(U512Y5H00),2024/02/25,15:23:03,蝶魚1件
Account,自動回應訊息,2024/02/25,15:23:04,貼圖已傳送
