帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:12
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2025/06/10,13:22:33,"加入(nine)(eight)(eight)
頭家輕鬆賺飽飽
人客健康呷飽飽"
Account,自動回應訊息,2025/06/10,13:22:33,"何淑惠歡迎您加入988廚房。
☑我們是HACCP認證，合法工廠直營，冷凍冷藏加工調理食安保證
☑專業加工廠直接供貨，方便訂貨．產品平價．好品質!
請先傳個貼圖打聲招呼喔~
詢價、訂貨請提供店家名字/聯絡電話/地址或拍照上傳名片"
User,仁武/台南小南(WSVSBJ000),2025/06/10,13:22:51,仁武小南便當
User,仁武/台南小南(WSVSBJ000),2025/06/10,13:23:36,照片已傳送
Account,☆羅惠君☆,2025/06/10,14:01:56,老闆您好
Account,☆羅惠君☆,2025/06/10,14:09:39,"https://drive.google.com/drive/folders/18SBRHVA4OTdRrkUHVqYVSsOihtwMkODA
老闆您好~這是我們的DM可以參考看看，謝謝。"
User,仁武/台南小南(WSVSBJ000),2025/06/11,14:02:02,不用謝謝
User,仁武/台南小南(WSVSBJ000),2025/06/16,16:00:38,先不用謝謝
Account,俐均,2025/06/16,16:02:08,貼圖已傳送
Account,林鈺婷,2025/06/26,09:59:47,老闆您好～上次用的鯖魚還可以嗎？
User,仁武/台南小南(WSVSBJ000),2025/06/30,14:44:42,先不用謝謝
User,仁武/台南小南(WSVSBJ000),2025/07/09,16:54:44,先不用謝謝
Account,俐均,2025/07/09,17:00:15,貼圖已傳送
