帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:20
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,宗 仁（屏東津大鮮魚湯）,2024/04/09,09:51:00,"薄鹽鯖魚無骨L1件
津大鮮魚湯
0968386268"
Account,俐均,2024/04/09,09:54:55,收到
Account,林鈺婷,2024/04/11,14:42:53,"老闆娘您好，因大環境成本持續上漲，本公司不得已調整鯖魚價格，
(sparkle)自4/18(四)起，鯖魚L 每公斤調漲10元 一箱價格為1040元(sparkle)
造成不便，尚請海涵見諒"
User,宗 仁（屏東津大鮮魚湯）,2024/04/23,10:42:42,小卷切一件
Account,林鈺婷,2024/04/23,10:50:45,貼圖已傳送
Account,俐均,2024/04/23,11:12:54,"老闆您好
請問有急用嗎?
星期五幫您送好嗎?"
User,宗 仁（屏東津大鮮魚湯）,2024/04/23,11:22:42,好
Account,俐均,2024/04/23,11:28:35,貼圖已傳送
User,宗 仁（屏東津大鮮魚湯）,2024/05/02,17:42:37,明天鯖魚M的2箱
Account,俐均,2024/05/02,17:42:59,貼圖已傳送
User,宗 仁（屏東津大鮮魚湯）,2024/05/28,12:18:14,明天鯖魚M的2箱
User,宗 仁（屏東津大鮮魚湯）,2024/05/28,12:18:22,請問有熟白蝦嗎？
Account,俐均,2024/05/28,12:24:28,"老闆好
有的"
User,宗 仁（屏東津大鮮魚湯）,2024/05/28,12:25:36,30/40的有嗎？多少錢
Account,林鈺婷,2024/05/28,12:31:22,"不好意思~我們目前只有40/60的
一盒600克 315元"
User,宗 仁（屏東津大鮮魚湯）,2024/05/28,12:33:21,"幫我送
鯖魚M的2箱
熟白蝦ㄧ盒
謝謝"
Account,林鈺婷,2024/05/28,15:13:04,貼圖已傳送
Account,林鈺婷,2024/05/28,16:34:04,老闆請問有急用嗎?星期五幫您送方便嗎?
User,宗 仁（屏東津大鮮魚湯）,2024/05/28,16:38:36,貼圖已傳送
User,宗 仁（屏東津大鮮魚湯）,2024/05/30,09:35:48,小卷切2件
Account,林鈺婷,2024/05/30,09:38:57,老闆不好意思～我們目前小卷圈缺貨中
User,宗 仁（屏東津大鮮魚湯）,2024/05/30,09:39:37,好謝謝
Account,俐均,2024/05/30,12:24:21,貼圖已傳送
User,宗 仁（屏東津大鮮魚湯）,2024/07/02,21:45:48,"幫我送
鯖魚M的2箱
謝謝"
Account,自動回應訊息,2024/07/02,21:45:49,貼圖已傳送
Account,自動回應訊息,2024/07/02,21:45:49,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,俐均,2024/07/02,22:47:40,"老闆好
請問有急用嗎？
星期五幫您送"
User,宗 仁（屏東津大鮮魚湯）,2024/07/02,22:53:08,貼圖已傳送
User,宗 仁（屏東津大鮮魚湯）,2024/07/23,08:13:58,"幫我送
鯖魚M的2箱
謝謝"
Account,自動回應訊息,2024/07/23,08:13:58,貼圖已傳送
Account,自動回應訊息,2024/07/23,08:13:58,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,林鈺婷,2024/10/14,16:01:30,照片已傳送
