帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:20
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,永安便當(桃園),2024/01/16,13:34:13,鯖魚S號4箱 明天幫我們寄
User,永安便當(桃園),2024/01/16,13:34:33,不好意思 今天幫我們寄
Account,林鈺婷,2024/01/16,13:56:57,貼圖已傳送
User,永安便當(桃園),2024/02/01,12:48:08,鯖魚S號4箱 禮拜一到
Account,林鈺婷,2024/02/01,12:48:16,貼圖已傳送
User,永安便當(桃園),2024/02/01,12:48:23,貼圖已傳送
Account,林鈺婷,2024/02/01,12:51:21,老闆您好~因為黑貓年節前比較繁忙，沒辦法指定到貨時間，今天先幫您寄方便嗎?
User,永安便當(桃園),2024/02/01,12:52:32,好
User,永安便當(桃園),2024/02/01,12:52:43,貼圖已傳送
User,永安便當(桃園),2024/03/02,15:10:38,"麻煩星期一幫我們寄鯖魚  s,號4箱 謝謝"
Account,自動回應訊息,2024/03/02,15:10:39,貼圖已傳送
Account,自動回應訊息,2024/03/02,15:10:39,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,永安便當(桃園),2024/03/23,12:33:03,"麻煩星期一幫我們寄鯖魚  s,號4箱 謝謝
"
Account,自動回應訊息,2024/03/23,12:33:04,貼圖已傳送
Account,自動回應訊息,2024/03/23,12:33:04,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，上班時間會盡快給您答覆"
Account,林鈺婷,2024/04/11,11:41:02,"老闆/老闆娘您好，因大環境成本持續上漲，本公司不得已調整鯖魚價格，
(sparkle)自4/18(四)起，鯖魚S 每公斤調漲20元 一箱價格為920元(sparkle)
造成不便，尚請海涵見諒"
User,永安便當(桃園),2024/04/11,13:03:12,好的
User,永安便當(桃園),2024/04/11,13:03:18,貼圖已傳送
Account,俐均,2024/04/11,14:01:26,貼圖已傳送
User,永安便當(桃園),2024/04/15,13:37:14,"星期三幫我們寄鯖魚,S號4箱 謝謝"
Account,俐均,2024/04/15,14:05:23,貼圖已傳送
User,永安便當(桃園),2024/04/16,13:58:29,"不好意思 鯖魚可以今天幫我們寄嗎
"
Account,林鈺婷,2024/04/16,14:03:16,今天幫您寄喔
User,永安便當(桃園),2024/04/16,14:45:48,好 謝謝
User,永安便當(桃園),2024/05/02,13:59:09,明天幫我們寄鯖魚s號一箱
User,永安便當(桃園),2024/05/02,13:59:22,貼圖已傳送
Account,俐均,2024/05/02,14:03:31,貼圖已傳送
Account,俐均,2024/05/03,09:04:14,"老闆您好
請問是要幫您寄一箱還是4箱呢?"
User,永安便當(桃園),2024/05/03,10:34:27,4箱
Account,俐均,2024/05/03,10:35:06,貼圖已傳送
Account,俐均,2024/05/06,11:10:52,"老闆您好
不好意思
上次寄去的鯖魚價格沒有改到
目前一公斤是230元一共是3960元
可以麻煩您補匯600元嗎?"
User,永安便當(桃園),2024/05/06,12:11:18,我們給的是3640應該差320吧
Account,林鈺婷,2024/05/06,12:16:43,稍等幫您確認一下喔
User,永安便當(桃園),2024/05/06,12:18:09,照片已傳送
Account,林鈺婷,2024/05/06,12:19:01,不好意思~是差320元沒錯
User,永安便當(桃園),2024/05/06,12:28:19,要匯到哪？
Account,俐均,2024/05/06,12:30:41,照片已傳送
User,永安便當(桃園),2024/05/06,13:23:45,請問銀行代號是？
Account,林鈺婷,2024/05/06,13:24:51,007喔
User,永安便當(桃園),2024/05/06,13:41:38,好的
Account,林鈺婷,2024/05/06,14:23:57,貼圖已傳送
User,永安便當(桃園),2024/05/08,13:59:31,照片已傳送
User,永安便當(桃園),2024/05/08,14:00:02,昨天已轉
Account,俐均,2024/05/08,14:00:35,"老闆謝謝您
請問您的後碼是"
User,永安便當(桃園),2024/05/08,16:08:41,應該是2841
Account,俐均,2024/05/08,16:22:05,貼圖已傳送
User,永安便當(桃園),2024/05/20,18:20:43,"明天幫我們寄鯖魚，s號的4箱謝謝
"
Account,自動回應訊息,2024/05/20,18:20:43,貼圖已傳送
Account,自動回應訊息,2024/05/20,18:20:43,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
