帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:20
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/01/05,13:56:52,"加入(nine)(eight)(eight)
頭家輕鬆賺飽飽
人客健康呷飽飽"
Account,自動回應訊息,2024/01/05,13:56:52,"水門自助餐歡迎您加入988廚房。
☑我們是HACCP認證，合法工廠直營，冷凍冷藏加工調理食安保證
☑專業加工廠直接供貨，方便訂貨．產品平價．好品質!
請先傳個貼圖打聲招呼喔~
詢價、訂貨請提供店家名字/聯絡電話/地址或拍照上傳名片"
User,內埔水門自助餐,2024/01/05,13:59:51,照片已傳送
Account,林鈺婷,2024/01/05,14:01:00,您好~
User,內埔水門自助餐,2024/01/05,14:05:17,屏東縣內埔鄉水門村成功路21號
User,內埔水門自助餐,2024/01/05,14:06:21,水門自助餐
Account,林鈺婷,2024/01/05,14:07:00,老闆您好~以後有需要甚麼都可以直接在這邊叫貨喔
User,內埔水門自助餐,2024/01/05,14:07:28,好的
Account,林鈺婷,2024/01/05,14:07:35,貼圖已傳送
User,內埔水門自助餐,2024/01/05,14:07:41,貼圖已傳送
User,內埔水門自助餐,2024/01/08,00:44:38,無骨香酥鷄排70片一箱價格多少
Account,自動回應訊息,2024/01/08,00:44:39,貼圖已傳送
Account,自動回應訊息,2024/01/08,00:44:39,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
Account,林鈺婷,2024/01/08,08:55:26,現在一箱950元喔
User,內埔水門自助餐,2024/01/08,13:46:42,請問無骨香鷄排何時送到
Account,林鈺婷,2024/01/08,14:01:18,老闆如果有需要的話，星期四幫您送過去喔
User,內埔水門自助餐,2024/01/08,15:54:55,請問虱目魚排一箱多少錢
Account,俐均,2024/01/08,15:55:52,750元
User,內埔水門自助餐,2024/01/08,15:56:21,幾片
Account,俐均,2024/01/08,15:58:01,60片
Account,俐均,2024/01/10,12:09:09,"老闆您好
請問明天幫您送無骨雞排與虱目魚排各一箱嗎?"
User,內埔水門自助餐,2024/01/10,12:56:19,是的，謝謝
User,內埔水門自助餐,2024/01/10,14:05:09,明天的無骨鷄排是70片
Account,林鈺婷,2024/01/10,14:08:51,貼圖已傳送
User,內埔水門自助餐,2024/01/16,07:25:36,裹粉肉排60片一箱，海苔柳葉魚一包
Account,自動回應訊息,2024/01/16,07:25:37,貼圖已傳送
Account,自動回應訊息,2024/01/16,07:25:37,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
Account,林鈺婷,2024/01/16,08:34:53,老闆早，星期四幫您送過去喔~
User,內埔水門自助餐,2024/01/22,07:37:57,裹粉腿排（原味），暑魚切塊剖半一箱
Account,自動回應訊息,2024/01/22,07:37:57,貼圖已傳送
Account,自動回應訊息,2024/01/22,07:37:57,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
Account,林鈺婷,2024/01/22,08:54:09,老闆娘您好~我們裹粉腿排目前只有紐奧良和檸檬兩種口味，請問要哪一種
User,內埔水門自助餐,2024/01/22,10:06:49,紐奧良
Account,林鈺婷,2024/01/22,10:23:42,貼圖已傳送
User,內埔水門自助餐,2024/01/25,07:18:40,裹粉腿排（紐奧良）
Account,自動回應訊息,2024/01/25,07:18:41,貼圖已傳送
Account,自動回應訊息,2024/01/25,07:18:41,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,內埔水門自助餐,2024/01/25,07:34:50,T7香酥骨腿一箱多少錢
Account,自動回應訊息,2024/01/25,07:34:51,貼圖已傳送
Account,自動回應訊息,2024/01/25,07:34:51,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
Account,林鈺婷,2024/01/25,08:32:13,老闆不好意思~我們目前沒有T7香酥骨腿
User,內埔水門自助餐,2024/01/29,07:33:37,日式厚切豬排一箱
Account,自動回應訊息,2024/01/29,07:33:38,貼圖已傳送
Account,自動回應訊息,2024/01/29,07:33:38,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,內埔水門自助餐,2024/02/14,08:18:21,裹粉紐奧良腿排，肉魚（75隻），里肌豬排（60片）
Account,自動回應訊息,2024/02/14,08:18:22,貼圖已傳送
Account,自動回應訊息,2024/02/14,08:18:22,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
Account,林鈺婷,2024/02/14,08:27:29,老闆不好意思~我們目前沒有肉魚
User,內埔水門自助餐,2024/02/14,08:31:12,刺鯧有嗎？
Account,林鈺婷,2024/02/14,08:32:08,有喔~今天請司機帶過去給您參考看看
User,內埔水門自助餐,2024/02/14,08:32:45,好的，謝謝
User,內埔水門自助餐,2024/02/19,19:46:21,請問有芋頭餅嗎？
Account,自動回應訊息,2024/02/19,19:46:21,貼圖已傳送
Account,自動回應訊息,2024/02/19,19:46:21,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
Account,王振華,2024/02/19,23:26:34,不好意思，目前沒有
User,內埔水門自助餐,2024/03/18,07:13:09,虱目魚一包
Account,自動回應訊息,2024/03/18,07:13:10,貼圖已傳送
Account,自動回應訊息,2024/03/18,07:13:10,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，上班時間會盡快給您答覆"
Account,林鈺婷,2024/03/18,08:37:12,老闆娘早~今天先幫您送過去喔，下次叫貨我們要滿5公斤才有出貨喔
User,內埔水門自助餐,2024/03/20,20:49:41,虱目魚5公斤是幾包
Account,自動回應訊息,2024/03/20,20:49:41,貼圖已傳送
Account,自動回應訊息,2024/03/20,20:49:41,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，上班時間會盡快給您答覆"
Account,王振華,2024/03/20,23:53:22,老闆好，5包
Account,林鈺婷,2024/03/21,08:38:29,老闆您好~今天需要幫您送過去嗎?
User,內埔水門自助餐,2024/05/15,14:34:46,裹粉肉排一箱多少錢（60片）
Account,俐均,2024/05/15,14:37:39,"老闆好
一件1100元"
Account,俐均,2024/05/16,08:28:22,"老闆您好
請問今天要幫您送什麼呢?"
Account,俐均,2024/05/16,09:01:54,貼圖已傳送
User,內埔水門自助餐,2024/09/18,19:08:10,一箱香酥魚排
Account,自動回應訊息,2024/09/18,19:08:11,貼圖已傳送
Account,自動回應訊息,2024/09/18,19:08:11,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
