帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:20
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/04/09,17:15:51,"加入(nine)(eight)(eight)
頭家輕鬆賺飽飽
人客健康呷飽飽"
Account,自動回應訊息,2024/04/09,17:15:51,"榕峻歡迎您加入988廚房。
☑我們是HACCP認證，合法工廠直營，冷凍冷藏加工調理食安保證
☑專業加工廠直接供貨，方便訂貨．產品平價．好品質!
請先傳個貼圖打聲招呼喔~
詢價、訂貨請提供店家名字/聯絡電話/地址或拍照上傳名片"
User,Unknown,2024/04/09,17:15:55,貼圖已傳送
User,Unknown,2024/04/09,17:16:20,你好，大千秋
Account,俐均,2024/04/09,17:17:11,老闆您好
User,Unknown,2024/04/09,17:17:33,現在可叫貨嗎？
Account,俐均,2024/04/09,17:17:49,可以喔
Account,俐均,2024/04/09,17:18:00,請問有急用嗎?
User,Unknown,2024/04/09,17:18:03,嗯嗯
User,Unknown,2024/04/09,17:18:15,鯖魚3件
User,Unknown,2024/04/09,17:20:44,謝囉
Account,俐均,2024/04/09,17:20:49,"老闆
請問星期四下午幫您送去好嗎?"
User,Unknown,2024/04/09,17:21:46,老闆你電話給我
Account,俐均,2024/04/09,17:22:02,08-7807373
User,Unknown,2024/04/11,14:58:43,嗯嗯鯖魚2件
Account,林鈺婷,2024/04/11,15:02:59,貼圖已傳送
User,Unknown,2024/04/15,14:45:54,"星期二，不用
星期五，2件"
Account,俐均,2024/04/15,14:46:23,收到
User,Unknown,2024/04/18,15:52:17,貼圖已傳送
Account,俐均,2024/04/18,16:06:36,貼圖已傳送
User,Unknown,2024/04/22,15:19:08,星期五…送
Account,林鈺婷,2024/04/22,15:19:39,請問明天不用送嗎?
User,Unknown,2024/04/22,15:20:05,明天先不用，謝囉
Account,林鈺婷,2024/04/22,15:20:43,貼圖已傳送
User,Unknown,2024/04/22,15:20:56,貼圖已傳送
User,Unknown,2024/04/25,14:04:30,嗯嗯2件
Account,林鈺婷,2024/04/25,14:04:48,貼圖已傳送
User,Unknown,2024/04/25,14:15:31,貼圖已傳送
Account,俐均,2024/04/25,14:16:21,貼圖已傳送
User,Unknown,2024/04/29,14:36:20,"星期二…不用
星期五…3件"
Account,俐均,2024/04/29,14:37:02,貼圖已傳送
User,Unknown,2024/04/29,14:37:09,貼圖已傳送
User,Unknown,2024/05/02,14:10:49,3件
Account,俐均,2024/05/02,14:12:31,貼圖已傳送
User,Unknown,2024/05/03,13:49:29,貼圖已傳送
User,Unknown,2024/05/03,13:51:00,對了…鯖魚的部份，我們有告知你們小姐說要降規格？
Account,俐均,2024/05/03,14:08:35,130/160
Account,俐均,2024/05/03,14:09:32,"老闆您好
下次您訂貨再註明要130/160-6K的規格"
Account,俐均,2024/05/03,14:09:35,謝謝您
User,Unknown,2024/05/03,14:17:37,嗯嗯好的
User,Unknown,2024/05/03,14:17:50,謝謝囉
Account,俐均,2024/05/03,14:18:27,貼圖已傳送
User,Unknown,2024/05/03,14:19:10,貼圖已傳送
User,Unknown,2024/05/06,15:19:37,星期二先不用送
Account,林鈺婷,2024/05/06,15:20:57,貼圖已傳送
User,Unknown,2024/05/06,15:21:21,貼圖已傳送
User,Unknown,2024/05/09,14:13:40,"星期五…先不用
下星期二…2件，規格130_160"
Account,俐均,2024/05/09,14:15:24,貼圖已傳送
User,Unknown,2024/05/09,14:19:38,貼圖已傳送
Account,俐均,2024/05/13,11:11:51,"老闆您好
請問明天要幫您送鯖魚嗎?"
Account,俐均,2024/05/13,11:16:47,"幫您…2件，規格130_160
"
Account,俐均,2024/05/13,11:16:53,貼圖已傳送
User,Unknown,2024/05/13,12:14:57,貼圖已傳送
User,Unknown,2024/05/13,14:46:32,嗯嗯2件
Account,俐均,2024/05/13,14:47:44,貼圖已傳送
Account,俐均,2024/05/16,12:29:29,"老闆您好
明天要幫您送貨嗎?"
User,Unknown,2024/05/16,13:24:40,明天先不用
Account,俐均,2024/05/16,14:02:15,貼圖已傳送
Account,俐均,2024/05/20,10:51:34,"老闆您好
明天送鯖魚2件嗎?"
User,Unknown,2024/05/20,14:11:25,嗯嗯2件
Account,俐均,2024/05/20,14:11:53,貼圖已傳送
User,Unknown,2024/05/20,14:11:57,規格…130_160
Account,俐均,2024/05/20,14:12:06,貼圖已傳送
User,Unknown,2024/05/20,14:12:24,貼圖已傳送
User,Unknown,2024/05/21,18:30:39,貼圖已傳送
Account,自動回應訊息,2024/05/21,18:30:39,貼圖已傳送
Account,自動回應訊息,2024/05/21,18:30:39,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,俐均,2024/05/23,10:59:43,"老闆您好
明天送鯖魚2件嗎?"
User,Unknown,2024/05/23,15:03:13,明天先不用喔…
Account,林鈺婷,2024/05/23,15:21:00,貼圖已傳送
User,Unknown,2024/05/23,16:40:49,貼圖已傳送
User,Unknown,2024/05/27,15:21:05,嗯嗯2件
Account,林鈺婷,2024/05/27,15:21:52,貼圖已傳送
Account,俐均,2024/05/30,12:15:36,"老闆您好
請問要送鯖魚2件嗎?"
User,Unknown,2024/05/30,14:38:39,先不用
Account,俐均,2024/05/30,14:45:21,貼圖已傳送
Account,俐均,2024/06/03,11:17:17,"老闆您好
請問要送鯖魚2件嗎?"
User,Unknown,2024/06/03,13:18:51,嗯嗯明天2件
Account,林鈺婷,2024/06/03,14:22:35,貼圖已傳送
User,Unknown,2024/06/04,14:50:09,貼圖已傳送
Account,俐均,2024/06/04,14:50:50,貼圖已傳送
Account,俐均,2024/06/06,12:14:01,"老闆您好
明天要幫您送貨嗎?"
Account,俐均,2024/06/07,08:48:10,"不送
謝謝您"
User,Unknown,2024/06/07,08:50:12,下星期二，2件
Account,林鈺婷,2024/06/07,08:59:57,貼圖已傳送
User,Unknown,2024/06/07,09:02:12,貼圖已傳送
User,Unknown,2024/06/10,15:28:02,嗯嗯
User,Unknown,2024/06/10,15:28:05,2件
Account,俐均,2024/06/10,17:27:24,貼圖已傳送
Account,俐均,2024/06/13,11:01:15,"老闆您好
明天要幫您送鯖魚二件嗎?"
User,Unknown,2024/06/13,14:52:23,明天先不用送
Account,俐均,2024/06/13,15:22:08,貼圖已傳送
User,Unknown,2024/06/17,20:54:32,嗯嗯明天2件
Account,自動回應訊息,2024/06/17,20:54:32,貼圖已傳送
Account,自動回應訊息,2024/06/17,20:54:32,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,俐均,2024/06/20,11:17:42,"老闆您好
明天要幫您送鯖魚二件嗎?"
User,Unknown,2024/06/20,17:06:41,明天先不用…
Account,俐均,2024/06/20,17:07:26,貼圖已傳送
User,Unknown,2024/06/24,14:31:50,嗯嗯2件
Account,俐均,2024/06/24,14:34:06,貼圖已傳送
Account,俐均,2024/06/27,10:57:12,"老闆您好
明天要幫您送鯖魚二件嗎?"
User,Unknown,2024/06/27,14:13:18,先不用
Account,俐均,2024/06/27,14:13:41,貼圖已傳送
User,Unknown,2024/07/01,14:46:11,嗯嗯2件
Account,俐均,2024/07/01,14:55:36,貼圖已傳送
Account,俐均,2024/07/04,11:20:24,"老闆您好
明天要幫您送鯖魚二件嗎?"
User,Unknown,2024/07/04,15:31:27,明天先不用
Account,俐均,2024/07/04,15:34:18,貼圖已傳送
User,Unknown,2024/07/08,22:39:17,嗯嗯2件
Account,自動回應訊息,2024/07/08,22:39:18,貼圖已傳送
Account,自動回應訊息,2024/07/08,22:39:18,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,俐均,2024/07/11,12:22:03,"老闆您好
明天要幫您送鯖魚二件嗎?"
User,Unknown,2024/07/11,13:59:07,明天不用
Account,俐均,2024/07/11,14:02:25,貼圖已傳送
User,Unknown,2024/07/15,15:21:36,嗯嗯2件
Account,俐均,2024/07/15,15:24:08,貼圖已傳送
Account,俐均,2024/07/18,11:29:15,"老闆您好
明天要幫您送鯖魚二件嗎?"
User,Unknown,2024/07/18,15:37:35,明天先不用
Account,俐均,2024/07/18,15:52:28,貼圖已傳送
User,Unknown,2024/07/22,15:47:34,嗯嗯2件
Account,林鈺婷,2024/07/22,16:40:06,貼圖已傳送
User,Unknown,2024/07/25,21:51:26,先不用
Account,自動回應訊息,2024/07/25,21:51:26,貼圖已傳送
Account,自動回應訊息,2024/07/25,21:51:26,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,Unknown,2024/07/29,18:43:15,先不用
Account,自動回應訊息,2024/07/29,18:43:16,貼圖已傳送
Account,自動回應訊息,2024/07/29,18:43:16,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,俐均,2024/08/01,11:56:05,"老闆您好
明天要幫您送鯖魚二件嗎?"
User,Unknown,2024/08/01,12:58:48,嗯嗯
Account,俐均,2024/08/01,14:01:58,貼圖已傳送
Account,俐均,2024/08/05,12:56:17,"老闆您好
明天要幫您送鯖魚二件嗎?"
User,Unknown,2024/08/08,15:29:50,先不用
Account,俐均,2024/08/08,15:42:43,貼圖已傳送
Account,林鈺婷,2024/08/12,14:03:19,老闆您好~請問明天有需要送貨嗎?
User,Unknown,2024/08/15,16:51:48,日後這位小姐會和你叫貨
Account,俐均,2024/08/15,16:55:40,"老闆好
那再請小姐傳個貼圖給我們告知是大千秋"
Account,俐均,2024/08/15,16:55:42,謝謝
User,Unknown,2024/08/15,17:21:42,嗯嗯
Account,俐均,2024/08/15,17:25:13,貼圖已傳送
