帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:20
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/08/03,01:10:39,"加入(nine)(eight)(eight)
頭家輕鬆賺飽飽
人客健康呷飽飽"
Account,自動回應訊息,2024/08/03,01:10:39,"雞哥歡迎您加入988廚房。
☑我們是HACCP認證，合法工廠直營，冷凍冷藏加工調理食安保證
☑專業加工廠直接供貨，方便訂貨．產品平價．好品質!
請先傳個貼圖打聲招呼喔~
詢價、訂貨請提供店家名字/聯絡電話/地址或拍照上傳名片"
User,雞哥-第一家鹹酥雞店(鼓山),2024/08/03,01:11:14,麻煩您 請這位業務加我的賴
Account,自動回應訊息,2024/08/03,01:11:14,貼圖已傳送
Account,自動回應訊息,2024/08/03,01:11:14,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,雞哥-第一家鹹酥雞店(鼓山),2024/08/03,01:11:23,照片已傳送
Account,自動回應訊息,2024/08/03,01:11:24,貼圖已傳送
Account,自動回應訊息,2024/08/03,01:11:24,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,俐均,2024/08/03,11:17:31,"老闆好
請問要怎麼加您的Line(賴）呢？"
Account,俐均,2024/08/03,11:18:08,請問店家、電話、地址
User,雞哥-第一家鹹酥雞店(鼓山),2024/08/03,11:26:59,使用電話號碼方式加賴
Account,自動回應訊息,2024/08/03,11:27:00,貼圖已傳送
Account,自動回應訊息,2024/08/03,11:27:00,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,雞哥-第一家鹹酥雞店(鼓山),2024/08/03,11:27:12,0935399630
Account,自動回應訊息,2024/08/03,11:27:13,貼圖已傳送
Account,自動回應訊息,2024/08/03,11:27:13,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,雞哥-第一家鹹酥雞店(鼓山),2024/08/03,11:27:25,雞哥
Account,自動回應訊息,2024/08/03,11:27:25,貼圖已傳送
Account,自動回應訊息,2024/08/03,11:27:25,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,俐均,2024/08/03,16:48:14,"業務說已有與您聯絡好了
謝謝"
User,雞哥-第一家鹹酥雞店(鼓山),2024/08/03,16:50:40,貼圖已傳送
Account,自動回應訊息,2024/08/03,16:50:40,貼圖已傳送
Account,自動回應訊息,2024/08/03,16:50:40,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,雞哥-第一家鹹酥雞店(鼓山),2024/08/11,16:05:33,現不用 謝謝
Account,自動回應訊息,2024/08/11,16:05:34,貼圖已傳送
Account,自動回應訊息,2024/08/11,16:05:34,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,雞哥-第一家鹹酥雞店(鼓山),2024/08/15,14:33:18,最近有事都店休
Account,俐均,2024/08/15,14:33:43,貼圖已傳送
