帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:20
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,慧慈(枋寮沾武士),2024/01/17,14:43:40,青花菜1kg怎麼賣
Account,林鈺婷,2024/01/17,14:49:08,您好~請問是店家嗎?
User,慧慈(枋寮沾武士),2024/01/17,14:49:22,對
Account,林鈺婷,2024/01/17,14:50:36,"老闆娘您好
我們目前一公斤一包65元
如果一次買1箱(10包)550元"
User,慧慈(枋寮沾武士),2024/01/17,14:53:06,了解
User,慧慈(枋寮沾武士),2024/01/17,14:53:15,可以混搭嗎？
Account,林鈺婷,2024/01/17,14:53:27,不能混搭喔~不好意思
User,慧慈(枋寮沾武士),2024/01/17,14:53:31,好
User,慧慈(枋寮沾武士),2024/01/17,14:53:44,560含運費嗎？
Account,林鈺婷,2024/01/17,14:53:54,請問是哪邊呢?
User,慧慈(枋寮沾武士),2024/01/17,14:53:59,枋寮
User,慧慈(枋寮沾武士),2024/01/17,14:54:10,沾武士
Account,林鈺婷,2024/01/17,14:54:31,枋寮的話我們固定星期二五送貨，如果有叫到一箱，我們就幫您送，不用另外付運費
User,慧慈(枋寮沾武士),2024/01/17,14:54:44,了解
User,慧慈(枋寮沾武士),2024/01/17,14:54:59,一箱不能混搭其他商品就對了？
Account,林鈺婷,2024/01/17,14:55:21,可以混搭其他商品，我們一起幫您送過去，只是就沒有折扣優惠
User,慧慈(枋寮沾武士),2024/01/17,14:55:34,了解
User,慧慈(枋寮沾武士),2024/01/17,14:55:40,毛豆怎麼賣
Account,林鈺婷,2024/01/17,14:55:58,"毛豆仁我們現在一包120元
一箱10公斤1100元"
User,慧慈(枋寮沾武士),2024/01/17,14:56:20,好
User,慧慈(枋寮沾武士),2024/01/17,14:56:27,我想一下哦
User,慧慈(枋寮沾武士),2024/01/17,14:56:33,謝謝哦
Account,林鈺婷,2024/01/17,14:58:22,謝謝~如果之後有需要直接在這邊叫貨就可以囉，有任何問題也歡迎詢問喔
Account,林鈺婷,2024/01/17,14:58:37,還是老闆娘有需要我們現在所有冷凍蔬菜的報價嗎?
User,慧慈(枋寮沾武士),2024/02/20,23:54:24,請問鯖魚怎麼賣
Account,自動回應訊息,2024/02/20,23:54:25,貼圖已傳送
Account,自動回應訊息,2024/02/20,23:54:25,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
Account,俐均,2024/02/21,08:39:23,照片已傳送
User,慧慈(枋寮沾武士),2024/02/21,09:00:17,80/100 六公斤多少錢
Account,俐均,2024/02/21,09:00:43,一箱1080元
Account,俐均,2024/02/21,09:01:25,"但目前這個規格大缺貨
建議老闆拿大一點的規格"
User,慧慈(枋寮沾武士),2024/02/21,09:03:27,怎樣大一點呢？
User,慧慈(枋寮沾武士),2024/02/21,09:03:49,指是200/240哦？
Account,俐均,2024/02/21,09:03:54,100/130的規格
User,慧慈(枋寮沾武士),2024/02/21,09:04:08,多少
Account,俐均,2024/02/21,09:04:19,價格一樣
User,慧慈(枋寮沾武士),2024/02/21,09:04:26,了解
Account,俐均,2024/02/21,09:04:33,貼圖已傳送
User,慧慈(枋寮沾武士),2024/02/21,09:04:39,含運費嗎
Account,俐均,2024/02/21,09:05:56,"對的
枋寮送貨時間是二.五"
User,慧慈(枋寮沾武士),2024/02/21,12:20:03,好
Account,俐均,2024/02/21,12:20:39,貼圖已傳送
User,慧慈(枋寮沾武士),2024/02/21,12:21:49,還記得之前枋寮店訂什麼規格嗎？
User,慧慈(枋寮沾武士),2024/02/21,12:21:50,貼圖已傳送
User,慧慈(枋寮沾武士),2024/02/21,12:22:05,因為我第一次下單
User,慧慈(枋寮沾武士),2024/02/21,12:22:25,之前同事沒有做了，她也沒有跟我說規格
User,慧慈(枋寮沾武士),2024/02/21,12:22:29,貼圖已傳送
Account,林鈺婷,2024/02/21,12:23:15,老闆娘您好~之前都是訂160/200 A 一箱1080元這個規格的喔
User,慧慈(枋寮沾武士),2024/02/21,12:26:12,了解
User,慧慈(枋寮沾武士),2024/02/21,14:41:35,那我訂購160/200規格的
Account,林鈺婷,2024/02/21,14:41:46,星期五幫您送過去喔~
User,慧慈(枋寮沾武士),2024/02/21,14:41:51,好
User,慧慈(枋寮沾武士),2024/02/21,14:41:54,貼圖已傳送
Account,林鈺婷,2024/02/21,14:41:59,貼圖已傳送
User,慧慈(枋寮沾武士),2024/05/10,09:36:57,請問毛豆一箱多少
Account,林鈺婷,2024/05/10,09:38:30,您好～毛豆仁（小包裝）一箱10公斤 1100元
User,慧慈(枋寮沾武士),2024/05/10,09:39:15,幾包呢？
User,慧慈(枋寮沾武士),2024/05/10,09:39:26,玉米粒呢？
Account,林鈺婷,2024/05/10,10:19:52,1公斤1包 一箱10包
Account,林鈺婷,2024/05/10,10:20:32,"一箱15公斤/900元
一包一公斤 一箱15包"
User,慧慈(枋寮沾武士),2024/05/10,10:29:06,可以散裝嗎？
Account,林鈺婷,2024/05/10,10:30:27,"散裝的話
毛豆仁一包120元
玉米粒一包65元"
User,慧慈(枋寮沾武士),2024/05/10,10:32:52,哇
User,慧慈(枋寮沾武士),2024/05/10,10:32:56,差那麼多喔
Account,俐均,2024/05/10,11:16:02,"老闆娘您好
會建議您拿整箱會比較划算喔~"
Account,俐均,2024/05/10,11:16:06,貼圖已傳送
User,慧慈(枋寮沾武士),2024/05/10,11:33:03,好喔，思考一下
User,慧慈(枋寮沾武士),2024/05/10,11:34:01,請問一下喔，我上一次叫鯖魚一箱是多少
User,慧慈(枋寮沾武士),2024/05/10,11:34:13,我忘記了
Account,林鈺婷,2024/05/10,11:34:56,一箱1080元喔，但我們4/18起有調整價格現在是1170元/箱
User,慧慈(枋寮沾武士),2024/05/10,11:35:49,漲價那麼多喔
User,慧慈(枋寮沾武士),2024/05/10,11:36:00,我規格跟東港的一樣嗎
Account,林鈺婷,2024/05/10,11:36:13,都是一樣的喔
User,慧慈(枋寮沾武士),2024/05/10,11:37:45,好喔
User,慧慈(枋寮沾武士),2024/05/10,11:37:56,鯖魚怎麼調那麼高呀？
Account,林鈺婷,2024/05/10,12:17:48,因為今年年初鯖魚原料價格大漲，所以我們沒辦法也只好跟著漲
User,慧慈(枋寮沾武士),2024/05/13,14:39:48,我要一箱鯖魚
User,慧慈(枋寮沾武士),2024/05/13,14:40:22,一箱毛豆仁
Account,俐均,2024/05/13,14:43:51,貼圖已傳送
User,慧慈(枋寮沾武士),2024/05/13,14:44:12,謝謝哦
User,慧慈(枋寮沾武士),2024/05/13,14:44:17,明天到貨嗎？
Account,俐均,2024/05/13,14:44:22,對
Account,俐均,2024/05/13,14:44:25,貼圖已傳送
User,慧慈(枋寮沾武士),2024/05/13,14:44:32,貼圖已傳送
User,慧慈(枋寮沾武士),2024/06/26,14:40:01,請問毛豆仁一箱多少錢
Account,俐均,2024/06/26,14:42:05,1150元/10K/箱
User,慧慈(枋寮沾武士),2024/06/26,14:43:25,鯖魚呢
Account,俐均,2024/06/26,14:44:40,6K/1170元
User,慧慈(枋寮沾武士),2024/06/26,14:49:13,好
User,慧慈(枋寮沾武士),2024/06/26,14:49:16,謝謝
Account,俐均,2024/06/26,14:51:39,貼圖已傳送
User,慧慈(枋寮沾武士),2024/07/16,18:10:26,我要一箱鯖魚
User,慧慈(枋寮沾武士),2024/07/16,18:10:30,謝謝
Account,俐均,2024/07/16,21:35:32,"老闆您好
枋寮是二、五送
星期五幫您送過去
謝謝"
User,慧慈(枋寮沾武士),2024/07/16,21:50:17,所以要等到禮拜五？
Account,自動回應訊息,2024/07/16,21:50:18,貼圖已傳送
Account,自動回應訊息,2024/07/16,21:50:18,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,俐均,2024/07/16,22:06:38,"老闆
請問有急用嗎？"
User,慧慈(枋寮沾武士),2024/07/16,22:18:19,還好
Account,自動回應訊息,2024/07/16,22:18:20,貼圖已傳送
Account,自動回應訊息,2024/07/16,22:18:20,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,王振華,2024/07/16,23:13:09,老闆謝謝您，星期五會送去。
User,慧慈(枋寮沾武士),2024/07/18,15:59:33,好
User,慧慈(枋寮沾武士),2024/07/18,15:59:46,知道版型吧
Account,俐均,2024/07/18,16:00:32,160/200-6K
User,慧慈(枋寮沾武士),2024/08/08,12:10:25,請問一下哦，毛豆仁和花椰菜怎麼賣
Account,林鈺婷,2024/08/08,12:11:28,照片已傳送
Account,林鈺婷,2024/08/08,12:12:14,"毛豆仁 一箱10包10公斤 /1150元
青花菜 一箱10包10公斤/550元"
User,慧慈(枋寮沾武士),2024/08/08,12:12:59,好喔
User,慧慈(枋寮沾武士),2024/08/08,12:19:10,我想一下
Account,俐均,2024/08/08,14:23:03,貼圖已傳送
User,慧慈(枋寮沾武士),2024/08/08,14:34:31,我要一箱青花菜和毛豆仁
User,慧慈(枋寮沾武士),2024/08/08,14:34:35,一箱
Account,俐均,2024/08/08,14:52:45,貼圖已傳送
