帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:20
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/06/24,18:00:16,"加入(nine)(eight)(eight)
頭家輕鬆賺飽飽
人客健康呷飽飽"
Account,自動回應訊息,2024/06/24,18:00:16,"趙新米歡迎您加入988廚房。
☑我們是HACCP認證，合法工廠直營，冷凍冷藏加工調理食安保證
☑專業加工廠直接供貨，方便訂貨．產品平價．好品質!
請先傳個貼圖打聲招呼喔~
詢價、訂貨請提供店家名字/聯絡電話/地址或拍照上傳名片"
User,趙新米(恆春-呷賀便當),2024/06/24,18:00:24,貼圖已傳送
Account,俐均,2024/06/24,18:02:11,老闆您好
Account,俐均,2024/06/24,18:02:18,請問店家名稱
Account,林鈺婷,2024/06/26,14:55:49,照片已傳送
Account,林鈺婷,2024/06/26,14:55:49,照片已傳送
Account,林鈺婷,2024/06/26,14:55:50,照片已傳送
Account,林鈺婷,2024/06/26,14:55:50,照片已傳送
Account,林鈺婷,2024/06/26,14:55:51,照片已傳送
Account,林鈺婷,2024/06/26,14:55:51,照片已傳送
Account,林鈺婷,2024/06/26,14:55:52,照片已傳送
Account,林鈺婷,2024/06/26,14:55:53,照片已傳送
Account,林鈺婷,2024/06/26,14:55:53,照片已傳送
Account,林鈺婷,2024/06/26,14:55:54,照片已傳送
Account,林鈺婷,2024/06/26,14:55:57,照片已傳送
Account,林鈺婷,2024/06/26,14:55:57,照片已傳送
Account,林鈺婷,2024/06/26,14:55:58,照片已傳送
Account,林鈺婷,2024/06/26,14:55:58,照片已傳送
Account,林鈺婷,2024/06/26,14:55:59,照片已傳送
Account,林鈺婷,2024/06/26,17:12:55,檔案已傳送
Account,林鈺婷,2024/06/28,14:21:43,屏東縣恆春鎮恆西路12號
Account,林鈺婷,2024/06/28,14:27:05,"2箱檸檬腿排  880*2=1760元
2箱紐澳良腿排 880*2=1760元
1箱青花菜 550*1=550元
運費280*3=840元
總共4910元"
User,趙新米(恆春-呷賀便當),2024/08/05,14:23:20,貼圖已傳送
User,趙新米(恆春-呷賀便當),2024/08/05,14:23:22,貼圖已傳送
User,趙新米(恆春-呷賀便當),2024/08/05,14:42:12,"下午要去買貨有在嗎？
"
Account,俐均,2024/08/05,14:42:43,老闆娘您好
Account,俐均,2024/08/05,14:42:46,在喔~
Account,俐均,2024/08/05,14:43:00,今天要買?
User,趙新米(恆春-呷賀便當),2024/08/05,14:44:32,"'
正點雞2箱
紐奧良有60塊的嗎"
User,趙新米(恆春-呷賀便當),2024/08/05,14:44:41,有肉排嗎
Account,俐均,2024/08/05,14:49:12,紐澳良60P的沒有喔~
User,趙新米(恆春-呷賀便當),2024/08/05,14:49:49,60塊的有什麼肉
User,趙新米(恆春-呷賀便當),2024/08/05,14:50:46,有賴講話的嗎我在開車
Account,俐均,2024/08/05,14:50:48,老闆娘請問要蜜汁口味的棒腿嗎?
User,趙新米(恆春-呷賀便當),2024/08/05,14:51:16,正點的嗎
Account,俐均,2024/08/06,08:29:52,"老闆娘好
若有需要再麻煩跟我們說"
Account,俐均,2024/08/06,08:29:56,謝謝
