帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:20
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/07/05,23:21:58,"加入(nine)(eight)(eight)
頭家輕鬆賺飽飽
人客健康呷飽飽"
Account,自動回應訊息,2024/07/05,23:21:58,"智詠歡迎您加入988廚房。
☑我們是HACCP認證，合法工廠直營，冷凍冷藏加工調理食安保證
☑專業加工廠直接供貨，方便訂貨．產品平價．好品質!
請先傳個貼圖打聲招呼喔~
詢價、訂貨請提供店家名字/聯絡電話/地址或拍照上傳名片"
User,智詠-橋頭/來來美食,2024/07/05,23:22:33,(waving hand)
Account,自動回應訊息,2024/07/05,23:22:33,貼圖已傳送
Account,自動回應訊息,2024/07/05,23:22:33,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,智詠-橋頭/來來美食,2024/07/05,23:22:36,我們店有進貴店的鯖魚，上面重量是寫110g+-10%
Account,自動回應訊息,2024/07/05,23:22:37,貼圖已傳送
Account,自動回應訊息,2024/07/05,23:22:37,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,智詠-橋頭/來來美食,2024/07/05,23:23:00,這是業務專用的貨嗎
Account,自動回應訊息,2024/07/05,23:23:01,貼圖已傳送
Account,自動回應訊息,2024/07/05,23:23:01,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,智詠-橋頭/來來美食,2024/07/05,23:23:10,官網上最小的重量是140+-30g
Account,自動回應訊息,2024/07/05,23:23:11,貼圖已傳送
Account,自動回應訊息,2024/07/05,23:23:11,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,王振華,2024/07/07,19:59:34,老闆好，請問您的店名與地址
User,智詠-橋頭/來來美食,2024/07/07,20:15:33,來來美食，高雄市橋頭區甲昌路
Account,自動回應訊息,2024/07/07,20:15:34,貼圖已傳送
Account,自動回應訊息,2024/07/07,20:15:34,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,俐均,2024/07/08,10:52:41,"老闆您好
我們司機目前沒有送到橋頭區,可以幫您宅配到府運費280元
謝謝"
User,智詠-橋頭/來來美食,2024/07/08,15:09:03,鯖魚 140+-30g怎賣
Account,俐均,2024/07/08,15:28:29,"有130/160G的規格
有分5K及6K的"
Account,林鈺婷,2024/07/08,15:42:32,不好意思~請問是真空包裝的嗎?
User,智詠-橋頭/來來美食,2024/07/08,16:52:32,有更小的嗎
User,智詠-橋頭/來來美食,2024/07/08,16:52:49,對
User,智詠-橋頭/來來美食,2024/07/08,16:53:18,小條的
Account,俐均,2024/07/08,17:03:11,有S的規格
Account,俐均,2024/07/08,17:04:18,這是S的規格
Account,林鈺婷,2024/07/08,17:09:43,這個是S的規格，我們目前真空最小片的就是這個了
User,智詠-橋頭/來來美食,2024/07/08,17:18:33,那5K跟6K怎賣
Account,林鈺婷,2024/07/08,17:25:13,我們5K跟6K是裸裝無真空的價格會比較便宜
Account,林鈺婷,2024/07/08,17:25:40,"請問大概要什麼規格的呢?
我們目前有100/130"""
Account,林鈺婷,2024/07/08,17:25:47,130/160、160/200、200/240
User,智詠-橋頭/來來美食,2024/07/08,19:58:40,沒有套塑膠袋嗎?
Account,自動回應訊息,2024/07/08,19:58:41,貼圖已傳送
Account,自動回應訊息,2024/07/08,19:58:41,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,智詠-橋頭/來來美食,2024/07/08,19:58:54,100/130
Account,自動回應訊息,2024/07/08,19:58:55,貼圖已傳送
Account,自動回應訊息,2024/07/08,19:58:55,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,林鈺婷,2024/07/09,08:45:22,最外層有套塑膠套而已喔
Account,林鈺婷,2024/07/09,08:57:31,照片已傳送
Account,林鈺婷,2024/07/09,08:57:35,像這樣
User,智詠-橋頭/來來美食,2024/07/09,11:07:20,100/130怎賣
Account,俐均,2024/07/09,11:11:49,6K/箱1170元
User,智詠-橋頭/來來美食,2024/07/09,11:17:24,是挪威鯖魚，不是台灣的吧？
Account,林鈺婷,2024/07/09,11:17:48,我們的都是挪威鯖魚喔，我們沒有賣台灣的
User,智詠-橋頭/來來美食,2024/07/09,13:12:46,運費是一箱280還是怎樣算
User,智詠-橋頭/來來美食,2024/07/09,13:13:31,一箱如果加運費，幾乎沒利潤了
Account,林鈺婷,2024/07/09,13:27:59,"一箱運費是210元喔
如果一次叫3箱 我們可以幫您拆箱 換成一大箱 運費280元"
