帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:20
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/06/20,12:45:55,"加入(nine)(eight)(eight)
頭家輕鬆賺飽飽
人客健康呷飽飽"
Account,自動回應訊息,2024/06/20,12:45:55,"🖤ℛ𝒶𝓎𝓃𝒶蓓歡迎您加入988廚房。
☑我們是HACCP認證，合法工廠直營，冷凍冷藏加工調理食安保證
☑專業加工廠直接供貨，方便訂貨．產品平價．好品質!
請先傳個貼圖打聲招呼喔~
詢價、訂貨請提供店家名字/聯絡電話/地址或拍照上傳名片"
User,🖤ℛ𝒶𝓎𝓃𝒶蓓,2024/06/20,12:45:59,您好
User,🖤ℛ𝒶𝓎𝓃𝒶蓓,2024/06/20,12:46:06,想詢問龍蝦沙拉醬
Account,林鈺婷,2024/06/20,12:46:09,您好~
User,🖤ℛ𝒶𝓎𝓃𝒶蓓,2024/06/20,12:46:12,我們是早餐店
Account,俐均,2024/06/20,12:48:13,一包250G 135元(未稅)
User,🖤ℛ𝒶𝓎𝓃𝒶蓓,2024/06/20,12:48:53,照片已傳送
User,🖤ℛ𝒶𝓎𝓃𝒶蓓,2024/06/20,12:49:00,這龍蝦沙拉擠出來是呈現這樣子嗎？
Account,林鈺婷,2024/06/20,14:14:52,您好~是的喔，我們一箱是20包 一包135元
User,🖤ℛ𝒶𝓎𝓃𝒶蓓,2024/06/20,14:15:12,可以用寄的嗎
Account,林鈺婷,2024/06/20,14:15:22,我們有另外賣一些腿排跟雞排，也可以參考看看
Account,林鈺婷,2024/06/20,14:15:48,可以喔~只是我們運費另外算 一箱運費210元
User,🖤ℛ𝒶𝓎𝓃𝒶蓓,2024/06/20,14:38:41,還是你們有目錄
Account,俐均,2024/06/20,14:39:27,有的
Account,俐均,2024/06/20,14:39:36,請稍等
Account,林鈺婷,2024/06/20,15:16:23,檔案已傳送
Account,林鈺婷,2024/06/21,11:48:12,"988 DM目錄，點擊網址即可查看
https://drive.google.com/drive/folders/18SBRHVA4OTdRrkUHVqYVSsOihtwMkODA?usp=sharing"
