帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:12
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,苓雅/好心在美味健(CVYAJRDHC),2025/06/17,11:48:01,"'@988廚房 
請問我能建立這樣子的群組，在這裡下單嗎？

因為這樣我才可以請店內夥伴比較及時地下單，同時也可以同步知道下單狀況

萬一他沒有下單，我還可以補下單

如果我們沒有在同一個群組，可能就會有交接不完全的狀況"
Account,林鈺婷,2025/06/17,12:30:29,好的~沒有問題喔! 只是群組沒有訂貨提醒
Account,林鈺婷,2025/06/17,12:30:52,可能要再麻煩您們注意一下~謝謝(Cony hope)
User,苓雅/好心在美味健(CVYAJRDHC),2025/06/17,14:19:16,您好
User,苓雅/好心在美味健(CVYAJRDHC),2025/06/17,14:19:40,"明天請幫我送兩箱鯖魚
請問有辦法早上就送來嗎？🙏
@988廚房 "
Account,林鈺婷,2025/06/17,14:20:25,請問要幾點前送到呢?
User,苓雅/好心在美味健(CVYAJRDHC),2025/06/17,14:42:24,請問最早可以幾點送到？
User,苓雅/好心在美味健(CVYAJRDHC),2025/06/17,14:43:38,'@988廚房 
Account,林鈺婷,2025/06/17,14:45:43,明天最早大約9點多左右送到
User,苓雅/好心在美味健(CVYAJRDHC),2025/06/17,14:56:29,"好的，謝謝您
@All "
Account,☆羅惠君☆,2025/06/17,16:26:03,貼圖已傳送
User,苓雅/好心在美味健(CVYAJRDHC),2025/06/17,23:31:12,"【訂單】
▪️6/11(三)
水煮蛋（50顆）*1袋

▪️6/13(五)
水煮蛋（50顆）*1袋

▪️6/20(五)
水煮蛋（50顆）*(2)袋（改單）

▪️6/25(三)
水煮蛋（50顆）*1袋

▪️6/27(五)
水煮蛋（50顆）*1袋

▪️7/2(三)
水煮蛋（50顆）*1袋

▪️7/4(五)
水煮蛋（50顆）*1袋
"
Account,自動回應訊息,2025/06/17,23:31:12,貼圖已傳送
Account,自動回應訊息,2025/06/17,23:31:12,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,苓雅/好心在美味健(CVYAJRDHC),2025/06/17,23:31:19,'@988廚房 再麻煩您了，謝謝
Account,自動回應訊息,2025/06/17,23:31:20,貼圖已傳送
Account,自動回應訊息,2025/06/17,23:31:20,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,苓雅/好心在美味健(CVYAJRDHC),2025/06/18,10:12:27,"'@988廚房 
您好，可不可以幫我追一下司機什麼時候會到，因為我們很趕，(感謝)謝謝🙏"
User,苓雅/好心在美味健(CVYAJRDHC),2025/06/18,10:12:37,貼圖已傳送
Account,林鈺婷,2025/06/18,10:24:42,司機大概再10分鐘到
