帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:10
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,楠梓/午七廚房(JFTZEVSY0),2024/01/01,16:28:18,明天不用，謝謝
User,楠梓/午七廚房(JFTZEVSY0),2024/01/02,13:10:14,請問，今年有金目鱸魚-整隻生的，規格450/500 嗎？
User,楠梓/午七廚房(JFTZEVSY0),2024/01/02,13:10:58,有沒有鮭魚卵？
User,楠梓/午七廚房(JFTZEVSY0),2024/01/02,13:13:37,有沒有蟹味棒？
Account,林鈺婷,2024/01/02,14:26:57,老闆娘您好~有的喔
Account,林鈺婷,2024/01/02,14:27:08,鮭魚卵和蟹味棒目前沒有喔，不好意思
User,楠梓/午七廚房(JFTZEVSY0),2024/01/02,15:17:07,請問價格
Account,林鈺婷,2024/01/02,15:24:50,一尾100元喔
User,楠梓/午七廚房(JFTZEVSY0),2024/01/03,20:20:37,"午安要訂貨：


(1)、裸片鯖魚*8箱
（120～140）

謝謝
"
Account,自動回應訊息,2024/01/03,20:20:37,貼圖已傳送
Account,自動回應訊息,2024/01/03,20:20:37,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,楠梓/午七廚房(JFTZEVSY0),2024/01/08,15:13:06,"午安要訂貨：


(1)、裸片鯖魚*5箱
（120～140）

謝謝
"
Account,俐均,2024/01/08,15:15:18,貼圖已傳送
User,楠梓/午七廚房(JFTZEVSY0),2024/01/10,15:40:23,一
Account,林鈺婷,2024/01/10,15:42:02,老闆娘您好~請問要訂貨嗎?
User,楠梓/午七廚房(JFTZEVSY0),2024/01/10,17:20:21,"午安要訂貨：


(1)、裸片鯖魚*4箱
（120～140）

謝謝
"
Account,俐均,2024/01/10,17:26:52,貼圖已傳送
User,楠梓/午七廚房(JFTZEVSY0),2024/01/10,19:23:05,請問有沒有蝦子？
Account,自動回應訊息,2024/01/10,19:23:06,貼圖已傳送
Account,自動回應訊息,2024/01/10,19:23:06,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
Account,俐均,2024/01/11,08:34:58,有白蝦36/40的
User,楠梓/午七廚房(JFTZEVSY0),2024/01/11,08:37:15,多少？
Account,俐均,2024/01/11,08:38:51,白蝦36/40 一斤292元
User,楠梓/午七廚房(JFTZEVSY0),2024/01/11,14:39:52,請問有沒有帝王蟹腳？
Account,林鈺婷,2024/01/11,14:41:00,不好意思~目前沒有
User,楠梓/午七廚房(JFTZEVSY0),2024/01/11,14:45:21,好
Account,俐均,2024/01/11,14:45:54,貼圖已傳送
User,楠梓/午七廚房(JFTZEVSY0),2024/01/15,22:31:54,"午安要訂貨：


(1)、裸片鯖魚*5箱
（120～140）

謝謝
"
Account,自動回應訊息,2024/01/15,22:31:55,貼圖已傳送
Account,自動回應訊息,2024/01/15,22:31:55,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,楠梓/午七廚房(JFTZEVSY0),2024/01/16,15:24:23,這是台灣的嗎？還是進口的
Account,林鈺婷,2024/01/16,15:25:59,豬肉片是台灣的，牛肉片和豬五花是進口的
User,楠梓/午七廚房(JFTZEVSY0),2024/01/17,19:30:12,"午安要訂貨：


(1)、裸片鯖魚*？箱
（120～140）

2、豬肉片*1kg

3、牛肉片*1kg

4、豬五花*1kg

謝謝
"
Account,自動回應訊息,2024/01/17,19:30:13,貼圖已傳送
Account,自動回應訊息,2024/01/17,19:30:13,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,楠梓/午七廚房(JFTZEVSY0),2024/01/17,19:38:56,"更新：
晚安要訂貨：

(1)、裸片鯖魚*4箱
（120～140）

2、豬肉片*1kg

3、牛肉片*1kg

4、豬五花*1kg

謝謝
"
Account,自動回應訊息,2024/01/17,19:38:57,貼圖已傳送
Account,自動回應訊息,2024/01/17,19:38:57,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,楠梓/午七廚房(JFTZEVSY0),2024/01/22,16:47:50,請問金目鱸魚-整隻生的，規格450/500 ，要先預訂嗎？
Account,林鈺婷,2024/01/22,16:49:04,您好~請問是要之前那種嗎?
User,楠梓/午七廚房(JFTZEVSY0),2024/01/22,17:19:16,對
User,楠梓/午七廚房(JFTZEVSY0),2024/01/22,17:19:31,我目前是二十幾隻
Account,林鈺婷,2024/01/22,17:19:57,還是如果方便的話鮮幫您送過去
User,楠梓/午七廚房(JFTZEVSY0),2024/01/22,17:25:07,沒關係，有貨就好
User,楠梓/午七廚房(JFTZEVSY0),2024/01/22,17:25:15,我到時一起訂
User,楠梓/午七廚房(JFTZEVSY0),2024/01/22,17:25:22,會缺貨嗎
Account,林鈺婷,2024/01/22,17:32:52,目前供貨都是穩定的喔~只是因為過年前滿多客戶都會大量訂貨
User,楠梓/午七廚房(JFTZEVSY0),2024/01/23,02:06:52,"午安要訂貨：


(1)、裸片鯖魚*？箱
（120～140）

謝謝
"
Account,自動回應訊息,2024/01/23,02:06:53,貼圖已傳送
Account,自動回應訊息,2024/01/23,02:06:53,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
Account,林鈺婷,2024/01/23,08:31:34,老闆娘您好~請問鯖魚需要幾箱?
User,楠梓/午七廚房(JFTZEVSY0),2024/01/23,08:47:29,4
Account,林鈺婷,2024/01/23,08:47:54,貼圖已傳送
User,楠梓/午七廚房(JFTZEVSY0),2024/01/24,19:06:42,"午安要訂貨：


(1)、裸片鯖魚*2箱
（120～140）

謝謝
"
Account,自動回應訊息,2024/01/24,19:06:42,貼圖已傳送
Account,自動回應訊息,2024/01/24,19:06:42,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,楠梓/午七廚房(JFTZEVSY0),2024/01/25,15:15:29,午安，收到禮盒🎁
User,楠梓/午七廚房(JFTZEVSY0),2024/01/25,15:15:32,謝謝
User,楠梓/午七廚房(JFTZEVSY0),2024/01/25,15:15:42,想請問一下黃金鯧的價格謝謝
Account,林鈺婷,2024/01/25,15:56:28,現在一尾125元喔
User,楠梓/午七廚房(JFTZEVSY0),2024/01/25,16:41:25,好
User,楠梓/午七廚房(JFTZEVSY0),2024/01/25,16:41:33,鱸魚呢
Account,林鈺婷,2024/01/25,16:44:46,目前450/500的一尾118元
User,楠梓/午七廚房(JFTZEVSY0),2024/01/25,17:54:44,好的
User,楠梓/午七廚房(JFTZEVSY0),2024/01/26,14:14:55,請問，一盒是30顆嗎
Account,林鈺婷,2024/01/26,14:18:02,是的喔
User,楠梓/午七廚房(JFTZEVSY0),2024/01/26,15:14:01,"午安要訂貨：


(1)、裸片鯖魚*？箱
（120～140）

(2)、黃金干貝酥*28盒

(3)、金目鱸魚-整隻生的，規格450/500 ，大約50隻

2/1（四）到，謝謝
"
User,楠梓/午七廚房(JFTZEVSY0),2024/01/26,15:14:53,這個是下星期四的訂單，干貝酥及整隻鱸魚先幫我保留
User,楠梓/午七廚房(JFTZEVSY0),2024/01/26,15:15:10,我1月30號星期二會訂貨
Account,林鈺婷,2024/01/26,17:49:38,貼圖已傳送
User,楠梓/午七廚房(JFTZEVSY0),2024/01/30,01:35:47,"午安要訂貨：


(1)、裸片鯖魚*7箱
（120～140）

1/30（二）到，謝謝
"
Account,自動回應訊息,2024/01/30,01:35:47,貼圖已傳送
Account,自動回應訊息,2024/01/30,01:35:47,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
Account,俐均,2024/01/31,11:06:15,"老闆娘您好
請問鯖魚需幾件呢?"
User,楠梓/午七廚房(JFTZEVSY0),2024/01/31,11:22:24,我晚一點回覆你
Account,俐均,2024/01/31,11:25:42,貼圖已傳送
User,楠梓/午七廚房(JFTZEVSY0),2024/02/01,02:06:31,"更正：

午安要訂貨：


(1)、裸片鯖魚*1箱
（120～140）


(2)、金目鱸魚-整隻生的，規格450/500 ，大約25隻

2/1（四）到，謝謝
"
Account,自動回應訊息,2024/02/01,02:06:32,貼圖已傳送
Account,自動回應訊息,2024/02/01,02:06:32,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,楠梓/午七廚房(JFTZEVSY0),2024/02/01,02:07:14,"午安要訂貨：

(1)、裸片鯖魚*？箱
（120～140）

(2)、黃金干貝酥*28盒

(3)、金目鱸魚-整隻生的，規格450/500 ，大約？隻

2/6（二）到，謝謝
"
Account,自動回應訊息,2024/02/01,02:07:15,貼圖已傳送
Account,自動回應訊息,2024/02/01,02:07:15,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,楠梓/午七廚房(JFTZEVSY0),2024/02/01,02:07:34,黃金干貝酥改2/6送
Account,自動回應訊息,2024/02/01,02:07:35,貼圖已傳送
Account,自動回應訊息,2024/02/01,02:07:35,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
Account,俐均,2024/02/05,11:18:35,"老闆娘您好
請問鯖魚送幾箱呢?
金目鱸魚-整隻生的，規格450/500 ，大約？送幾隻?"
