帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:20
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,Jarvis(屏東市沾武士健康餐盒),2024/01/04,14:01:42,青花菜(小包裝)1K*10包 550元 * 1
Account,俐均,2024/01/04,14:01:56,貼圖已傳送
User,Jarvis(屏東市沾武士健康餐盒),2024/01/15,14:08:22,青花菜(小包裝)1K*10包 550元 * 1
Account,林鈺婷,2024/01/15,14:09:56,貼圖已傳送
User,Jarvis(屏東市沾武士健康餐盒),2024/01/18,14:03:00,1箱靖魚 A 160/200
Account,林鈺婷,2024/01/18,14:03:18,貼圖已傳送
User,Jarvis(屏東市沾武士健康餐盒),2024/01/25,14:01:37,青花菜(小包裝)1K*10包 550元 * 1
Account,林鈺婷,2024/01/25,14:02:07,貼圖已傳送
User,Jarvis(屏東市沾武士健康餐盒),2024/02/19,22:45:57,青花菜(小包裝)1K*10包 550元 * 1
Account,自動回應訊息,2024/02/19,22:45:58,貼圖已傳送
Account,自動回應訊息,2024/02/19,22:45:58,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,Jarvis(屏東市沾武士健康餐盒),2024/03/07,14:48:09,"青花菜(小包裝)1K*10包 550元 * 1
1箱靖魚 A 160/200"
Account,俐均,2024/03/07,14:50:38,貼圖已傳送
User,Jarvis(屏東市沾武士健康餐盒),2024/03/13,21:21:07,"禮拜五幫我送
青花菜(小包裝)1K*10包 550元 * 1"
Account,自動回應訊息,2024/03/13,21:21:07,貼圖已傳送
Account,自動回應訊息,2024/03/13,21:21:07,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
Account,俐均,2024/03/14,10:54:37,"老闆您好
小青花目前缺貨
下星期一會到貨
謝謝"
User,Jarvis(屏東市沾武士健康餐盒),2024/03/14,21:02:55,我下禮拜一的青花菜先取消 禮拜一 臨時休息 沒人
Account,自動回應訊息,2024/03/14,21:02:55,貼圖已傳送
Account,自動回應訊息,2024/03/14,21:02:55,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，上班時間會盡快給您答覆"
Account,王振華,2024/03/15,00:13:24,貼圖已傳送
User,Jarvis(屏東市沾武士健康餐盒),2024/03/21,14:25:25,"青花菜(小包裝)1K*10包 550元 * 1
1箱靖魚 A 160/200"
Account,林鈺婷,2024/03/21,14:25:42,貼圖已傳送
User,Jarvis(屏東市沾武士健康餐盒),2024/03/21,14:26:53,不好意思 靖魚先不用 先青花菜就好
User,Jarvis(屏東市沾武士健康餐盒),2024/03/21,14:26:57,貼圖已傳送
Account,林鈺婷,2024/03/21,14:39:23,貼圖已傳送
User,Jarvis(屏東市沾武士健康餐盒),2024/04/01,14:01:36,"青花菜(小包裝)1K*10包 550元 * 1
1箱靖魚 A 160/200"
Account,俐均,2024/04/01,14:13:40,貼圖已傳送
User,Jarvis(屏東市沾武士健康餐盒),2024/04/15,21:04:48,青花菜(小包裝)1K*10包 550元 * 1
Account,自動回應訊息,2024/04/15,21:04:49,貼圖已傳送
Account,自動回應訊息,2024/04/15,21:04:49,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,Jarvis(屏東市沾武士健康餐盒),2024/04/23,12:46:21,"青花菜(小包裝)1K*10包 550元 * 1
1箱靖魚 A 160/200

禮拜五的"
Account,俐均,2024/04/23,12:48:02,貼圖已傳送
User,Jarvis(屏東市沾武士健康餐盒),2024/05/02,15:36:10,1箱靖魚 A 160/200
Account,俐均,2024/05/02,15:44:00,收到
User,Jarvis(屏東市沾武士健康餐盒),2024/05/06,22:43:55,青花菜(小包裝)1K*10包 550元 * 1
Account,自動回應訊息,2024/05/06,22:43:55,貼圖已傳送
Account,自動回應訊息,2024/05/06,22:43:55,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
