帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:12
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,萬巒/萬金福緣(JRZM00000),2024/01/07,18:27:33,鯖魚兩件
Account,自動回應訊息,2024/01/07,18:27:34,貼圖已傳送
Account,自動回應訊息,2024/01/07,18:27:34,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,萬巒/萬金福緣(JRZM00000),2024/01/24,15:45:43,烏魚2件鯖魚1件正點熟烤棒腿2包。
Account,俐均,2024/01/24,17:00:34,貼圖已傳送
User,萬巒/萬金福緣(JRZM00000),2024/02/22,09:13:51,鯖魚一件，烏魚一件。
Account,林鈺婷,2024/02/22,09:24:30,貼圖已傳送
User,萬巒/萬金福緣(JRZM00000),2024/02/25,23:51:23,肉魚一件，哈克魚一件
Account,自動回應訊息,2024/02/25,23:51:23,貼圖已傳送
Account,自動回應訊息,2024/02/25,23:51:23,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,萬巒/萬金福緣(JRZM00000),2024/02/28,20:12:40,銀鯰魚 一件 鯖魚一件
Account,自動回應訊息,2024/02/28,20:12:40,貼圖已傳送
Account,自動回應訊息,2024/02/28,20:12:40,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,萬巒/萬金福緣(JRZM00000),2024/03/14,00:20:08,虱目魚肚2包鯖魚一件。
Account,自動回應訊息,2024/03/14,00:20:09,貼圖已傳送
Account,自動回應訊息,2024/03/14,00:20:09,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,萬巒/萬金福緣(JRZM00000),2024/03/18,08:34:13,虱目魚肚5包，白口魚一件，鯖魚一件。
Account,林鈺婷,2024/03/18,08:35:24,貼圖已傳送
User,萬巒/萬金福緣(JRZM00000),2024/03/28,00:05:19,虱目魚肚5包，鯖魚1件鳥魚1件
Account,自動回應訊息,2024/03/28,00:05:20,貼圖已傳送
Account,自動回應訊息,2024/03/28,00:05:20,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,萬巒/萬金福緣(JRZM00000),2024/04/10,23:15:02," 鯖魚一件 虱目魚肚5包，白口魚一件
"
Account,自動回應訊息,2024/04/10,23:15:03,貼圖已傳送
Account,自動回應訊息,2024/04/10,23:15:03,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,萬巒/萬金福緣(JRZM00000),2024/04/22,08:25:24,鯖魚2件虱目魚肚5包
Account,林鈺婷,2024/04/22,08:28:07,貼圖已傳送
User,萬巒/萬金福緣(JRZM00000),2024/04/29,00:20:40,鯖魚2件.虱目魚肚5包
Account,自動回應訊息,2024/04/29,00:20:41,貼圖已傳送
Account,自動回應訊息,2024/04/29,00:20:41,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,萬巒/萬金福緣(JRZM00000),2024/05/02,00:22:09,虱目魚肚10包
Account,自動回應訊息,2024/05/02,00:22:09,貼圖已傳送
Account,自動回應訊息,2024/05/02,00:22:09,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,林鈺婷,2024/05/02,10:45:10,老闆娘不好意思～剛剛有致電虱目魚肚缺貨，如果有到貨通知您 不好意思
User,萬巒/萬金福緣(JRZM00000),2024/05/08,14:14:23,紅斑魚 一件 烏魚一件 鯖魚一件
Account,俐均,2024/05/08,14:14:41,貼圖已傳送
User,萬巒/萬金福緣(JRZM00000),2024/05/08,14:14:49,貼圖已傳送
Account,俐均,2024/05/08,14:15:02,貼圖已傳送
User,萬巒/萬金福緣(JRZM00000),2024/05/15,20:50:35,正點 熟烤棒腿4包 鱸魚下巴 一件 烏魚一件
Account,自動回應訊息,2024/05/15,20:50:35,貼圖已傳送
Account,自動回應訊息,2024/05/15,20:50:35,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,王振華,2024/05/16,01:01:09,老闆娘好，鱸魚下巴明早在跟您確認
Account,林鈺婷,2024/05/16,08:39:04,鱸魚下巴目前缺貨中，不好意思
User,萬巒/萬金福緣(JRZM00000),2024/05/19,19:16:28,"正點熟烤棒腿1件
烏魚 1件
白帶魚 1件
鯖魚1件
"
Account,自動回應訊息,2024/05/19,19:16:28,貼圖已傳送
Account,自動回應訊息,2024/05/19,19:16:28,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,萬巒/萬金福緣(JRZM00000),2024/05/23,08:02:04, 白帶魚一件 鯖魚一件 正點熟烤棒腿一件
Account,自動回應訊息,2024/05/23,08:02:05,貼圖已傳送
Account,自動回應訊息,2024/05/23,08:02:05,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,萬巒/萬金福緣(JRZM00000),2024/05/31,09:11:14,"虱目魚肚 ×5
鯖魚 ×1件
烏魚×1"
User,萬巒/萬金福緣(JRZM00000),2024/05/31,09:11:42,"虱目魚肚 ×5
鯖魚 ×1件
烏魚×1件"
Account,林鈺婷,2024/05/31,09:11:43,貼圖已傳送
Account,林鈺婷,2024/05/31,09:14:07,老闆娘早~下星期一幫您送過去喔
Account,林鈺婷,2024/06/03,10:42:52,"老闆娘不好意思 
我們目前烏魚切塊缺貨中"
