帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:20
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/01/21,11:53:03,"加入(nine)(eight)(eight)
頭家輕鬆賺飽飽
人客健康呷飽飽"
Account,自動回應訊息,2024/01/21,11:53:03,"振毅歡迎您加入988廚房。
☑我們是HACCP認證，合法工廠直營，冷凍冷藏加工調理食安保證
☑專業加工廠直接供貨，方便訂貨．產品平價．好品質!
請先傳個貼圖打聲招呼喔~
詢價、訂貨請提供店家名字/聯絡電話/地址或拍照上傳名片"
User,振毅(苓雅好心在健康餐盒),2024/01/25,09:39:53,貼圖已傳送
User,振毅(苓雅好心在健康餐盒),2024/01/25,09:41:05,"我這邊
好心在健康餐盒
地址：福德三路93號
聯絡電話：0960997406"
Account,林鈺婷,2024/01/25,10:15:06,老闆您好
User,振毅(苓雅好心在健康餐盒),2024/01/29,11:45:40,"麻煩您
明天幫我送一箱鯖魚"
Account,林鈺婷,2024/01/29,11:50:15,老闆您好~請問有急用嗎?星期三幫您送方便嗎?
User,振毅(苓雅好心在健康餐盒),2024/01/29,11:52:37,"不好意思因為臨時有單進來
明天方便嗎
我們禮拜三一大早就需要用"
Account,林鈺婷,2024/01/29,11:52:52,請司機盡量幫您安排喔
User,振毅(苓雅好心在健康餐盒),2024/01/29,11:55:45,好的 麻煩您了
Account,林鈺婷,2024/01/29,12:25:24,貼圖已傳送
User,振毅(苓雅好心在健康餐盒),2024/01/31,19:57:26,"麻煩你幫我送
一箱蒲燒鯛
一箱鯖魚"
Account,自動回應訊息,2024/01/31,19:57:27,貼圖已傳送
Account,自動回應訊息,2024/01/31,19:57:27,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,振毅(苓雅好心在健康餐盒),2024/03/05,08:10:19,"可以麻煩您早上9點前幫我們送
一箱蒲燒鯛
一箱鯖魚
嗎
感謝"
Account,自動回應訊息,2024/03/05,08:10:19,貼圖已傳送
Account,自動回應訊息,2024/03/05,08:10:19,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,振毅(苓雅好心在健康餐盒),2024/03/05,08:16:32,"更正 麻煩您們一上班就幫我們送
急用 
這麼臨時 抱歉"
Account,自動回應訊息,2024/03/05,08:16:32,貼圖已傳送
Account,自動回應訊息,2024/03/05,08:16:32,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
Account,Mita💮(づ￣ ³￣)づ雅婷💓,2024/03/05,08:28:53,"老闆 早安
請司機盡量安排~"
User,振毅(苓雅好心在健康餐盒),2024/03/05,08:48:00,"盡量幫我趕一下
感謝您(moon smile)"
User,振毅(苓雅好心在健康餐盒),2024/03/05,13:02:59,"請問今天早上叫的貨 下午1點前會送到嗎
有急用 不好意思"
Account,俐均,2024/03/05,13:16:19,老闆娘好
Account,俐均,2024/03/05,13:16:25,五分鐘送到
User,振毅(苓雅好心在健康餐盒),2024/03/05,13:20:57,好的 感謝你
Account,俐均,2024/03/05,13:23:33,貼圖已傳送
User,振毅(苓雅好心在健康餐盒),2024/03/08,15:05:54,"麻煩您週一幫我送
一箱鯖魚

感謝"
Account,俐均,2024/03/08,15:07:01,貼圖已傳送
User,振毅(苓雅好心在健康餐盒),2024/03/15,10:04:25,"麻煩你
下週二幫我送一箱鯖魚
感恩(moon halo)"
Account,俐均,2024/03/15,10:53:05,貼圖已傳送
Account,俐均,2024/03/15,11:01:15,"老闆您好
請問可以星期一送嗎?"
User,振毅(苓雅好心在健康餐盒),2024/03/15,11:30:01,"下週一我們店休
不好意思"
Account,俐均,2024/03/15,11:30:42,好的
Account,俐均,2024/03/15,11:30:47,貼圖已傳送
User,振毅(苓雅好心在健康餐盒),2024/03/21,13:42:21,"麻煩你
明天幫我送 
一箱蒲燒鯛
一箱鯖魚

另外幫我送一箱
禾榮柳葉魚L

☆柳葉魚的收據麻煩你另外開一張
感謝"
Account,俐均,2024/03/21,14:01:41,貼圖已傳送
User,振毅(苓雅好心在健康餐盒),2024/03/22,10:31:19,不好意思 請問下午2點前會到嗎
Account,俐均,2024/03/22,10:33:19,"老闆您好
已有告知司機
司機盡量趕去
謝謝"
Account,林鈺婷,2024/03/22,17:21:01,老闆不好意思~我們毛豆仁還沒到貨，有到貨通知您
User,振毅(苓雅好心在健康餐盒),2024/03/23,11:23:32,好的感謝你
Account,自動回應訊息,2024/03/23,11:23:33,貼圖已傳送
Account,自動回應訊息,2024/03/23,11:23:33,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，上班時間會盡快給您答覆"
User,振毅(苓雅好心在健康餐盒),2024/03/25,08:57:10,"麻煩你明天幫我送
2包毛豆仁
2包玉米粒"
Account,林鈺婷,2024/03/25,09:01:22,貼圖已傳送
User,振毅(苓雅好心在健康餐盒),2024/03/28,14:48:24,"麻煩你 明天幫我送
一箱鯖魚
感謝(謝謝)"
Account,俐均,2024/03/28,14:58:55,貼圖已傳送
User,振毅(苓雅好心在健康餐盒),2024/04/01,13:23:29,"麻煩你 明天幫我送
一箱鯖魚
感謝(moon halo)"
Account,俐均,2024/04/01,14:00:22,貼圖已傳送
User,振毅(苓雅好心在健康餐盒),2024/04/09,13:43:28,"麻煩你
明天幫我送
一箱蒲燒鯛"
Account,俐均,2024/04/09,14:05:06,貼圖已傳送
User,振毅(苓雅好心在健康餐盒),2024/04/09,21:31:49,"您好
如果我們店有重複叫貨
麻煩你明天幫我送一箱蒲燒鯛就好"
Account,自動回應訊息,2024/04/09,21:31:49,貼圖已傳送
Account,自動回應訊息,2024/04/09,21:31:49,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,振毅(苓雅好心在健康餐盒),2024/04/17,10:51:16,"麻煩你明天幫我送
一箱鯖魚
感謝(moon halo)"
Account,俐均,2024/04/17,10:52:01,貼圖已傳送
Account,俐均,2024/04/17,10:55:11,"老闆您好
星期五幫您送好嗎?"
User,振毅(苓雅好心在健康餐盒),2024/04/17,12:49:12,沒問題 感謝您
Account,俐均,2024/04/17,12:49:18,貼圖已傳送
User,振毅(苓雅好心在健康餐盒),2024/04/24,14:50:01,"麻煩您明天幫我送
一箱鯖魚
感恩(moon halo)"
Account,俐均,2024/04/24,14:52:57,貼圖已傳送
User,振毅(苓雅好心在健康餐盒),2024/05/01,08:57:49,"麻煩您明天幫我送
一箱蒲燒鯛
感謝(moon halo)"
Account,林鈺婷,2024/05/01,13:15:13,貼圖已傳送
