帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:20
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/04/22,23:11:31,"加入(nine)(eight)(eight)
頭家輕鬆賺飽飽
人客健康呷飽飽"
Account,自動回應訊息,2024/04/22,23:11:31,"ㄚ安歡迎您加入988廚房。
☑我們是HACCP認證，合法工廠直營，冷凍冷藏加工調理食安保證
☑專業加工廠直接供貨，方便訂貨．產品平價．好品質!
請先傳個貼圖打聲招呼喔~
詢價、訂貨請提供店家名字/聯絡電話/地址或拍照上傳名片"
User,ㄚ安(枋寮/枋新·饗樂),2024/04/22,23:11:45,你好有DM嗎
Account,自動回應訊息,2024/04/22,23:11:45,貼圖已傳送
Account,自動回應訊息,2024/04/22,23:11:45,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,王振華,2024/04/23,00:09:54,老闆好，能請問您店名和店址嗎？
User,ㄚ安(枋寮/枋新·饗樂),2024/04/23,00:10:47,"枋新·饗樂
屏東縣枋寮鄉新龍村義民路199號"
Account,林鈺婷,2024/04/23,12:46:43,照片已傳送
Account,林鈺婷,2024/04/23,12:46:44,照片已傳送
Account,林鈺婷,2024/04/23,12:46:44,照片已傳送
Account,林鈺婷,2024/04/23,12:46:45,照片已傳送
Account,林鈺婷,2024/04/23,12:46:45,照片已傳送
Account,林鈺婷,2024/04/23,12:46:46,照片已傳送
Account,林鈺婷,2024/04/23,12:46:46,照片已傳送
Account,林鈺婷,2024/04/23,12:46:47,照片已傳送
Account,林鈺婷,2024/04/23,12:46:47,照片已傳送
Account,林鈺婷,2024/04/23,12:46:53,照片已傳送
Account,林鈺婷,2024/04/23,12:46:53,照片已傳送
Account,林鈺婷,2024/04/23,12:46:54,照片已傳送
Account,林鈺婷,2024/04/23,12:46:54,照片已傳送
Account,林鈺婷,2024/04/23,12:46:55,照片已傳送
Account,林鈺婷,2024/04/23,12:46:55,照片已傳送
Account,林鈺婷,2024/04/23,12:54:12,檔案已傳送
