帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:20
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/04/22,17:54:17,"加入(nine)(eight)(eight)
頭家輕鬆賺飽飽
人客健康呷飽飽"
Account,自動回應訊息,2024/04/22,17:54:17,"彥廷歡迎您加入988廚房。
☑我們是HACCP認證，合法工廠直營，冷凍冷藏加工調理食安保證
☑專業加工廠直接供貨，方便訂貨．產品平價．好品質!
請先傳個貼圖打聲招呼喔~
詢價、訂貨請提供店家名字/聯絡電話/地址或拍照上傳名片"
User,彥廷(大社/伍參柒冷凍食品),2024/04/23,10:11:09,有一公斤裝的生白蝦嗎
User,彥廷(大社/伍參柒冷凍食品),2024/04/23,10:11:20,有什麼規格
User,彥廷(大社/伍參柒冷凍食品),2024/04/23,10:12:10,照片已傳送
Account,林鈺婷,2024/04/23,10:32:09,不好意思~我們目前沒有生白蝦
User,彥廷(大社/伍參柒冷凍食品),2024/04/23,10:32:25,貼圖已傳送
User,彥廷(大社/伍參柒冷凍食品),2024/04/23,10:50:47,"魚肚100-120g
魚肚80-100g
裸裝鯖魚6公斤裝
白蝦仁包30-40冰，客戶要做蝦球用，大支一點的"
Account,林鈺婷,2024/04/23,11:11:05,"魚肚我們目前庫存貨量不多，不好意思
白蝦仁我們目前都剩小尾的"
Account,林鈺婷,2024/04/23,11:11:27,"請問鯖魚要什麼規格的呢?
我們目前有100-130g/130-160g/160-200g/200-240g"
User,彥廷(大社/伍參柒冷凍食品),2024/04/23,11:31:32,"100-130
130-160"
Account,林鈺婷,2024/04/23,11:34:09,我們價格都是固定一箱6公斤 1170元
