帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:20
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/04/09,14:27:03,"加入(nine)(eight)(eight)
頭家輕鬆賺飽飽
人客健康呷飽飽"
Account,自動回應訊息,2024/04/09,14:27:03,"Mr.Cola（鐵の將）歡迎您加入988廚房。
☑我們是HACCP認證，合法工廠直營，冷凍冷藏加工調理食安保證
☑專業加工廠直接供貨，方便訂貨．產品平價．好品質!
請先傳個貼圖打聲招呼喔~
詢價、訂貨請提供店家名字/聯絡電話/地址或拍照上傳名片"
User,Mr.Cola,2024/04/09,14:27:18,您好
Account,林鈺婷,2024/04/09,14:27:37,您好~
User,Mr.Cola,2024/04/09,14:27:58,我剛剛有打電話詢問鯖魚的店家
User,Mr.Cola,2024/04/09,14:28:26,您有價格表可以參閱嗎？
Account,林鈺婷,2024/04/09,14:28:34,有喔~稍等我一下
User,Mr.Cola,2024/04/09,14:28:39,貼圖已傳送
User,Mr.Cola,2024/04/09,14:29:38,鯖魚是台灣的還是挪威的？
Account,林鈺婷,2024/04/09,14:29:39,檔案已傳送
Account,林鈺婷,2024/04/09,14:29:50,我們只有挪威的喔~
User,Mr.Cola,2024/04/09,14:29:57,貼圖已傳送
User,Mr.Cola,2024/04/09,14:35:03,屏東市每周2跟5配送對嗎?
User,Mr.Cola,2024/04/09,14:35:47,照片已傳送
User,Mr.Cola,2024/04/09,14:36:06,你們無骨香雞排也是這種的嗎？
Account,林鈺婷,2024/04/09,14:57:36,是的喔~
Account,林鈺婷,2024/04/09,14:58:41,照片已傳送
Account,林鈺婷,2024/04/09,14:58:47,我們的無骨雞排
User,Mr.Cola,2024/04/09,15:04:40,這是60p的嗎？
Account,林鈺婷,2024/04/09,15:06:03,"圖片是50P的喔~
60P的我們也有"
User,Mr.Cola,2024/04/09,15:13:40,貼圖已傳送
User,Mr.Cola,2024/04/09,15:14:16,了解！我統計完星期四跟您下單，星期五再幫我配送
User,Mr.Cola,2024/04/09,15:14:27,您那邊有花枝丸嗎？
Account,俐均,2024/04/09,15:16:45,"有
特級花枝丸600g/254元"
User,Mr.Cola,2024/04/09,15:19:18,一大包那種的嗎?
Account,林鈺婷,2024/04/09,15:19:52,小包裝的喔，一包600克而已
User,Mr.Cola,2024/04/09,15:20:35,了解
User,Mr.Cola,2024/04/11,14:16:34,你好，你們里肌豬排是沒有果粉的對嗎？是蜜汁口味嗎？
Account,俐均,2024/04/11,14:22:21,"是裹漿的,一般的醬料"
User,Mr.Cola,2024/04/11,15:36:04,了結
