帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:20
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/03/29,11:18:22,"加入(nine)(eight)(eight)
頭家輕鬆賺飽飽
人客健康呷飽飽"
Account,自動回應訊息,2024/03/29,11:18:22,"胤歡迎您加入988廚房。
☑我們是HACCP認證，合法工廠直營，冷凍冷藏加工調理食安保證
☑專業加工廠直接供貨，方便訂貨．產品平價．好品質!
請先傳個貼圖打聲招呼喔~
詢價、訂貨請提供店家名字/聯絡電話/地址或拍照上傳名片"
User,胤(楠梓野瘦派),2024/03/29,11:38:32,貼圖已傳送
User,胤(楠梓野瘦派),2024/03/29,11:38:49,您好 我是野瘦派
Account,林鈺婷,2024/03/29,11:42:17,貼圖已傳送
User,胤(楠梓野瘦派),2024/04/01,14:18:17,您好 我們下禮拜一才開始營業這禮拜五會在跟你們叫哦
User,胤(楠梓野瘦派),2024/04/01,14:18:20,貼圖已傳送
Account,俐均,2024/04/01,14:24:22,貼圖已傳送
Account,俐均,2024/04/01,14:24:24,貼圖已傳送
User,胤(楠梓野瘦派),2024/04/02,18:58:14,您好 我想請問你們鯖魚一件價錢多少
Account,自動回應訊息,2024/04/02,18:58:15,貼圖已傳送
Account,自動回應訊息,2024/04/02,18:58:15,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,俐均,2024/04/03,12:51:34,照片已傳送
Account,林鈺婷,2024/04/11,15:02:31,"老闆您好，因大環境成本持續上漲，本公司不得已調整鯖魚價格，
(sparkle)自4/18(四)起，鯖魚 每公斤調漲10元 一箱價格為1040元(sparkle)
造成不便，尚請海涵見諒"
