帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:20
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/04/10,09:39:37,"加入(nine)(eight)(eight)
頭家輕鬆賺飽飽
人客健康呷飽飽"
Account,自動回應訊息,2024/04/10,09:39:37,"Ying🤍歡迎您加入988廚房。
☑我們是HACCP認證，合法工廠直營，冷凍冷藏加工調理食安保證
☑專業加工廠直接供貨，方便訂貨．產品平價．好品質!
請先傳個貼圖打聲招呼喔~
詢價、訂貨請提供店家名字/聯絡電話/地址或拍照上傳名片"
User,Ying🤍-芙玉寶生技(南州),2024/04/10,10:20:40,你好 想詢問你們有在賣處理好的魷魚嗎
Account,俐均,2024/04/10,10:21:00,老闆您好
Account,俐均,2024/04/10,10:21:03,有喔
User,Ying🤍-芙玉寶生技(南州),2024/04/10,10:22:21,想詢問是怎麼賣
Account,俐均,2024/04/10,10:47:54,"老闆您好
請問店名及電話地址
方便給嗎?"
User,Ying🤍-芙玉寶生技(南州),2024/04/10,10:49:07,"公司: 芙玉寶生技股份有限公司
地址: 屏東縣南州鄉萬華路120號
電話: 08-8645000 (張小姐)"
Account,林鈺婷,2024/04/10,10:50:32,"您好~我們魷魚條目前有兩種
一個是600克一包 一箱10包 1500元
另外一種2kg/包 一包380元"
User,Ying🤍-芙玉寶生技(南州),2024/04/10,10:50:50,可以看看照片嗎
Account,林鈺婷,2024/04/10,10:52:17,照片已傳送
Account,林鈺婷,2024/04/10,10:52:26,這是兩公斤一包的
User,Ying🤍-芙玉寶生技(南州),2024/04/10,11:02:49,我已誰她是方形塊狀
User,Ying🤍-芙玉寶生技(南州),2024/04/10,11:03:01,就像夜市賣那種
Account,林鈺婷,2024/04/10,11:38:47,不好意思~我們目前沒有這種
User,Ying🤍-芙玉寶生技(南州),2024/04/10,11:39:39,好的 謝謝妳~
Account,俐均,2024/04/10,12:01:54,貼圖已傳送
