帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:20
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/03/18,10:23:25,"加入(nine)(eight)(eight)
頭家輕鬆賺飽飽
人客健康呷飽飽"
Account,自動回應訊息,2024/03/18,10:23:25,"Kai歡迎您加入988廚房。
☑我們是HACCP認證，合法工廠直營，冷凍冷藏加工調理食安保證
☑專業加工廠直接供貨，方便訂貨．產品平價．好品質!
請先傳個貼圖打聲招呼喔~
詢價、訂貨請提供店家名字/聯絡電話/地址或拍照上傳名片"
User,Kai-小張精緻便當,2024/03/18,10:23:29,你好
User,Kai-小張精緻便當,2024/03/18,10:42:34,我這裡是成功路上的小張自助餐
User,Kai-小張精緻便當,2024/03/18,10:50:44,之前你們有送過鱸魚尾巴
User,Kai-小張精緻便當,2024/03/18,10:50:58,現在還有嗎 價錢如何
User,Kai-小張精緻便當,2024/03/18,10:51:30,鱸魚清肉
Account,俐均,2024/03/18,10:53:03,老闆您好
User,Kai-小張精緻便當,2024/03/18,10:54:03,你好
User,Kai-小張精緻便當,2024/03/18,10:54:12,之前有送過鱸魚清肉
User,Kai-小張精緻便當,2024/03/18,10:54:18,現在多少錢
Account,俐均,2024/03/18,10:56:27,1K/170元
Account,俐均,2024/03/18,10:57:24,現在還有喔~一箱850元
Account,林鈺婷,2024/03/18,11:01:05,老闆我們之前送給您的是鱸魚切塊 沒有做完全去刺喔
User,Kai-小張精緻便當,2024/03/18,11:02:20,喔喔喔
User,Kai-小張精緻便當,2024/03/18,11:04:03,今天可以給我2箱嗎
User,Kai-小張精緻便當,2024/03/18,11:04:18,另外你們有鱸魚尾嗎
User,Kai-小張精緻便當,2024/03/18,11:04:22,鮭魚
User,Kai-小張精緻便當,2024/03/18,11:04:23,說錯
Account,俐均,2024/03/18,11:11:14,目前沒有鮭魚尾
User,Kai-小張精緻便當,2024/03/18,11:14:47,好
User,Kai-小張精緻便當,2024/03/18,11:14:53,那給我鱸魚
Account,俐均,2024/03/18,11:29:56,"老闆您好
請問有急用嗎?
星期三幫您送去好嗎?"
User,Kai-小張精緻便當,2024/03/18,11:33:56,明天可嗎
User,Kai-小張精緻便當,2024/03/18,11:34:16,剛剛好不容易找到妳的名片
Account,俐均,2024/03/18,11:34:45,好的
Account,俐均,2024/03/18,11:35:13,貼圖已傳送
User,Kai-小張精緻便當,2024/03/22,10:53:28,鱸魚今天能再送2箱嗎
Account,俐均,2024/03/22,10:57:27,老闆您好
Account,俐均,2024/03/22,10:57:35,司機已出門
User,Kai-小張精緻便當,2024/03/22,10:57:43,好的
Account,俐均,2024/03/22,10:57:48,星期一幫您送好嗎？
User,Kai-小張精緻便當,2024/03/22,10:57:59,明天能嗎
Account,俐均,2024/03/22,10:58:14,明天休息
Account,俐均,2024/03/22,10:58:19,不好意思
User,Kai-小張精緻便當,2024/03/22,11:00:06,那週一
Account,俐均,2024/03/22,11:00:44,謝謝😊
User,Kai-小張精緻便當,2024/03/30,12:12:46,週一幫我送2箱鱸魚
Account,自動回應訊息,2024/03/30,12:12:46,貼圖已傳送
Account,自動回應訊息,2024/03/30,12:12:46,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,王振華,2024/03/30,13:14:23,貼圖已傳送
User,Kai-小張精緻便當,2024/04/05,10:41:09,鱸魚2箱
Account,林鈺婷,2024/04/05,14:53:53,下星期一幫您送過去
