帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:20
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,妮妮(屏東大千秋),2024/01/04,14:01:37,明天送靖魚 2件
User,妮妮(屏東大千秋),2024/01/04,14:01:39,貼圖已傳送
User,妮妮(屏東大千秋),2024/01/04,14:01:42,貼圖已傳送
Account,俐均,2024/01/04,14:02:01,貼圖已傳送
User,妮妮(屏東大千秋),2024/01/12,09:47:01,今天靖魚2件唷
User,妮妮(屏東大千秋),2024/01/12,09:47:04,記得
User,妮妮(屏東大千秋),2024/01/12,09:47:06,貼圖已傳送
User,妮妮(屏東大千秋),2024/01/12,09:47:08,貼圖已傳送
Account,林鈺婷,2024/01/12,09:50:33,貼圖已傳送
User,妮妮(屏東大千秋),2024/02/26,14:10:48,明天不用送靖魚
User,妮妮(屏東大千秋),2024/02/26,14:10:54,大千秋
Account,林鈺婷,2024/02/26,14:10:58,貼圖已傳送
User,妮妮(屏東大千秋),2024/02/26,14:11:02,貼圖已傳送
User,妮妮(屏東大千秋),2024/02/26,14:11:08,貼圖已傳送
User,妮妮(屏東大千秋),2024/03/13,17:56:27,星期五 不用送靖魚
User,妮妮(屏東大千秋),2024/03/13,17:56:33,大千秋
User,妮妮(屏東大千秋),2024/03/13,17:56:39,貼圖已傳送
User,妮妮(屏東大千秋),2024/03/13,17:56:45,貼圖已傳送
Account,俐均,2024/03/13,18:06:51,貼圖已傳送
User,妮妮(屏東大千秋),2024/03/21,14:38:05,"大千秋
"
User,妮妮(屏東大千秋),2024/03/21,14:38:11,靖魚
User,妮妮(屏東大千秋),2024/03/21,14:38:18,明天送
User,妮妮(屏東大千秋),2024/03/21,14:38:25,貼圖已傳送
Account,俐均,2024/03/21,14:38:31,貼圖已傳送
