帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:20
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/03/07,22:44:03,"加入(nine)(eight)(eight)
頭家輕鬆賺飽飽
人客健康呷飽飽"
Account,自動回應訊息,2024/03/07,22:44:03,"黃俊傑歡迎您加入988廚房。
☑我們是HACCP認證，合法工廠直營，冷凍冷藏加工調理食安保證
☑專業加工廠直接供貨，方便訂貨．產品平價．好品質!
請先傳個貼圖打聲招呼喔~
詢價、訂貨請提供店家名字/聯絡電話/地址或拍照上傳名片"
User,黃俊傑-小飯骨自助餐,2024/03/07,22:46:08,請問一下毛豆1箱多少
Account,自動回應訊息,2024/03/07,22:46:09,貼圖已傳送
Account,自動回應訊息,2024/03/07,22:46:09,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
Account,王振華,2024/03/07,23:36:31,老闆好，請問您的店名是……
User,黃俊傑-小飯骨自助餐,2024/03/07,23:36:41,小飯骨自助餐
User,黃俊傑-小飯骨自助餐,2024/03/07,23:37:00,有叫過你們的貨
User,黃俊傑-小飯骨自助餐,2024/03/07,23:37:20,想問一下毛豆仁ㄧ箱多少
Account,王振華,2024/03/07,23:37:52,老闆好，毛豆仁一件10公斤，一公斤110元
User,黃俊傑-小飯骨自助餐,2024/03/07,23:38:04,好的
User,黃俊傑-小飯骨自助餐,2024/03/07,23:38:09,感謝🙏
Account,王振華,2024/03/07,23:39:16,貼圖已傳送
User,黃俊傑-小飯骨自助餐,2024/03/16,00:32:54,你們冷凍芋頭怎麼賣
Account,自動回應訊息,2024/03/16,00:32:54,貼圖已傳送
Account,自動回應訊息,2024/03/16,00:32:54,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，上班時間會盡快給您答覆"
Account,王振華,2024/03/18,00:00:43,老闆好，芋頭塊一包3公斤，250元
User,黃俊傑-小飯骨自助餐,2024/03/18,00:55:25,鹹魚1箱多少
Account,自動回應訊息,2024/03/18,00:55:26,貼圖已傳送
Account,自動回應訊息,2024/03/18,00:55:26,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，上班時間會盡快給您答覆"
Account,俐均,2024/03/18,09:03:33,照片已傳送
