帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:20
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,靖騰(新興芳成工業區),2024/01/02,15:08:22,"1/3週3
鯖魚1箱"
Account,俐均,2024/01/02,15:12:44,貼圖已傳送
User,靖騰(新興芳成工業區),2024/01/04,14:17:00,"1/5週5
鯖魚1箱"
Account,林鈺婷,2024/01/04,14:17:15,貼圖已傳送
User,靖騰(新興芳成工業區),2024/01/08,08:46:52,"1/8號
鯖魚1箱"
User,靖騰(新興芳成工業區),2024/01/08,08:46:57,抱歉
Account,Mita💮(づ￣ ³￣)づ雅婷💓,2024/01/08,08:55:15,貼圖已傳送
User,靖騰(新興芳成工業區),2024/01/09,14:04:35,"1/10號
鯖魚1箱"
Account,俐均,2024/01/09,14:04:40,貼圖已傳送
User,靖騰(新興芳成工業區),2024/01/11,14:05:02,"1/10號
鯖魚1箱
白花椰3包"
User,靖騰(新興芳成工業區),2024/01/11,14:05:12,"1/12號
鯖魚1箱"
Account,林鈺婷,2024/01/11,14:05:16,貼圖已傳送
Account,林鈺婷,2024/01/11,14:05:43,老闆跟您確認一下，明天送
Account,林鈺婷,2024/01/11,14:05:49,一箱鯖魚就好對嗎?
User,靖騰(新興芳成工業區),2024/01/11,14:05:50,"1/12號
鯖魚1箱
白花椰2包"
User,靖騰(新興芳成工業區),2024/01/11,14:05:54,這樣
Account,林鈺婷,2024/01/11,14:05:55,貼圖已傳送
User,靖騰(新興芳成工業區),2024/01/11,14:05:57,剛打錯
Account,林鈺婷,2024/01/11,14:06:04,貼圖已傳送
User,靖騰(新興芳成工業區),2024/01/15,13:52:44,"1/17週三
鯖魚1箱
白花椰3包"
Account,林鈺婷,2024/01/15,14:00:40,貼圖已傳送
User,靖騰(新興芳成工業區),2024/01/18,14:15:08,"1/19週5
鯖魚1箱
白花椰3包"
Account,林鈺婷,2024/01/18,14:15:14,貼圖已傳送
Account,俐均,2024/01/18,14:44:06,"您好
目前小包裝白花菜沒有了
幫您送散裝的好嗎?"
User,靖騰(新興芳成工業區),2024/01/18,14:52:55,Ok
Account,王振華,2024/01/19,00:05:01,您好，白花菜（散裝）是10公斤一包，可以嗎？
User,靖騰(新興芳成工業區),2024/01/19,07:21:42,好
Account,自動回應訊息,2024/01/19,07:21:43,貼圖已傳送
Account,自動回應訊息,2024/01/19,07:21:43,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,靖騰(新興芳成工業區),2024/01/22,08:48:45, 你好毛豆一包多少？謝謝
Account,林鈺婷,2024/01/22,08:52:57,"您好~毛豆仁一箱10包1100元
散包一包120元"
User,靖騰(新興芳成工業區),2024/01/22,09:39:59,1包幾公斤？
Account,林鈺婷,2024/01/22,09:40:27,一包一公斤喔
User,靖騰(新興芳成工業區),2024/01/22,13:27:46,"1/24週三
鯖魚1箱"
Account,俐均,2024/01/22,13:50:40,貼圖已傳送
User,靖騰(新興芳成工業區),2024/01/24,14:03:05,你們有蒲燒鰻嗎！
User,靖騰(新興芳成工業區),2024/01/24,14:03:14,價格謝謝
Account,俐均,2024/01/24,14:04:20,一箱10公斤 9800元
User,靖騰(新興芳成工業區),2024/01/29,08:09:56,"1/29週一
鯖魚2箱"
Account,自動回應訊息,2024/01/29,08:09:57,貼圖已傳送
Account,自動回應訊息,2024/01/29,08:09:57,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
