帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:12
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,前鎮/志明一村便當(5AUHWX120),2024/01/01,09:49:13,"鱸魚片7包
"
Account,俐均,2024/01/02,08:38:03,貼圖已傳送
User,前鎮/志明一村便當(5AUHWX120),2024/01/03,23:56:39,"紐奧良腿排2箱

麻煩早一點送貨都沒了"
Account,自動回應訊息,2024/01/03,23:56:40,貼圖已傳送
Account,自動回應訊息,2024/01/03,23:56:40,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,前鎮/志明一村便當(5AUHWX120),2024/01/04,15:33:12,"白花椰菜一箱
綠花椰1箱
奧良腿排一箱
挪威鯖魚一箱"
Account,俐均,2024/01/04,15:33:36,貼圖已傳送
User,前鎮/志明一村便當(5AUHWX120),2024/01/08,21:45:34,"鱸魚片4片
挪威鯖魚一箱
四季豆一箱"
Account,自動回應訊息,2024/01/08,21:45:34,貼圖已傳送
Account,自動回應訊息,2024/01/08,21:45:34,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,前鎮/志明一村便當(5AUHWX120),2024/01/09,12:51:22,今天的四季豆送錯了送成玉米筍
Account,林鈺婷,2024/01/09,12:52:44,稍等我馬上連絡司機
Account,林鈺婷,2024/01/09,12:58:24,司機馬上回去換喔~不好意思
User,前鎮/志明一村便當(5AUHWX120),2024/01/12,01:19:10,"紐奧良腿排1箱
挪威鯖魚一箱
"
Account,自動回應訊息,2024/01/12,01:19:11,貼圖已傳送
Account,自動回應訊息,2024/01/12,01:19:11,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,前鎮/志明一村便當(5AUHWX120),2024/01/15,17:00:12,"白花椰菜一箱
綠花椰1箱
奧良腿排一箱
挪威鯖魚一箱
鱸魚片4片"
Account,林鈺婷,2024/01/15,17:00:22,貼圖已傳送
Account,林鈺婷,2024/01/15,17:00:22,貼圖已傳送
User,前鎮/志明一村便當(5AUHWX120),2024/01/19,00:35:44,"白花椰菜2箱

奧良腿排一箱
鱸魚片7片"
Account,自動回應訊息,2024/01/19,00:35:45,貼圖已傳送
Account,自動回應訊息,2024/01/19,00:35:45,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
Account,Mita💮(づ￣ ³￣)づ雅婷💓,2024/01/19,08:42:53,"老闆早安
不好意思,目前鱸魚片售完缺貨中~"
User,前鎮/志明一村便當(5AUHWX120),2024/01/19,08:50:27,麻煩請經理撥電話給我謝謝
User,前鎮/志明一村便當(5AUHWX120),2024/01/19,08:51:17,只要是鱸魚片就可以了大小不用分
Account,俐均,2024/01/19,08:58:26,"幫您出170/200的
給您看看"
User,前鎮/志明一村便當(5AUHWX120),2024/01/19,09:51:37,直接給我4片
Account,俐均,2024/01/19,10:37:32,貼圖已傳送
User,前鎮/志明一村便當(5AUHWX120),2024/01/25,01:17:39,挪威鯖魚一箱
Account,自動回應訊息,2024/01/25,01:17:39,貼圖已傳送
Account,自動回應訊息,2024/01/25,01:17:39,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,前鎮/志明一村便當(5AUHWX120),2024/01/26,01:04:07,"白花椰菜2箱

奧良腿排一箱
鱸魚片3片"
Account,自動回應訊息,2024/01/26,01:04:07,貼圖已傳送
Account,自動回應訊息,2024/01/26,01:04:07,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,前鎮/志明一村便當(5AUHWX120),2024/01/29,07:56:20,照片已傳送
Account,自動回應訊息,2024/01/29,07:56:20,貼圖已傳送
Account,自動回應訊息,2024/01/29,07:56:20,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
