帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:21
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/01/25,17:46:30,"加入(nine)(eight)(eight)
頭家輕鬆賺飽飽
人客健康呷飽飽"
Account,自動回應訊息,2024/01/25,17:46:30,"稻葉壽司歡迎您加入988廚房。
☑我們是HACCP認證，合法工廠直營，冷凍冷藏加工調理食安保證
☑專業加工廠直接供貨，方便訂貨．產品平價．好品質!
請先傳個貼圖打聲招呼喔~
詢價、訂貨請提供店家名字/聯絡電話/地址或拍照上傳名片"
User,稻葉壽司(東港),2024/01/25,17:46:53,"您好。再麻煩傳型錄參考

謝謝您"
Account,林鈺婷,2024/01/25,17:47:16,檔案已傳送
Account,俐均,2024/01/25,17:47:27,老闆您好
User,稻葉壽司(東港),2024/01/25,17:49:46,(感恩)
User,稻葉壽司(東港),2024/01/25,17:52:01,我們先參考。若有需要再line給您。謝謝
Account,林鈺婷,2024/01/25,17:53:38,沒問題~謝謝您
User,稻葉壽司(東港),2024/01/25,17:54:05,貼圖已傳送
User,稻葉壽司(東港),2024/01/25,18:05:44,您好。請問有日式厚切豬排的圖片可參考嗎？
User,稻葉壽司(東港),2024/01/25,18:06:37,蒲燒鯛魚75p的有照片可參考嗎？
Account,王振華,2024/01/25,23:58:49,照片已傳送
Account,王振華,2024/01/25,23:59:32,照片已傳送
User,稻葉壽司(東港),2024/01/26,00:08:38,"您好。若本周五方便的話可先幫我們配送一箱蒲燒鯛魚片75p的，這週五來不及的話下週五也可以

週二我們不方便收貨，只有週五可以"
Account,自動回應訊息,2024/01/26,00:08:38,貼圖已傳送
Account,自動回應訊息,2024/01/26,00:08:38,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,稻葉壽司(東港),2024/01/26,00:09:09,"地址
屏東縣東港鎮頂中里博愛街228號
稻葉壽司"
Account,自動回應訊息,2024/01/26,00:09:10,貼圖已傳送
Account,自動回應訊息,2024/01/26,00:09:10,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
Account,王振華,2024/01/26,00:28:41,好的，謝謝您
User,稻葉壽司(東港),2024/01/26,00:28:53,貼圖已傳送
Account,自動回應訊息,2024/01/26,00:28:54,貼圖已傳送
Account,自動回應訊息,2024/01/26,00:28:54,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
Account,王振華,2024/01/26,00:30:58,明天可以送去
User,稻葉壽司(東港),2024/01/26,00:32:09,10：40後方便嗎？太早可能沒人接收
Account,王振華,2024/01/26,00:44:19,好的
User,稻葉壽司(東港),2024/01/26,00:44:35,貼圖已傳送
User,稻葉壽司(東港),2024/02/05,19:43:36,目前先不用感謝您👍
Account,自動回應訊息,2024/02/05,19:43:36,貼圖已傳送
Account,自動回應訊息,2024/02/05,19:43:36,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,稻葉壽司(東港),2024/02/15,14:07:12,"明日麻煩蒲燒鯛魚75p

10:40後送達才有人接收"
User,稻葉壽司(東港),2024/02/15,14:07:15,貼圖已傳送
Account,林鈺婷,2024/02/15,14:07:29,貼圖已傳送
