帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:12
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,鳥松/澄園中式快餐(TM5GDH000),2024/01/01,11:32:33,星期二請送兩箱鯖魚
User,鳥松/澄園中式快餐(TM5GDH000),2024/01/01,19:56:26,語音訊息已傳送
Account,自動回應訊息,2024/01/01,19:56:26,貼圖已傳送
Account,自動回應訊息,2024/01/01,19:56:26,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,鳥松/澄園中式快餐(TM5GDH000),2024/01/10,15:59:03,"'
明天請送兩箱鯖魚"
Account,俐均,2024/01/10,16:01:07,貼圖已傳送
User,鳥松/澄園中式快餐(TM5GDH000),2024/02/05,15:46:21,"'


明天請送兩箱一箱鯖魚

"
Account,俐均,2024/02/05,15:47:05,貼圖已傳送
User,鳥松/澄園中式快餐(TM5GDH000),2024/02/05,15:48:07,明天請送一箱鯖魚
Account,俐均,2024/02/05,15:52:08,貼圖已傳送
User,鳥松/澄園中式快餐(TM5GDH000),2024/02/19,15:48:56,語音訊息已傳送
Account,俐均,2024/02/19,15:50:28,送2件鯖魚
Account,俐均,2024/02/19,15:50:42,貼圖已傳送
User,鳥松/澄園中式快餐(TM5GDH000),2024/02/28,14:48:31,語音訊息已傳送
User,鳥松/澄園中式快餐(TM5GDH000),2024/02/28,14:49:02,語音訊息已傳送
Account,林鈺婷,2024/02/28,14:54:41,明天兩箱鯖魚
User,鳥松/澄園中式快餐(TM5GDH000),2024/03/11,15:04:09,語音訊息已傳送
Account,俐均,2024/03/11,15:17:18,明天兩箱鯖魚
User,鳥松/澄園中式快餐(TM5GDH000),2024/03/18,16:20:30,語音訊息已傳送
Account,林鈺婷,2024/03/18,16:20:55,明天送兩箱鯖魚
User,鳥松/澄園中式快餐(TM5GDH000),2024/03/27,15:42:44,語音訊息已傳送
User,鳥松/澄園中式快餐(TM5GDH000),2024/04/08,15:08:04,語音訊息已傳送
User,鳥松/澄園中式快餐(TM5GDH000),2024/04/08,15:08:34,語音訊息已傳送
Account,俐均,2024/04/08,15:12:34,貼圖已傳送
User,鳥松/澄園中式快餐(TM5GDH000),2024/04/15,17:28:15,語音訊息已傳送
User,鳥松/澄園中式快餐(TM5GDH000),2024/04/15,17:28:37,語音訊息已傳送
User,鳥松/澄園中式快餐(TM5GDH000),2024/04/15,17:29:03,語音訊息已傳送
Account,俐均,2024/04/15,17:37:02,鯖魚2箱
User,鳥松/澄園中式快餐(TM5GDH000),2024/04/22,16:39:25,語音訊息已傳送
User,鳥松/澄園中式快餐(TM5GDH000),2024/04/22,16:39:57,語音訊息已傳送
Account,俐均,2024/04/22,16:40:23,貼圖已傳送
User,鳥松/澄園中式快餐(TM5GDH000),2024/04/29,22:07:11,語音訊息已傳送
Account,自動回應訊息,2024/04/29,22:07:11,貼圖已傳送
Account,自動回應訊息,2024/04/29,22:07:11,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,俐均,2024/04/30,08:43:10,"老闆娘您好
沒有錄到語音檔
幫您送鯖魚2件喔
謝謝您"
User,鳥松/澄園中式快餐(TM5GDH000),2024/05/08,16:26:40,語音訊息已傳送
Account,俐均,2024/05/08,16:35:23,貼圖已傳送
User,鳥松/澄園中式快餐(TM5GDH000),2024/05/20,15:57:50,語音訊息已傳送
Account,俐均,2024/05/20,17:04:31,貼圖已傳送
User,鳥松/澄園中式快餐(TM5GDH000),2024/05/29,15:05:17,語音訊息已傳送
User,鳥松/澄園中式快餐(TM5GDH000),2024/05/29,15:05:50,語音訊息已傳送
Account,王振華,2024/05/29,23:31:29,老闆娘好，鯖魚2件收到
User,鳥松/澄園中式快餐(TM5GDH000),2024/06/12,15:03:16,語音訊息已傳送
Account,林鈺婷,2024/06/12,15:12:30,明天送兩箱鯖魚
User,鳥松/澄園中式快餐(TM5GDH000),2024/07/01,15:29:44,語音訊息已傳送
Account,俐均,2024/07/01,15:32:37,貼圖已傳送
User,鳥松/澄園中式快餐(TM5GDH000),2024/07/08,15:47:51,語音訊息已傳送
Account,俐均,2024/07/08,15:49:30,貼圖已傳送
User,鳥松/澄園中式快餐(TM5GDH000),2024/07/17,19:24:32,語音訊息已傳送
Account,自動回應訊息,2024/07/17,19:24:33,貼圖已傳送
Account,自動回應訊息,2024/07/17,19:24:33,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,鳥松/澄園中式快餐(TM5GDH000),2024/07/31,15:01:13," 
明天請送兩箱鯖魚"
Account,俐均,2024/07/31,15:02:58,貼圖已傳送
User,鳥松/澄園中式快餐(TM5GDH000),2024/08/26,15:04:02,語音訊息已傳送
Account,林鈺婷,2024/08/26,15:53:50,貼圖已傳送
User,鳥松/澄園中式快餐(TM5GDH000),2024/09/02,15:24:30,語音訊息已傳送
Account,俐均,2024/09/02,16:09:35,貼圖已傳送
User,鳥松/澄園中式快餐(TM5GDH000),2024/09/11,14:59:00,語音訊息已傳送
Account,林鈺婷,2024/09/11,15:09:23,明天兩箱鯖魚
Account,林鈺婷,2024/09/11,15:09:24,貼圖已傳送
User,鳥松/澄園中式快餐(TM5GDH000),2024/09/30,13:48:11,語音訊息已傳送
Account,林鈺婷,2024/09/30,14:02:41,貼圖已傳送
Account,林鈺婷,2024/09/30,14:02:44,老闆娘您好~請問下午到晚上的收貨時間
User,鳥松/澄園中式快餐(TM5GDH000),2024/09/30,15:40:09,語音訊息已傳送
User,鳥松/澄園中式快餐(TM5GDH000),2024/10/14,14:54:45,語音訊息已傳送
Account,俐均,2024/10/14,15:03:40,貼圖已傳送
User,鳥松/澄園中式快餐(TM5GDH000),2024/10/28,15:51:27,語音訊息已傳送
Account,俐均,2024/10/28,16:44:52,貼圖已傳送
User,鳥松/澄園中式快餐(TM5GDH000),2024/11/06,14:11:39,語音訊息已傳送
Account,林鈺婷,2024/11/06,14:46:19,明天鯖魚*2箱
User,鳥松/澄園中式快餐(TM5GDH000),2024/11/18,17:18:46,語音訊息已傳送
Account,林鈺婷,2024/11/18,17:21:38,明天鯖魚*2箱
User,鳥松/澄園中式快餐(TM5GDH000),2024/12/02,15:55:47,語音訊息已傳送
Account,林鈺婷,2024/12/02,15:56:53,2箱鯖魚
Account,林鈺婷,2024/12/02,15:56:57,貼圖已傳送
User,鳥松/澄園中式快餐(TM5GDH000),2024/12/11,16:58:38,語音訊息已傳送
Account,俐均,2024/12/11,17:32:15,貼圖已傳送
User,鳥松/澄園中式快餐(TM5GDH000),2024/12/25,15:57:31,語音訊息已傳送
Account,林鈺婷,2024/12/25,16:03:51,明天送兩箱鯖魚
Account,林鈺婷,2024/12/25,16:03:53,貼圖已傳送
User,鳥松/澄園中式快餐(TM5GDH000),2025/01/08,19:37:23,語音訊息已傳送
Account,自動回應訊息,2025/01/08,19:37:24,貼圖已傳送
Account,自動回應訊息,2025/01/08,19:37:24,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,鳥松/澄園中式快餐(TM5GDH000),2025/01/20,17:30:05,語音訊息已傳送
User,鳥松/澄園中式快餐(TM5GDH000),2025/02/10,15:57:13,語音訊息已傳送
Account,林鈺婷,2025/02/10,16:18:14,明天送2箱鯖魚
Account,林鈺婷,2025/02/10,16:18:16,貼圖已傳送
User,鳥松/澄園中式快餐(TM5GDH000),2025/02/24,15:46:22,語音訊息已傳送
User,鳥松/澄園中式快餐(TM5GDH000),2025/02/24,15:46:35,語音訊息已傳送
Account,林鈺婷,2025/02/24,15:49:31,明天請送兩箱鯖魚
Account,林鈺婷,2025/02/24,15:49:33,貼圖已傳送
User,鳥松/澄園中式快餐(TM5GDH000),2025/03/05,15:03:41,語音訊息已傳送
User,鳥松/澄園中式快餐(TM5GDH000),2025/03/05,15:03:59,語音訊息已傳送
Account,俐均,2025/03/05,16:07:25,"老闆娘好
肉魚我們在請業務司機帶去給您看喔~謝謝"
User,鳥松/澄園中式快餐(TM5GDH000),2025/03/12,15:36:19,語音訊息已傳送
Account,俐均,2025/03/12,15:37:04,貼圖已傳送
Account,林鈺婷,2025/03/12,15:37:30,兩箱鯖魚跟一箱肉魚
User,鳥松/澄園中式快餐(TM5GDH000),2025/04/01,15:04:58,語音訊息已傳送
Account,☆羅惠君☆,2025/04/01,15:14:07,明天送2箱鯖魚
User,鳥松/澄園中式快餐(TM5GDH000),2025/04/16,15:42:53,語音訊息已傳送
Account,俐均,2025/04/16,15:45:01,鯖魚2件
User,鳥松/澄園中式快餐(TM5GDH000),2025/04/29,07:15:11,語音訊息已傳送
Account,自動回應訊息,2025/04/29,07:15:11,貼圖已傳送
Account,自動回應訊息,2025/04/29,07:15:11,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,鳥松/澄園中式快餐(TM5GDH000),2025/05/14,15:33:19,語音訊息已傳送
Account,☆羅惠君☆,2025/05/14,15:34:46,貼圖已傳送
