帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:21
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/01/11,13:47:32,"加入(nine)(eight)(eight)
頭家輕鬆賺飽飽
人客健康呷飽飽"
Account,自動回應訊息,2024/01/11,13:47:32,"白啓民歡迎您加入988廚房。
☑我們是HACCP認證，合法工廠直營，冷凍冷藏加工調理食安保證
☑專業加工廠直接供貨，方便訂貨．產品平價．好品質!
請先傳個貼圖打聲招呼喔~
詢價、訂貨請提供店家名字/聯絡電話/地址或拍照上傳名片"
User,白啓民(台南東山-鄉食便當),2024/01/11,13:49:03,貼圖已傳送
User,白啓民(台南東山-鄉食便當),2024/01/11,13:50:10,"店家名稱：鄉食便當
地址：台南市東山區中興路63號
電話：0936115827"
User,白啓民(台南東山-鄉食便當),2024/01/11,13:50:14,想詢價
Account,俐均,2024/01/11,13:59:09,貼圖已傳送
Account,林鈺婷,2024/01/11,14:00:32,您好~請問要詢什麼產品呢?
User,白啓民(台南東山-鄉食便當),2024/01/11,14:03:09,鯖魚；炸類（雞、豬排）
Account,林鈺婷,2024/01/11,14:03:59,檔案已傳送
Account,林鈺婷,2024/01/11,14:04:52,老闆您好~這是我們目前的報價單，報價單裡面的金額不含稅不含運
User,白啓民(台南東山-鄉食便當),2024/01/11,14:08:56,如果不需要發票可免稅嗎？  寄到台南東山區的運費如何計算？
Account,林鈺婷,2024/01/11,14:13:12,您好~可以喔，我們運費一箱6公斤是210元，大箱的是一箱280元，看叫多少，我們盡量幫您塞進大箱的箱子
User,白啓民(台南東山-鄉食便當),2024/01/11,14:14:53,好的，了解👍
Account,林鈺婷,2024/01/11,14:15:29,貼圖已傳送
