帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:21
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/01/10,13:26:14,"加入(nine)(eight)(eight)
頭家輕鬆賺飽飽
人客健康呷飽飽"
Account,自動回應訊息,2024/01/10,13:26:14,"蘇芯樂歡迎您加入988廚房。
☑我們是HACCP認證，合法工廠直營，冷凍冷藏加工調理食安保證
☑專業加工廠直接供貨，方便訂貨．產品平價．好品質!
請先傳個貼圖打聲招呼喔~
詢價、訂貨請提供店家名字/聯絡電話/地址或拍照上傳名片"
User,蘇芯樂(潮州孝愛仁愛之家),2024/01/10,13:26:22,你好
User,蘇芯樂(潮州孝愛仁愛之家),2024/01/10,13:26:28,我這裡是孝愛仁愛之家
User,蘇芯樂(潮州孝愛仁愛之家),2024/01/10,13:26:38,今天送貨來的產品麻煩你們再補開收據給我們
Account,林鈺婷,2024/01/10,14:01:59,請問是要補開發票嗎?
User,蘇芯樂(潮州孝愛仁愛之家),2024/01/10,14:03:29,你們有發票嗎？
Account,林鈺婷,2024/01/10,14:04:12,您好~有的喔，只是當初報的是現金價，要發票的話，要另外稅外加
User,蘇芯樂(潮州孝愛仁愛之家),2024/01/10,14:05:17,還是你們有收據
Account,林鈺婷,2024/01/10,14:07:58,今天送貨過去的時候，司機應該有給您們收據，請問沒有收到嗎?
User,蘇芯樂(潮州孝愛仁愛之家),2024/01/10,14:08:43,照片已傳送
User,蘇芯樂(潮州孝愛仁愛之家),2024/01/10,14:08:48,公司要這一種的
User,蘇芯樂(潮州孝愛仁愛之家),2024/01/10,14:09:26,如果沒有的話我在問一下會計
Account,林鈺婷,2024/01/10,14:12:58,您好~我們的銷貨單基本上跟這個是一樣的喔，只是我們是用電腦KEY沒有用手寫
User,蘇芯樂(潮州孝愛仁愛之家),2024/01/10,14:13:11,好
User,蘇芯樂(潮州孝愛仁愛之家),2024/01/10,14:13:14,我在問會計
User,蘇芯樂(潮州孝愛仁愛之家),2024/01/10,17:00:29,跟你們長期配合有月結的服務嗎
Account,林鈺婷,2024/01/10,18:00:16,您好~我們先配合一陣子看看，之後如果要改月結我們在改月結
Account,林鈺婷,2024/01/10,18:00:19,貼圖已傳送
Account,林鈺婷,2024/01/10,18:00:39,請問有需要補發票嗎?
User,蘇芯樂(潮州孝愛仁愛之家),2024/01/10,18:00:48,有
User,蘇芯樂(潮州孝愛仁愛之家),2024/01/10,18:01:13,統編跟抬頭有給你們品管了
Account,林鈺婷,2024/01/10,18:01:45,那金額的部分要另外稅外加，明天過去跟您們補收方便嗎?
User,蘇芯樂(潮州孝愛仁愛之家),2024/01/10,18:01:59,所以
User,蘇芯樂(潮州孝愛仁愛之家),2024/01/10,18:02:02,可以
Account,林鈺婷,2024/01/10,18:02:08,貼圖已傳送
