帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:12
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,九如/易家便當(UR1200000),2024/01/04,09:30:05,玉米粒一箱
Account,林鈺婷,2024/01/04,09:31:47,貼圖已傳送
User,九如/易家便當(UR1200000),2024/01/07,16:40:16,玉米一件
Account,自動回應訊息,2024/01/07,16:40:16,貼圖已傳送
Account,自動回應訊息,2024/01/07,16:40:16,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,九如/易家便當(UR1200000),2024/01/08,07:46:27,鹽魚一件
Account,自動回應訊息,2024/01/08,07:46:28,貼圖已傳送
Account,自動回應訊息,2024/01/08,07:46:28,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,九如/易家便當(UR1200000),2024/01/08,14:48:55, 小姐、我的玉米呢？
Account,林鈺婷,2024/01/08,14:50:12,老闆不好意思，我們這邊疏忽沒有出到貨，請問有急用嗎?
Account,王振華,2024/01/09,00:53:03,老闆娘抱歉，明天補送過去
User,九如/易家便當(UR1200000),2024/01/09,10:08:20,好
User,九如/易家便當(UR1200000),2024/01/09,10:09:26,l
User,九如/易家便當(UR1200000),2024/01/10,14:46:36,玉米一件
Account,俐均,2024/01/10,14:47:40,貼圖已傳送
User,九如/易家便當(UR1200000),2024/01/14,15:24:44,鹽魚一件
Account,自動回應訊息,2024/01/14,15:24:44,貼圖已傳送
Account,自動回應訊息,2024/01/14,15:24:44,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
