帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:13
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,潮州/山水便當(GG1200000),2025/01/29,11:08:21,照片已傳送
User,潮州/山水便當(GG1200000),2025/02/02,16:02:04,"明天開工
大家發財！"
Account,自動回應訊息,2025/02/02,16:02:04,"(love letter)春節期間公休，不送貨，暫無專人服務，造成困擾請見諒
(blue check mark)訂單將會在2/3(一)初六 陸續安排為您出貨
(snake)敬祝蛇年行大運 財源滾滾來(dollar symbol)"
Account,俐均,2025/02/03,08:49:04,"老闆娘好
請問店家.電話.地址"
User,潮州/山水便當(GG1200000),2025/02/03,09:37:54,"店家：山水便當
地址：太平路91號"
Account,林鈺婷,2025/05/23,14:16:03,您好~請問是山水便當的老闆娘嗎?
User,潮州/山水便當(GG1200000),2025/05/23,18:07:31,是的
User,潮州/山水便當(GG1200000),2025/05/23,18:10:35,有何指教
Account,林鈺婷,2025/05/26,09:05:46,"不好意思~已經沒事了
星期五的時候要確認有沒有需要送貨過去，謝謝"
User,潮州/山水便當(GG1200000),2025/05/26,22:26:54,星期五休市哦
Account,自動回應訊息,2025/05/26,22:26:55,貼圖已傳送
Account,自動回應訊息,2025/05/26,22:26:55,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,潮州/山水便當(GG1200000),2025/05/29,14:00:29,下星期一再送貨謝謝🙏
Account,林鈺婷,2025/05/29,14:10:09,請問下星期一幫您送一箱鯖魚嗎?
User,潮州/山水便當(GG1200000),2025/05/29,14:51:53,是的
User,潮州/山水便當(GG1200000),2025/05/29,14:53:33,端午節連休3天
Account,☆羅惠君☆,2025/05/29,16:10:37,貼圖已傳送
User,潮州/山水便當(GG1200000),2025/06/09,13:22:07,"山水便當
明天請送一箱魚"
Account,林鈺婷,2025/06/09,14:02:09,貼圖已傳送
User,潮州/山水便當(GG1200000),2025/06/11,14:20:18,"山水便當
明天請送一箱鯖魚"
User,潮州/山水便當(GG1200000),2025/06/11,14:20:59,貼圖已傳送
Account,☆羅惠君☆,2025/06/11,14:22:09,貼圖已傳送
User,潮州/山水便當(GG1200000),2025/06/17,13:15:00,"山水便當
明天請送一箱鯖魚"
User,潮州/山水便當(GG1200000),2025/06/17,13:15:11,貼圖已傳送
Account,☆羅惠君☆,2025/06/17,14:02:40,貼圖已傳送
User,潮州/山水便當(GG1200000),2025/06/19,14:10:33,"山水便當
明天送一箱鯖魚"
User,潮州/山水便當(GG1200000),2025/06/19,14:10:36,貼圖已傳送
Account,☆羅惠君☆,2025/06/19,14:27:59,貼圖已傳送
User,潮州/山水便當(GG1200000),2025/06/24,14:19:24,"山水便當
明天請送一箱鯖魚"
User,潮州/山水便當(GG1200000),2025/06/24,14:20:03,貼圖已傳送
Account,☆羅惠君☆,2025/06/24,14:34:46,貼圖已傳送
User,潮州/山水便當(GG1200000),2025/06/26,13:55:58,"山水便當
明天請送一箱鯖魚"
User,潮州/山水便當(GG1200000),2025/06/26,13:56:07,貼圖已傳送
Account,☆羅惠君☆,2025/06/26,14:03:46,貼圖已傳送
User,潮州/山水便當(GG1200000),2025/07/01,14:36:01,"山水便當
明天請送一箱鮮魚"
User,潮州/山水便當(GG1200000),2025/07/01,14:36:10,貼圖已傳送
Account,☆羅惠君☆,2025/07/01,14:46:44,貼圖已傳送
User,潮州/山水便當(GG1200000),2025/07/03,14:20:32,"山水便當
下班後員工會到公司自買一箱鯖魚。"
Account,林鈺婷,2025/07/03,14:22:13,老闆娘您好~我們營業到4:30喔，可能要麻煩4點半前到喔
User,潮州/山水便當(GG1200000),2025/07/03,14:35:40,"知道的她下班後就去拿ok
我們13點30分下班。"
Account,☆羅惠君☆,2025/07/03,14:41:21,老闆娘謝謝您
User,潮州/山水便當(GG1200000),2025/07/03,14:44:13,貼圖已傳送
User,潮州/山水便當(GG1200000),2025/07/07,14:03:30,"山水便當
明天請送一箱鯖魚"
User,潮州/山水便當(GG1200000),2025/07/07,14:04:25,貼圖已傳送
Account,林鈺婷,2025/07/07,14:11:07,貼圖已傳送
User,潮州/山水便當(GG1200000),2025/07/09,14:09:23,"山水便當
明天請送一箱鯖魚"
User,潮州/山水便當(GG1200000),2025/07/09,14:09:41,貼圖已傳送
Account,☆羅惠君☆,2025/07/09,14:28:15,貼圖已傳送
User,潮州/山水便當(GG1200000),2025/07/09,14:50:00,貼圖已傳送
